,Maxlags,ssr F p-value,ssr chi2 p-value,likelihoodratio p-value,param F p-value
0,"twitter, google search on old words",,,,
1,1.0,0.147,0.052,0.073,0.147
2,2.0,0.712,0.434,0.465,0.712
3,3.0,0.583,0.0,0.008,0.583
4,"twitter, google search on new words",,,,
5,1.0,0.307,0.188,0.206,0.307
6,2.0,0.43,0.094,0.15,0.43
7,3.0,0.289,0.0,0.0,0.289
8,"google search on old words, twitter",,,,
9,1.0,0.938,0.923,0.923,0.938
10,2.0,0.851,0.686,0.696,0.851
11,3.0,0.823,0.051,0.143,0.823
12,"google search on new words, twitter",,,,
13,1.0,0.646,0.566,0.569,0.646
14,2.0,0.899,0.781,0.786,0.899
15,3.0,0.399,0.0,0.0,0.399
16,"twitter, anti-Asian crimes",,,,
17,1.0,0.337,0.218,0.234,0.337
18,2.0,0.443,0.105,0.16,0.443
19,3.0,0.119,0.0,0.0,0.119
20,"twitter, all-racial crimes",,,,
21,1.0,0.72,0.656,0.658,0.72
22,2.0,0.257,0.013,0.047,0.257
23,3.0,0.574,0.0,0.007,0.574
24,"anti-Asian crimes, twitter",,,,
25,1.0,0.098,0.022,0.041,0.098
26,2.0,0.397,0.071,0.125,0.397
27,3.0,0.667,0.0,0.024,0.667
28,"all-racial crimes, twitter",,,,
29,1.0,0.99,0.987,0.987,0.99
30,2.0,0.794,0.578,0.596,0.794
31,3.0,0.513,0.0,0.003,0.513
32,"google search on old words, anti-Asian crimes",,,,
33,1.0,0.722,0.658,0.659,0.722
34,2.0,0.903,0.789,0.794,0.903
35,3.0,0.831,0.061,0.157,0.831
36,"google search on new words, anti-Asian crimes",,,,
37,1.0,0.3,0.181,0.199,0.3
38,2.0,0.413,0.082,0.137,0.413
39,3.0,0.258,0.0,0.0,0.258
40,"google search on old words, all-racial crimes",,,,
41,1.0,0.154,0.056,0.078,0.154
42,2.0,0.138,0.0,0.012,0.138
43,3.0,0.022,0.0,0.0,0.022
44,"google search on new words, all-racial crimes",,,,
45,1.0,0.042,0.003,0.012,0.042
46,2.0,0.169,0.002,0.018,0.169
47,3.0,0.524,0.0,0.003,0.524
48,"google search on old words, anti-Asian crimes",,,,
49,1.0,0.419,0.305,0.317,0.419
50,2.0,0.631,0.312,0.355,0.631
51,3.0,0.941,0.439,0.507,0.941
52,"google search on new words, anti-Asian crimes",,,,
53,1.0,0.511,0.408,0.416,0.511
54,2.0,0.12,0.0,0.008,0.12
55,3.0,0.361,0.0,0.0,0.361
56,"google search on old words, all-racial crimes",,,,
57,1.0,0.542,0.444,0.45,0.542
58,2.0,0.941,0.871,0.873,0.941
59,3.0,0.933,0.388,0.464,0.933
60,"google search on new words, all-racial crimes",,,,
61,1.0,0.335,0.216,0.233,0.335
62,2.0,0.282,0.019,0.058,0.282
63,3.0,0.149,0.0,0.0,0.149
