Datetime,Tweet Id,Username,Text
2020-02-02 23:58:22+00:00,1224119902535069699,PawlowskiMario,"#Drones capture the 10-day-long #construction of a new #hospital in #Wuhan, China built to help deal with the influx of #coronavirus patients

V/ @QuickTake #新型肺炎 #WuhanVirus #ChinaVirus #SARS #TechForGood #Tech #Drone #Influenza #WuhanHospital 

https://t.co/LtUiVqK7mH"
2020-02-02 23:57:00+00:00,1224119557524082688,TPE_connect,Wuhan Coronavirus: How are patients being treated? Explained.... #China #Wuhan #Coronavirus #ChinaVirus #WuhanCoronavirus #CoronoaVirus #CoronaOutbreak  #ChinaCoronaVirus #Coronarvirus  https://t.co/GH7EUWUBOl
2020-02-02 23:55:46+00:00,1224119250320752640,GqEkfwuXHbUkEKu,"14,000 in two days 🤔 #coronavrius #2019nC0V #WuhanVirus"
2020-02-02 23:55:29+00:00,1224119175741878272,RedWishDotCom,"There are now nine cases of the novel coronavirus in the United States. There are four confirmed cases in California; one case each in Massachusetts, Washington state and Arizona and two in Illinois. #WuhanVirus #cornonavirus

https://t.co/xM02b3LSoP"
2020-02-02 23:55:21+00:00,1224119143215108096,jobinindia,"After #wuhanvirus #coronarovirus now #H5N1, #China is the cradle of deadly virus. https://t.co/Xo6EaJqr4m"
2020-02-02 23:54:11+00:00,1224118848216952832,doollynoted,"Coronavirus | Yes, Chinese Really Do Eat Bat Soup 🦇
Would you eat this?
#coronavirus #CoronavirusOutbreak #WuhanCoronavirus #CoronavirusWho #WuhanVirus #outbreak #BREAKING #BreakingNow #BreakingNews #WHO #GlobalEmergency #Wuhan #pneumonia #coronavirusindia #nCoV #nCov2019 https://t.co/KLi5j9D5q4"
2020-02-02 23:53:39+00:00,1224118717203853312,KKlaryonEN,@JoniiVee Hey look at me I'm John V and I like School Days because I'm a fucking dumb idiot and I can't bare to watch anything other than my shitty 2000s chinaman cartoons oh MAN I GET SO MUCH SO MUCH PUSSY OH WAIT NO I DON'T BECAUSE IM A FRAUD
2020-02-02 23:51:03+00:00,1224118059545350144,Mrosie1031,#coronavirus #wuhanvirus #pandemic   lets get ready and be prepared
2020-02-02 23:50:27+00:00,1224117910760775682,BusinessTimes,Measuring the impact of the #Wuhanvirus https://t.co/j8iRJJ2kMw https://t.co/BcHHhnoDOe
2020-02-02 23:50:01+00:00,1224117801482366976,ficflash,Seems like a fairly accurate portrayal of the series of events/ onset of #coronavirus #WuhanVirus    https://t.co/kGpOqQqgVD
2020-02-02 23:47:49+00:00,1224117247251243008,Mrosie1031,#coronavirus #wuhanvirus #epidemic  HK whats the point of stopping the rail from China coming in when you still have the flights coming in?
2020-02-02 23:43:54+00:00,1224116263867252742,wong45682214,"I cannot believe this...

#Uighur 
#ChinaCoronaVirus 
#China_is_terrorist 
#China_kills_Muslims 
#ChinaVirus 
#WuhanVirus 
#WuhanSARS 
#chinazi 
#coronavirusindia 
#wuhanpnemonia 
#wuhan
#HKGov"
2020-02-02 23:43:25+00:00,1224116138528907265,Jeremiah2020011,What is the probability for two young men died at the same place at the same time? How serious is the virus for real? #WuhanVirus #coronavirus can you trust those who said the fatality rate is only 2%? Demand for real numbers!
2020-02-02 23:43:08+00:00,1224116070719471621,nature_hub,"#WuhanVirus Update Feb 2, 2020 

Data Trends Indicate the #CoronaVirus Will Soon Overwhelm Many New Cities Across China. 

We Made a Quick Video To Explain How We Came to This Conclusion &amp; Where It's Likely to Get Bad Next. 

Link: https://t.co/g5RRuRF87D https://t.co/bh1cC2bbj8"
2020-02-02 23:41:14+00:00,1224115590803206144,Firefly074,What’s with all the cultural appropriation with the little black kid with super blonde hair running the ball out? #SuperBowl #JusticeForJohnnyDepp #PepsiHalftime #KittenBowl #SBLIV #ChiefsKingdom #WuhanVirus
2020-02-02 23:40:54+00:00,1224115507470766080,PawlowskiMario,"Why #Coronavirus Is A Bigger #Threat To The Global Economy Than Previous Outbreaks 

#Economy #GlobalEconomy #Wuhanvirus #SARS #USeconomy #China #ChinaEconomy #Chinavirus @AlvinFoo @Kuriharan @JGrobicki
via @forbes https://t.co/jmHH1AoKBq"
2020-02-02 23:40:22+00:00,1224115371495645186,Aethonaia,"#China wants to show the world what they are capable of (fast building), but can't control the spread of their own manipulated #coronavirus ... Don't fall for this nonsense. It's just a big facility with 1,000 beds for people to die...!
#Huoshenshan #WuhanVirus #ChinaCoronaVirus"
2020-02-02 23:38:31+00:00,1224114908461092866,astralz3r0,This is scary #China #Wuhan #Coronavirus #Coronarvirus #ChinaVirus #WuhanCoronavirus #CoronoaVirus #CoronaOutbreak  #ChinaCoronaVirus
2020-02-02 23:37:54+00:00,1224114750486974464,wong45682214,"Thanks Xi Jinping..

#ChinaCoronaVirus 
#China_is_terrorist 
#China_kills_Muslims 
#ChinaVirus 
#WuhanVirus 
#WuhanSARS 
#chinazi 
#coronavirusindia 
#wuhanpnemonia 
#wuhan
#HKGov"
2020-02-02 23:37:00+00:00,1224114524262817792,TPE_connect,10-year-old boy diagnosed with coronavirus shows no symptoms thus raising concerns if the virus is spreading undetected.... #China #Wuhan #Coronavirus #Coronarvirus #ChinaVirus #WuhanCoronavirus #CoronoaVirus #CoronaOutbreak  #ChinaCoronaVirus https://t.co/FkCKuWct2j
2020-02-02 23:36:29+00:00,1224114396458291207,xierongart,"Like millions of Chinese citizens, this is the 7th day my mum is been advised to stay at home. This afternoon, she felt strong earthquake, to stay in or to run out? #fear #wuhanvirus #chengdu #earthquake #dictatorship #survival #天灾人祸 #武汉 #成都地震 https://t.co/VkSe65I3N1"
2020-02-02 23:32:06+00:00,1224113292316151808,wong45682214,"Fucking hell.

#ChinaCoronaVirus 
#China_is_terrorist 
#China_kills_Muslims 
#ChinaVirus 
#WuhanVirus 
#WuhanSARS 
#chinazi 
#coronavirusindia 
#wuhanpnemonia 
#wuhan
#HKGov"
2020-02-02 23:30:43+00:00,1224112944008650758,AngieKozSwims,"This administration has again made us less safe through petty jealousy, ignorance, and abject arrogance and created an extremely disturbing situation wrt U.S. preparation (READ: horrifying lack there of) for pandemics in general &amp; the coronavirus. Worthwhile read. #WuhanVirus"
2020-02-02 23:30:33+00:00,1224112903923621888,tweets4uall,"16,762 cases, 361 deaths for Coronavirus worldwide.

#coronavirus #WuhanVirus #coronavirusindia https://t.co/ega3nDm2IE"
2020-02-02 23:28:50+00:00,1224112468756258816,ShortingIsFun,"Oil and gas are going to be free soon.

#oilandgas #WuhanVirus #coronavrius 

https://t.co/A8LeUT059g"
2020-02-02 23:26:22+00:00,1224111849286832130,ShortingIsFun,"Did the @NFL welcome the Chinese delegation attending the game all the way from Wuhan? 

#WuhanVirus #coronavrius #SuperBowl"
2020-02-02 23:24:20+00:00,1224111337565032450,thelaibanoman,"This is an outbreak of disease that stated in Wuhan, one of the central Chinese cities..
#CoronavirusWho #coronavirusindia #coronavirusinpakistan #WuhanVirus 
https://t.co/DMdM5fj1Q7"
2020-02-02 23:23:39+00:00,1224111165749395456,inkkai,Not all opportunity are opportunities. Some opportunities are disguised as distractions. Think before you commit. ~ CHINK + #quote #quoteoftheday
2020-02-02 23:23:18+00:00,1224111078403121152,wong45682214,"Is this even #HongKongPolice police ?

#HongKong 
#HongKongProtests 
#HKGov 
#HKPoliceTerrorists 
#hkpolicebrutality 
#HKPoliceState 
#HongkongPoliceTerrorism 
#StandWithHongKong 
#FreeHongKong 
#China_is_terrorist 
#WuhanVirus 
#coronavirusindia"
2020-02-02 23:22:54+00:00,1224110975424417792,aussiejackie,We can all learn a lot from #ChinaVirus emergency. Hospital it set up in 9 days! https://t.co/LymPL4KzWS
2020-02-02 23:20:57+00:00,1224110486930763776,BusinessTimes,#Wuhanvirus likely to have 'much wider and deeper impact' https://t.co/l3puQ30F6b
2020-02-02 23:19:33+00:00,1224110133787140107,Mahala89,"#coronavirus UK bus driver transporting people from #WuhanVirus area without any protection, can't believe it."
2020-02-02 23:19:00+00:00,1224109995744276486,dream_remy,"@Domo96954201 @SolomonYue #HongKongPolice assault peaceful protesters again and again. Communist China and its puppets permit this. Hope justice will be served soon!

#coronavirus 
#WuhanVirus https://t.co/WsebhSzB4v"
2020-02-02 23:11:38+00:00,1224108143854215168,Dimpelsnbytg,"The #WuhanVirus spreading from China is now likely to become a pandemic that circles the globe, according to many of the world’s leading infectious disease experts."
2020-02-02 23:05:41+00:00,1224106646349193221,healthstepsonly,"#coronavirus #cases #wuhan #WuhanVirus #WuhanOutbreak #WuhanLockDown #WuhanFlu #China #ChinaCoronaVirus #ChinaVirus #people #friends #family #Health #Wellness #news 
Are Actual Coronavirus Cases in Wuhan Far Higher Than Reported? - MedicineNet Health News https://t.co/bm1eaaZ382"
2020-02-02 22:57:00+00:00,1224104458050686976,TPE_connect,China: Man found dead on empty Wuhan street amid virus outbreak.... #China #Wuhan #Coronavirus #Coronarvirus #ChinaVirus #WuhanCoronavirus #CoronoaVirus #CoronaOutbreak  #ChinaCoronaVirus https://t.co/wk1u0DEXoT
2020-02-02 22:53:03+00:00,1224103467167272960,ivetka84019938,"#WuhanVirus

If only old people dies maybe this virus is made of to decrease old population"
2020-02-02 22:49:55+00:00,1224102676993994752,Keeley1001,So did their biological warfare lab explode or is it their dirty way they treat animals? #H5N1 #coronavirus #ChinaVirus #birdflu
2020-02-02 22:42:59+00:00,1224100931186368512,RoberrtHarrison,@jamiehuntt Fucking hell man chink Hahahaha
2020-02-02 22:42:55+00:00,1224100917013667840,TrumpCritic,#BREAKING Coronavirus case confirmed in the #Bay area. #WuhanVirus #Wuhan
2020-02-02 22:42:39+00:00,1224100849854533633,kxnt,#BREAKING Patient quarantined in Clark County has tested negative for Coronavirus  #coronavirus #coronaviruswuhan #ChinaCoronaVirus #ChinaVirus #kxnt #vegas #LasVegas
2020-02-02 22:42:25+00:00,1224100787967746053,ChiralMiller,Explosives found at train station on Hong Kong’s border with mainland China https://t.co/1B1HGdMkaZ via @scmpnews #HongKong #LoWu #MTR #coronavirus #protest #SCMP #news #epidemic #WuhanVirus #travel #香港 #冠状病毒 #border #羅湖 #train #罗湖 #港鐵
2020-02-02 22:42:07+00:00,1224100715129425921,ai1qaz2wsx3edc,@famous9_vlogs this is Propaganda the hospitals are over flowing and not taking new patients atm. please stop spreading fake ccp #Propaganda #coronavrius #ChinaVirus
2020-02-02 22:42:01+00:00,1224100689736945665,HazelLai10,@benedictrogers #CarrieLam commits crime against humanity. She acts as an accomplice of #CCPChina to repress pro-democracy protests. She does nothing to prevent the spread of #WuhanCoronavirus in #HongKong. I don’t think she will shed tears for any #HKer if he or she dies from #WuhanVirus.
2020-02-02 22:41:36+00:00,1224100582035804162,Lucas39631199,@ttingxiao This is so sad. Homeopathy remedies should be tested against this virus. Homeopathy was used during the Spanish flu.   #wuhanvirus #wuhancoronavirus #coronavirus #coronavirusoutbreak #wuhanoutbreak
