Week,chink: (United States),chinese virus: (United States),china virus: (United States),wuhan virus: (United States),kung flu: (United States)
2020-01-05,1,<1,1,<1,0
2020-01-12,1,1,3,1,0
2020-01-19,1,18,100,39,<1
2020-01-26,1,16,95,57,2
2020-02-02,1,6,38,24,1
2020-02-09,1,5,27,15,<1
2020-02-16,1,4,21,8,<1
2020-02-23,1,5,28,10,<1
2020-03-01,1,5,29,8,<1
2020-03-08,1,8,51,18,1
2020-03-15,1,33,80,22,11
2020-03-22,1,19,73,12,3
2020-03-29,1,9,38,8,1
2020-04-05,1,6,24,7,1
2020-04-12,1,5,20,8,<1
2020-04-19,1,3,12,5,<1
2020-04-26,1,2,8,4,<1
2020-05-03,1,2,7,3,<1
2020-05-10,1,2,5,2,<1
2020-05-17,1,1,6,2,<1
2020-05-24,1,1,4,1,<1
2020-05-31,1,1,2,1,<1
2020-06-07,1,<1,2,1,<1
2020-06-14,1,1,3,1,0
2020-06-21,1,1,2,1,13
2020-06-28,1,2,14,1,2
2020-07-05,1,1,6,1,1
2020-07-12,1,1,5,1,<1
2020-07-19,1,1,4,1,<1
2020-07-26,1,1,3,1,1
2020-08-02,1,1,3,<1,<1
2020-08-09,1,1,4,1,<1
2020-08-16,1,1,2,1,<1
2020-08-23,1,<1,2,<1,<1
2020-08-30,1,<1,2,<1,<1
2020-09-06,1,1,2,<1,<1
2020-09-13,1,1,3,1,<1
2020-09-20,1,1,2,<1,<1
2020-09-27,1,1,2,<1,<1
2020-10-04,1,1,3,<1,<1
2020-10-11,1,1,2,<1,<1
2020-10-18,1,<1,2,<1,<1
2020-10-25,1,<1,2,<1,<1
2020-11-01,1,<1,1,<1,<1
2020-11-08,1,<1,1,<1,<1
2020-11-15,1,<1,2,<1,<1
2020-11-22,1,<1,1,<1,<1
2020-11-29,1,<1,2,<1,<1
2020-12-06,1,1,2,<1,<1
2020-12-13,1,<1,2,<1,<1
2020-12-20,1,<1,2,<1,<1
2020-12-27,1,<1,2,1,<1
