
Day,Chinese virus + China virus + Wuhan virus + kung flu: (United States)
2020-01-01,0
2020-01-02,<1
2020-01-03,<1
2020-01-04,<1
2020-01-05,<1
2020-01-06,1
2020-01-07,1
2020-01-08,<1
2020-01-09,1
2020-01-10,<1
2020-01-11,<1
2020-01-12,1
2020-01-13,<1
2020-01-14,1
2020-01-15,1
2020-01-16,1
2020-01-17,3
2020-01-18,7
2020-01-19,5
2020-01-20,11
2020-01-21,55
2020-01-22,63
2020-01-23,73
2020-01-24,100
2020-01-25,90
2020-01-26,79
2020-01-27,73
2020-01-28,74
2020-01-29,58
2020-01-30,53
2020-01-31,47
2020-02-01,37
2020-02-02,33
2020-02-03,28
2020-02-04,24
2020-02-05,22
2020-02-06,23
2020-02-07,24
2020-02-08,21
2020-02-09,22
2020-02-10,20
2020-02-11,21
2020-02-12,15
2020-02-13,17
2020-02-14,15
2020-02-15,13
2020-02-16,14
2020-02-17,14
2020-02-18,14
2020-02-19,12
2020-02-20,9
2020-02-21,10
2020-02-22,10
2020-02-23,10
2020-02-24,12
2020-02-25,14
2020-02-26,17
2020-02-27,19
2020-02-28,20
2020-02-29,17
2020-03-01,16
2020-03-02,19
2020-03-03,16
2020-03-04,14
2020-03-05,15
2020-03-06,15
2020-03-07,16
2020-03-08,16
2020-03-09,16
2020-03-10,19
2020-03-11,23
2020-03-12,42
2020-03-13,41
2020-03-14,38
2020-03-15,35
2020-03-16,39
2020-03-17,51
2020-03-18,67
2020-03-19,72
2020-03-20,60
2020-03-21,51
2020-03-22,48
2020-03-23,36
2020-03-24,40
2020-03-25,44
2020-03-26,40
2020-03-27,34
2020-03-28,30
2020-03-29,27
2020-03-30,23
2020-03-31,21
2020-04-01,22
2020-04-02,19
2020-04-03,17
2020-04-04,18
2020-04-05,19
2020-04-06,18
2020-04-07,14
2020-04-08,13
2020-04-09,11
2020-04-10,10
2020-04-11,12
2020-04-12,12
2020-04-13,10
2020-04-14,11
2020-04-15,11
2020-04-16,16
2020-04-17,13
2020-04-18,11
2020-04-19,9
2020-04-20,8
2020-04-21,8
2020-04-22,7
2020-04-23,6
2020-04-24,6
2020-04-25,6
2020-04-26,6
2020-04-27,5
2020-04-28,5
2020-04-29,5
2020-04-30,5
2020-05-01,6
2020-05-02,5
2020-05-03,5
2020-05-04,6
2020-05-05,5
2020-05-06,4
2020-05-07,4
2020-05-08,4
2020-05-09,3
2020-05-10,4
2020-05-11,4
2020-05-12,4
2020-05-13,3
2020-05-14,2
2020-05-15,3
2020-05-16,3
2020-05-17,3
2020-05-18,3
2020-05-19,4
2020-05-20,4
2020-05-21,4
2020-05-22,3
2020-05-23,3
2020-05-24,2
2020-05-25,3
2020-05-26,3
2020-05-27,2
2020-05-28,2
2020-05-29,2
2020-05-30,2
2020-05-31,1
2020-06-01,1
2020-06-02,1
2020-06-03,1
2020-06-04,1
2020-06-05,1
2020-06-06,1
2020-06-07,1
2020-06-08,1
2020-06-09,1
2020-06-10,1
2020-06-11,1
2020-06-12,1
2020-06-13,1
2020-06-14,1
2020-06-15,2
2020-06-16,2
2020-06-17,2
2020-06-18,2
2020-06-19,2
2020-06-20,1
2020-06-21,13
2020-06-22,8
2020-06-23,8
2020-06-24,6
2020-06-25,5
2020-06-26,4
2020-06-27,2
2020-06-28,2
2020-06-29,5
2020-06-30,17
