,0
2020-01-01,0.0
2020-01-02,0.5
2020-01-03,0.5
2020-01-04,0.5
2020-01-05,0.5
2020-01-06,1.0
2020-01-07,1.0
2020-01-08,0.5
2020-01-09,1.0
2020-01-10,0.5
2020-01-11,0.5
2020-01-12,1.0
2020-01-13,0.5
2020-01-14,1.0
2020-01-15,1.0
2020-01-16,1.0
2020-01-17,3.0
2020-01-18,7.0
2020-01-19,5.0
2020-01-20,11.0
2020-01-21,55.0
2020-01-22,63.0
2020-01-23,73.0
2020-01-24,100.0
2020-01-25,90.0
2020-01-26,79.0
2020-01-27,73.0
2020-01-28,74.0
2020-01-29,58.0
2020-01-30,53.0
2020-01-31,47.0
2020-02-01,37.0
2020-02-02,33.0
2020-02-03,28.0
2020-02-04,24.0
2020-02-05,22.0
2020-02-06,23.0
2020-02-07,24.0
2020-02-08,21.0
2020-02-09,22.0
2020-02-10,20.0
2020-02-11,21.0
2020-02-12,15.0
2020-02-13,17.0
2020-02-14,15.0
2020-02-15,13.0
2020-02-16,14.0
2020-02-17,14.0
2020-02-18,14.0
2020-02-19,12.0
2020-02-20,9.0
2020-02-21,10.0
2020-02-22,10.0
2020-02-23,10.0
2020-02-24,12.0
2020-02-25,14.0
2020-02-26,17.0
2020-02-27,19.0
2020-02-28,20.0
2020-02-29,17.0
2020-03-01,16.0
2020-03-02,19.0
2020-03-03,16.0
2020-03-04,14.0
2020-03-05,15.0
2020-03-06,15.0
2020-03-07,16.0
2020-03-08,16.0
2020-03-09,16.0
2020-03-10,19.0
2020-03-11,23.0
2020-03-12,42.0
2020-03-13,41.0
2020-03-14,38.0
2020-03-15,35.0
2020-03-16,39.0
2020-03-17,51.0
2020-03-18,67.0
2020-03-19,72.0
2020-03-20,60.0
2020-03-21,51.0
2020-03-22,48.0
2020-03-23,36.0
2020-03-24,40.0
2020-03-25,44.0
2020-03-26,40.0
2020-03-27,34.0
2020-03-28,30.0
2020-03-29,27.0
2020-03-30,23.0
2020-03-31,21.0
2020-04-01,22.0
2020-04-02,19.0
2020-04-03,17.0
2020-04-04,18.0
2020-04-05,19.0
2020-04-06,18.0
2020-04-07,14.0
2020-04-08,13.0
2020-04-09,11.0
2020-04-10,10.0
2020-04-11,12.0
2020-04-12,12.0
2020-04-13,10.0
2020-04-14,11.0
2020-04-15,11.0
2020-04-16,16.0
2020-04-17,13.0
2020-04-18,11.0
2020-04-19,9.0
2020-04-20,8.0
2020-04-21,8.0
2020-04-22,7.0
2020-04-23,6.0
2020-04-24,6.0
2020-04-25,6.0
2020-04-26,6.0
2020-04-27,5.0
2020-04-28,5.0
2020-04-29,5.0
2020-04-30,5.0
2020-05-01,6.0
2020-05-02,5.0
2020-05-03,5.0
2020-05-04,6.0
2020-05-05,5.0
2020-05-06,4.0
2020-05-07,4.0
2020-05-08,4.0
2020-05-09,3.0
2020-05-10,4.0
2020-05-11,4.0
2020-05-12,4.0
2020-05-13,3.0
2020-05-14,2.0
2020-05-15,3.0
2020-05-16,3.0
2020-05-17,3.0
2020-05-18,3.0
2020-05-19,4.0
2020-05-20,4.0
2020-05-21,4.0
2020-05-22,3.0
2020-05-23,3.0
2020-05-24,2.0
2020-05-25,3.0
2020-05-26,3.0
2020-05-27,2.0
2020-05-28,2.0
2020-05-29,2.0
2020-05-30,2.0
2020-05-31,1.0
2020-06-01,1.0
2020-06-02,1.0
2020-06-03,1.0
2020-06-04,1.0
2020-06-05,1.0
2020-06-06,1.0
2020-06-07,1.0
2020-06-08,1.0
2020-06-09,1.0
2020-06-10,1.0
2020-06-11,1.0
2020-06-12,1.0
2020-06-13,1.0
2020-06-14,1.0
2020-06-15,2.0
2020-06-16,2.0
2020-06-17,2.0
2020-06-18,2.0
2020-06-19,2.0
2020-06-20,1.0
2020-06-21,13.0
2020-06-22,8.0
2020-06-23,8.0
2020-06-24,6.0
2020-06-25,5.0
2020-06-26,4.0
2020-06-27,2.0
2020-06-28,2.0
2020-06-29,5.0
2020-06-30,17.0
2020-07-01,100.0
2020-07-02,56.0
2020-07-03,34.0
2020-07-04,36.0
2020-07-05,30.0
2020-07-06,42.0
2020-07-07,35.0
2020-07-08,34.0
