,0
2020-01-01,194
2020-01-02,297
2020-01-03,445
2020-01-04,356
2020-01-05,248
2020-01-06,218
2020-01-07,266
2020-01-08,294
2020-01-09,365
2020-01-10,245
2020-01-11,248
2020-01-12,235
2020-01-13,286
2020-01-14,324
2020-01-15,292
2020-01-16,341
2020-01-17,204
2020-01-18,242
2020-01-19,238
2020-01-20,211
2020-01-21,298
2020-01-22,340
2020-01-23,301
2020-01-24,349
2020-01-25,271
2020-01-26,303
2020-01-27,254
2020-01-28,248
2020-01-29,322
2020-01-30,313
2020-01-31,293
2020-02-01,248
2020-02-02,200
2020-02-03,234
2020-02-04,236
2020-02-05,295
2020-02-06,258
2020-02-07,273
2020-02-08,230
2020-02-09,222
2020-02-10,142
2020-02-11,139
2020-02-12,208
2020-02-13,231
2020-02-14,241
2020-02-15,204
2020-02-16,211
2020-02-17,204
2020-02-18,281
2020-02-19,257
2020-02-20,243
2020-02-21,201
2020-02-22,228
2020-02-23,239
2020-02-24,355
2020-02-25,244
2020-02-26,324
2020-02-27,257
2020-02-28,232
2020-02-29,258
2020-03-01,247
2020-03-02,206
2020-03-03,262
2020-03-04,251
2020-03-05,252
2020-03-06,194
2020-03-07,268
2020-03-08,177
2020-03-09,264
2020-03-10,272
2020-03-11,290
2020-03-12,325
2020-03-13,315
2020-03-14,264
2020-03-15,241
2020-03-16,355
2020-03-17,532
2020-03-18,558
2020-03-19,583
2020-03-20,492
2020-03-21,395
2020-03-22,400
2020-03-23,510
2020-03-24,391
2020-03-25,369
2020-03-26,378
2020-03-27,459
2020-03-28,331
2020-03-29,416
2020-03-30,554
2020-03-31,389
2020-04-01,324
2020-04-02,322
2020-04-03,418
2020-04-04,330
2020-04-05,389
2020-04-06,371
2020-04-07,356
2020-04-08,343
2020-04-09,421
2020-04-10,398
2020-04-11,334
2020-04-12,207
2020-04-13,232
2020-04-14,239
2020-04-15,373
2020-04-16,356
2020-04-17,442
2020-04-18,417
2020-04-19,342
2020-04-20,402
2020-04-21,420
2020-04-22,506
2020-04-23,452
2020-04-24,380
2020-04-25,285
2020-04-26,320
2020-04-27,375
2020-04-28,354
2020-04-29,343
2020-04-30,460
2020-05-01,398
2020-05-02,270
2020-05-03,262
2020-05-04,345
2020-05-05,347
2020-05-06,393
2020-05-07,630
2020-05-08,562
2020-05-09,308
2020-05-10,268
2020-05-11,340
2020-05-12,414
2020-05-13,396
2020-05-14,361
2020-05-15,364
2020-05-16,274
2020-05-17,304
2020-05-18,350
2020-05-19,383
2020-05-20,384
2020-05-21,442
2020-05-22,510
2020-05-23,404
2020-05-24,431
2020-05-25,393
2020-05-26,431
2020-05-27,437
2020-05-28,465
2020-05-29,563
2020-05-30,511
2020-05-31,382
2020-06-01,409
2020-06-02,433
2020-06-03,496
2020-06-04,416
2020-06-05,484
2020-06-06,545
2020-06-07,520
2020-06-08,482
2020-06-09,534
2020-06-10,478
2020-06-11,386
2020-06-12,705
2020-06-13,505
2020-06-14,506
2020-06-15,448
2020-06-16,463
2020-06-17,465
2020-06-18,416
2020-06-19,370
2020-06-20,388
2020-06-21,450
2020-06-22,439
2020-06-23,386
2020-06-24,441
2020-06-25,480
2020-06-26,380
2020-06-27,438
2020-06-28,497
2020-06-29,402
2020-06-30,458
2020-07-01,374
2020-07-02,395
2020-07-03,362
2020-07-04,330
2020-07-05,365
2020-07-06,388
2020-07-07,443
2020-07-08,385
2020-07-09,334
2020-07-10,330
2020-07-11,335
2020-07-12,422
2020-07-13,382
2020-07-14,480
2020-07-15,383
2020-07-16,390
2020-07-17,360
2020-07-18,214
2020-07-19,359
2020-07-20,502
2020-07-21,378
2020-07-22,342
2020-07-23,339
2020-07-24,343
2020-07-25,387
2020-07-26,315
2020-07-27,414
2020-07-28,371
2020-07-29,428
2020-07-30,319
2020-07-31,352
2020-08-01,302
2020-08-02,292
2020-08-03,324
2020-08-04,387
2020-08-05,369
2020-08-06,387
2020-08-07,408
2020-08-08,343
2020-08-09,254
2020-08-10,429
2020-08-11,397
2020-08-12,325
2020-08-13,368
2020-08-14,368
2020-08-15,328
2020-08-16,360
2020-08-17,327
2020-08-18,320
2020-08-19,322
2020-08-20,311
2020-08-21,380
2020-08-22,241
2020-08-23,228
2020-08-24,274
2020-08-25,336
2020-08-26,457
2020-08-27,423
2020-08-28,364
2020-08-29,333
2020-08-30,300
2020-08-31,373
2020-09-01,473
2020-09-02,358
2020-09-03,398
2020-09-04,285
2020-09-05,271
2020-09-06,259
2020-09-07,357
2020-09-08,305
2020-09-09,368
2020-09-10,333
2020-09-11,280
2020-09-12,333
2020-09-13,234
2020-09-14,282
2020-09-15,383
2020-09-16,390
2020-09-17,358
2020-09-18,252
2020-09-19,288
2020-09-20,238
2020-09-21,341
2020-09-22,290
2020-09-23,373
2020-09-24,280
2020-09-25,302
2020-09-26,263
2020-09-27,375
2020-09-28,545
2020-09-29,430
2020-09-30,377
2020-10-01,262
2020-10-02,424
2020-10-03,320
2020-10-04,311
2020-10-05,345
2020-10-06,288
2020-10-07,278
2020-10-08,306
2020-10-09,337
2020-10-10,292
2020-10-11,284
2020-10-12,312
2020-10-13,520
2020-10-14,644
2020-10-15,384
2020-10-16,306
2020-10-17,321
2020-10-18,319
2020-10-19,322
2020-10-20,283
2020-10-21,515
2020-10-22,439
2020-10-23,408
2020-10-24,267
2020-10-25,455
2020-10-26,578
2020-10-27,433
2020-10-28,336
2020-10-29,345
2020-10-30,560
2020-10-31,267
2020-11-01,303
2020-11-02,479
2020-11-03,438
2020-11-04,425
2020-11-05,428
2020-11-06,395
2020-11-07,464
2020-11-08,413
2020-11-09,374
2020-11-10,520
2020-11-11,266
2020-11-12,568
2020-11-13,545
2020-11-14,256
2020-11-15,274
2020-11-16,265
2020-11-17,341
2020-11-18,437
2020-11-19,379
2020-11-20,266
2020-11-21,301
2020-11-22,300
2020-11-23,448
2020-11-24,449
2020-11-25,475
2020-11-26,354
2020-11-27,242
2020-11-28,280
2020-11-29,389
2020-11-30,374
2020-12-01,355
2020-12-02,409
2020-12-03,296
2020-12-04,320
2020-12-05,248
2020-12-06,421
2020-12-07,485
2020-12-08,305
2020-12-09,333
2020-12-10,353
2020-12-11,379
2020-12-12,336
2020-12-13,425
2020-12-14,356
2020-12-15,407
2020-12-16,405
2020-12-17,417
2020-12-18,414
2020-12-19,385
2020-12-20,351
2020-12-21,300
2020-12-22,307
2020-12-23,341
2020-12-24,417
2020-12-25,306
2020-12-26,302
2020-12-27,390
2020-12-28,359
2020-12-29,371
2020-12-30,344
2020-12-31,344
