,0
2020-01-05,2024
2020-01-12,1997
2020-01-19,1826
2020-01-26,2066
2020-02-02,1846
2020-02-09,1559
2020-02-16,1580
2020-02-23,1767
2020-03-01,1786
2020-03-08,1678
2020-03-15,2322
2020-03-22,3329
2020-03-29,2896
2020-04-05,2510
2020-04-12,2174
2020-04-19,2752
2020-04-26,2672
2020-05-03,2425
2020-05-10,2915
2020-05-17,2432
2020-05-24,2995
2020-05-31,3200
2020-06-07,3477
2020-06-14,3491
2020-06-21,2914
2020-06-28,3096
2020-07-05,2657
2020-07-12,2668
2020-07-19,2586
2020-07-26,2511
2020-08-02,2404
2020-08-09,2587
2020-08-16,2396
2020-08-23,2092
2020-08-30,2723
2020-09-06,2233
2020-09-13,2213
2020-09-20,2157
2020-09-27,2568
2020-10-04,2327
2020-10-11,2329
2020-10-18,2579
2020-10-25,3095
2020-11-01,2728
2020-11-08,3019
2020-11-15,2515
2020-11-22,2580
2020-11-29,2469
2020-12-06,2484
2020-12-13,2589
2020-12-20,2579
2020-12-27,2486
