,0
2020-01-01,59.0
2020-01-02,60.0
2020-01-03,42.0
2020-01-04,42.0
2020-01-05,36.0
2020-01-06,46.0
2020-01-07,19.0
2020-01-08,44.0
2020-01-09,28.0
2020-01-10,47.0
2020-01-11,47.0
2020-01-12,48.0
2020-01-13,37.0
2020-01-14,33.0
2020-01-15,74.0
2020-01-16,28.0
2020-01-17,48.0
2020-01-18,41.0
2020-01-19,46.0
2020-01-20,41.0
2020-01-21,51.0
2020-01-22,53.0
2020-01-23,58.0
2020-01-24,59.0
2020-01-25,40.0
2020-01-26,63.0
2020-01-27,39.0
2020-01-28,52.0
2020-01-29,38.0
2020-01-30,60.0
2020-01-31,60.0
2020-02-01,38.0
2020-02-02,75.0
2020-02-03,39.0
2020-02-04,35.0
2020-02-05,39.0
2020-02-06,38.0
2020-02-07,48.0
2020-02-08,53.0
2020-02-09,54.0
2020-02-10,55.0
2020-02-11,45.0
2020-02-12,30.0
2020-02-13,43.0
2020-02-14,40.0
2020-02-15,18.0
2020-02-16,43.0
2020-02-17,34.0
2020-02-18,28.0
2020-02-19,56.0
2020-02-20,31.0
2020-02-21,46.0
2020-02-22,40.0
2020-02-23,36.0
2020-02-24,32.0
2020-02-25,62.0
2020-02-26,47.0
2020-02-27,18.0
2020-02-28,25.0
2020-02-29,64.0
2020-03-01,53.0
2020-03-02,34.0
2020-03-03,42.0
2020-03-04,57.0
2020-03-05,74.0
2020-03-06,53.0
2020-03-07,44.0
2020-03-08,52.0
2020-03-09,38.0
2020-03-10,53.0
2020-03-11,54.0
2020-03-12,49.0
2020-03-13,49.0
2020-03-14,47.0
2020-03-15,0.0
2020-03-16,23.0
2020-03-17,58.0
2020-03-18,55.0
2020-03-19,84.0
2020-03-20,59.0
2020-03-21,60.0
2020-03-22,47.0
2020-03-23,61.0
2020-03-24,44.0
2020-03-25,62.0
2020-03-26,47.0
2020-03-27,57.0
2020-03-28,55.0
2020-03-29,60.0
2020-03-30,39.0
2020-03-31,49.0
2020-04-01,40.0
2020-04-02,39.0
2020-04-03,64.0
2020-04-04,59.0
2020-04-05,69.0
2020-04-06,39.0
2020-04-07,48.0
2020-04-08,39.0
2020-04-09,43.0
2020-04-10,48.0
2020-04-11,49.0
2020-04-12,69.0
2020-04-13,42.0
2020-04-14,41.0
2020-04-15,45.0
2020-04-16,39.0
2020-04-17,38.0
2020-04-18,54.0
2020-04-19,79.0
2020-04-20,36.0
2020-04-21,44.0
2020-04-22,65.0
2020-04-23,46.0
2020-04-24,35.0
2020-04-25,48.0
2020-04-26,50.0
2020-04-27,48.0
2020-04-28,50.0
2020-04-29,46.0
2020-04-30,40.0
2020-05-01,32.0
2020-05-02,51.0
2020-05-03,60.0
2020-05-04,52.0
2020-05-05,44.0
2020-05-06,44.0
2020-05-07,33.0
2020-05-08,26.0
2020-05-09,53.0
2020-05-10,63.0
2020-05-11,47.0
2020-05-12,44.0
2020-05-13,48.0
2020-05-14,53.0
2020-05-15,51.0
2020-05-16,50.0
2020-05-17,49.0
2020-05-18,47.0
2020-05-19,34.0
2020-05-20,35.0
2020-05-21,59.0
2020-05-22,39.0
2020-05-23,41.0
2020-05-24,56.0
2020-05-25,33.0
2020-05-26,100.0
2020-05-27,48.0
2020-05-28,53.0
2020-05-29,53.0
2020-05-30,34.0
2020-05-31,54.0
2020-06-01,52.0
2020-06-02,52.0
2020-06-03,36.0
2020-06-04,38.0
2020-06-05,58.0
2020-06-06,55.0
2020-06-07,49.0
2020-06-08,51.0
2020-06-09,43.0
2020-06-10,28.0
2020-06-11,39.0
2020-06-12,48.0
2020-06-13,69.0
2020-06-14,84.0
2020-06-15,39.0
2020-06-16,56.0
2020-06-17,69.0
2020-06-18,48.0
2020-06-19,44.0
2020-06-20,49.0
2020-06-21,54.0
2020-06-22,52.0
2020-06-23,54.0
2020-06-24,69.0
2020-06-25,54.0
2020-06-26,50.0
2020-06-27,47.0
2020-06-28,34.0
2020-06-29,44.0
2020-06-30,22.0
2020-07-01,64.0
2020-07-02,49.0
2020-07-03,63.0
2020-07-04,61.0
2020-07-05,45.0
2020-07-06,49.0
2020-07-07,45.0
2020-07-08,27.0
2020-07-09,46.0
2020-07-10,100.0
2020-07-11,35.0
2020-07-12,85.0
2020-07-13,43.0
2020-07-14,38.0
2020-07-15,56.0
2020-07-16,72.0
2020-07-17,39.0
2020-07-18,51.0
2020-07-19,77.0
2020-07-20,62.0
2020-07-21,46.0
2020-07-22,46.0
2020-07-23,62.0
2020-07-24,39.0
2020-07-25,66.0
2020-07-26,36.0
2020-07-27,78.0
2020-07-28,60.0
2020-07-29,90.0
2020-07-30,75.0
2020-07-31,39.0
2020-08-01,87.0
2020-08-02,15.0
2020-08-03,66.0
2020-08-04,71.0
2020-08-05,62.0
2020-08-06,69.0
2020-08-07,78.0
2020-08-08,53.0
2020-08-09,58.0
2020-08-10,58.0
2020-08-11,37.0
2020-08-12,56.0
2020-08-13,59.0
2020-08-14,41.0
2020-08-15,74.0
2020-08-16,44.0
2020-08-17,45.0
2020-08-18,47.0
2020-08-19,60.0
2020-08-20,46.0
2020-08-21,36.0
2020-08-22,74.0
2020-08-23,59.0
2020-08-24,52.0
2020-08-25,54.0
2020-08-26,60.0
2020-08-27,42.0
2020-08-28,59.0
2020-08-29,70.0
2020-08-30,95.0
2020-08-31,74.0
2020-09-01,33.0
2020-09-02,69.0
2020-09-03,63.0
2020-09-04,39.0
2020-09-05,63.0
2020-09-06,76.0
2020-09-07,61.0
2020-09-08,49.0
2020-09-09,57.0
2020-09-10,52.0
2020-09-11,48.0
2020-09-12,67.0
2020-09-13,65.0
2020-09-14,45.0
2020-09-15,53.0
2020-09-16,57.0
2020-09-17,58.0
2020-09-18,57.0
2020-09-19,59.0
2020-09-20,78.0
2020-09-21,56.0
2020-09-22,73.0
2020-09-23,64.0
2020-09-24,67.0
2020-09-25,63.0
2020-09-26,46.0
2020-09-27,61.0
2020-09-28,39.0
2020-09-29,37.0
2020-09-30,58.0
2020-10-01,41.0
2020-10-02,54.0
2020-10-03,34.0
2020-10-04,34.0
2020-10-05,31.0
2020-10-06,36.0
2020-10-07,44.0
2020-10-08,50.0
2020-10-09,51.0
2020-10-10,55.0
2020-10-11,71.0
2020-10-12,49.0
2020-10-13,41.0
2020-10-14,47.0
2020-10-15,68.0
2020-10-16,74.0
2020-10-17,34.0
2020-10-18,60.0
2020-10-19,70.0
2020-10-20,48.0
2020-10-21,51.0
2020-10-22,52.0
2020-10-23,47.0
2020-10-24,69.0
2020-10-25,61.0
2020-10-26,45.0
2020-10-27,39.0
2020-10-28,61.0
2020-10-29,55.0
2020-10-30,68.0
2020-10-31,65.0
2020-11-01,65.0
2020-11-02,53.0
2020-11-03,55.0
2020-11-04,25.0
2020-11-05,33.0
2020-11-06,67.0
2020-11-07,61.0
2020-11-08,89.0
2020-11-09,55.0
2020-11-10,54.0
2020-11-11,47.0
2020-11-12,65.0
2020-11-13,54.0
2020-11-14,57.0
2020-11-15,67.0
2020-11-16,63.0
2020-11-17,39.0
2020-11-18,59.0
2020-11-19,56.0
2020-11-20,85.0
2020-11-21,63.0
2020-11-22,71.0
2020-11-23,43.0
2020-11-24,63.0
2020-11-25,30.0
2020-11-26,95.0
2020-11-27,57.0
2020-11-28,74.0
2020-11-29,38.0
2020-11-30,28.0
2020-12-01,47.0
2020-12-02,49.0
2020-12-03,70.0
2020-12-04,62.0
2020-12-05,59.0
2020-12-06,43.0
2020-12-07,57.0
2020-12-08,35.0
2020-12-09,61.0
2020-12-10,22.0
2020-12-11,69.0
2020-12-12,41.0
2020-12-13,68.0
2020-12-14,66.0
2020-12-15,44.0
2020-12-16,39.0
2020-12-17,62.0
2020-12-18,84.0
2020-12-19,53.0
2020-12-20,37.0
2020-12-21,34.0
2020-12-22,55.0
2020-12-23,23.0
2020-12-24,68.0
2020-12-25,72.0
2020-12-26,40.0
2020-12-27,21.0
2020-12-28,48.0
2020-12-29,69.0
2020-12-30,53.0
2020-12-31,51.0
