Datetime,Tweet Id,Text,Username
2020-10-30 23:54:28+00:00,1322326032351977473,"@RajaSaami @hazharoon @Ahson8 I think imad and faheem won't make it to 2023 world cup honestly because another leg spinner much arise from the depths lol, like abrar Ahmed, Usman qadir,  Muhammad mohsin, also maybe an unorthodox chinaman spinner like India has with kuldeep (Pakistan might have in faisal akram",abdullahcricfan
2020-10-30 23:43:32+00:00,1322323283237240832,Y’all still eating chinaman? 😒,KamCooper_
2020-10-30 21:35:49+00:00,1322291142285619200,@DavidChiu Chinaman why are you speaking about an ADOS brother like this. He has lost his way but he will always be the inheritor of this land unlike you. Lightskin Latinos are white and don’t belong to this land Ward was not wrong. #ADOS #Reparations,DaveADoS1
2020-10-30 21:24:59+00:00,1322288412024578049,FOREX (Prod. By Chinaman Hustle) by Jiggy Germ on #SoundCloud https://t.co/GUCeoCNHM3 #repost,1JiggyGerm
2020-10-30 21:13:26+00:00,1322285505904599042,"#NowPlaying Supa D -  chinaman (quarantine mix)
@DJSUPAD @SWUFM",ClubDjembe
2020-10-30 20:57:51+00:00,1322281584343461888,@AmaraCNN I am Asian American.  I too had “Ching Chong Chinaman” in the playground. I was called a chink by adults when I was 12.  I was bullied in school.  Trump is the new bully.  He’s made it so my wife and I get stares and glares.  Vote Trump Out.,gnng37224626
2020-10-30 19:34:37+00:00,1322260638014517250,"The author of this book dies at the age of 33. His book was called The Brotherhood: The Hidden World of the Freemasons. This chapter was xalled, 'The Chinaman Report'. Relevant?https://t.co/I4yo7DtL23",TheCrushedBones
2020-10-30 19:17:52+00:00,1322256423963811840,@realDonaldTrump But you pay taxes to the Chinaman mister president!,al_ayierh
2020-10-30 19:16:20+00:00,1322256037324443650,@disclosetv I hate Chinaman Trudeau,solidasalake
2020-10-30 17:41:59+00:00,1322232292455059461,@catturd2 Why s he shut his eyes like a Chinaman!,rghvpandey
2020-10-30 17:28:07+00:00,1322228805184966656,@_Prisssssy Chinaman,Saucegodjayy_
2020-10-30 17:17:11+00:00,1322226052035465217,"The first alcoholic dairy based on an A, B and Ronnie the mouth! I strap on that Chinaman stole my shirt off.",SunnyBot500
2020-10-30 16:46:58+00:00,1322218449209335815,@KeithWoodsYT “Aggressively Pan African” checks out pretty much probably so aggressively pan African her Bantu peoples “accidentally” slaughtered raped and genocided the Pgymies Khoisan and Cushitic peoples in a rush to establish the Pan African socialist paradise free from whitey and Chinaman https://t.co/US9zlsjjE6,GaelicRatMaster
2020-10-30 16:34:00+00:00,1322215183721340928,"https://t.co/RVcTOQRZFb Leslie Kong ""the Chinaman"" helped Jamaica's greatest hitmakers make hits....but did he succumb to a curse?",zip103fm
2020-10-30 16:21:46+00:00,1322212106431832064,"Media tries to rewrite history. Again. 

Is a Chinaman playing Harry?",LodgieFromLanza
2020-10-30 15:38:03+00:00,1322201107473584130,"@Magician147 please could you stop calling Zhao Xintong ‘the Chinaman’, as I find it disrespectful. #racist",wirralbin
2020-10-30 15:03:39+00:00,1322192447267508226,"World War III Has Already Begun 
That's because of the f****** Chinaman it was released there to control their aging population but it got out and then our stupid f****** prime minister turns around and let them all into Canada",weinberger_f
2020-10-30 14:49:14+00:00,1322188821740490755,#staraikelungal why Chinaman bowlers become easy target for left handers? Your take on that experts..,ProfSreenivasan
2020-10-30 14:46:12+00:00,1322188058502967304,"@cnnphilippines THE SECRET TO KEEP YOU AWAY IN HARMS WAY WHENEVER IN A CROWDED PLACES ""THE CHINAMAN'S PRESENCE"".IF HE DOESN'T SPEAK TAGALOG,BISAYA OR ENGLISH COMBINE THEN PICK-UP A 2x2 WOODEN STICK &amp; WACK HIS/HER FACE-OFF. BUT,REMEMBER HE HAVE A MULE CARRIER FOR THE COVID-19 IN CANS,BOTTLES ...",flourescent18
2020-10-30 14:46:12+00:00,1322188056816996359,@SpinnersPodcast Where can I get the hair of a Chinaman?,AVERAGEJOE33
2020-10-30 14:03:30+00:00,1322177311211429889,@DonaldJTrumpJr Does that  mean that Melania is in bed with a Chinaman because she's been dealing with them for years,johnallenhewitt
2020-10-30 12:29:35+00:00,1322153677923209217,@kloheizung @Luggi420 Kloh the undercover chinaman,_Sabach
2020-10-30 11:42:47+00:00,1322141896949596160,@jameshohmann I went to Mongolia to hunt endangered species and daddy bought me a pony and a chinaman. https://t.co/G6lasmaASJ,cborkowski
2020-10-30 11:02:13+00:00,1322131689020157953,"@vivekagnihotri Indians don’t care what Pakis or Chinaman says, from now on , if they do anything they will have it double. i am not talking about talk but a jaw breaking fight. Enough of these bull shits",anandayush
2020-10-30 10:40:14+00:00,1322126158809292800,"みんなからの匿名質問を募集中！

こんな質問に答えてるよ
● やっぱりホモじゃねぇか…
● 1日に何回洗顔してる？…
● オレたちが活躍するゲーム『クリ…
● 最近読んでる冒険小説が面白くっ…
#質問箱 #匿名質問募集中

https://t.co/UkAIqpRrRS",Mr_Chinaman
2020-10-30 09:02:10+00:00,1322101479428313089,"SAVAGES! IDIOTS! Dennis, you know, she saw Tammy because Maureen Kinallen said that Chinaman stole my brothers, right?",SunnyBot500
2020-10-30 08:27:17+00:00,1322092700816961537,"@Binkuwa @nxre_ It was a joke in the end of Sinhala translation of Shehan Karunatilaka's Chinaman. About how white people called South Asians curries, and narrators was quipping about what if curry became carry 😂",realshenal
2020-10-30 07:24:02+00:00,1322076782179201024,ya Tuhan.. knp aku kerja dgn chinaman yg tidak tau ikut rules?,McG_PmL
2020-10-30 06:42:42+00:00,1322066381505003520,@MomeleziCele @Stephan19847 A Chinese born in South Africa would be a South African Chinaman.,Curious6263
2020-10-30 04:39:24+00:00,1322035350072561664,"During the pneumonic plague outbreak in 1910, he designed a mask made of layers of cotton and gauze. No one took his design seriously. His peers were skeptical, criticizing him with racist remarks, “What can we expect from a Chinaman?”",alsainti_
2020-10-30 04:28:53+00:00,1322032704657920002,Work till my nose bleed and chinaman said GOOD THAT MEAN YOU WORK HARD,vapedooboo
2020-10-30 03:41:13+00:00,1322020708600418306,@GAFollowers Racist chinaman be racist chinaman-ing,CuckSheep
2020-10-30 02:30:45+00:00,1322002975607394304,"@Patriot_Musket Name of the constipated Chinaman?
Hung Chow.",ColonelGruber
2020-10-30 02:01:47+00:00,1321995686649487361,@googlemaps when its your birthday https://t.co/JbWiGkFN0E,Simple_Chinaman
2020-10-30 01:29:08+00:00,1321987467419947010,@MarkDice Jack CHINAMAN Dorsey,icelandic22
2020-10-30 00:56:32+00:00,1321979264997183488,Mokoliʻi Island (Chinaman’s Hat) https://t.co/PRaCZgb0oO,trinicutiegal
2020-10-29 23:10:44+00:00,1321952640410947584,"“If you find rice in your burrito, it’s from a chinaman taking a Mexicans job on the railway then planting his filler carb”",WhiteCocoaStick
2020-10-29 23:00:02+00:00,1321949945163845635,"who jumped in limousines with the Chinaman of Oklahoma on the impulse of winter midnight streetlight smalltown rain,",HowlTweeter
2020-10-29 22:30:26+00:00,1321942495895425026,Bitch I be geekin im high like a chinaman,leomizrahi1
2020-10-29 21:15:06+00:00,1321923538559791104,"The evil china not just building an iron army, but a sick moron China syndromes culture and society for the next generation of chinaman! The world need to wake up to what china is really doing for future world domination!",Whatali38649130
2020-10-29 21:04:30+00:00,1321920871343280128,@RaheemKassam Never trust an Irish Chinaman!,BarkettMitch
2020-10-29 20:03:59+00:00,1321905639875072002,@DrewLawDesign Chinaman or leg break and there's always the flipper!.,juliancrittall
2020-10-29 19:46:37+00:00,1321901270035132416,"@CPSToken_ @derekcapo 
@ChinaMan_123 
@PKWanito 
@pankjtanwar 
@manish_amit",hardeepkular88
2020-10-29 19:19:56+00:00,1321894557483675650,"Officer, i completely understand your sentiment that ""i look like a homeless chinaman who won the lottery and spent the last decade snorting smack""

but, i guarantee you, this is just how fucked up my face is",JrChickenFan
2020-10-29 18:15:59+00:00,1321878461976207360,"@dmtitsplz @thesis_11 @CityBureaucrat Yup. That ""subsection"" is the Bumiputera majority. Wanna job in the civil service? Not so fast Chinaman.",NightMa71605673
2020-10-29 17:09:01+00:00,1321861609896161280,"@chochi33057342 @RetroHurricane Mojado or ""Wetback"" is an ethnic slur used against Mexican immigrants. So even considering using it as the name for a character is like naming a superhero ""Chinaman"". Seemingly harmless on the surface but steeped in uncomfortable connotations for anyone familiar.",EerieRedLight
2020-10-29 16:44:03+00:00,1321855324991578113,"@realDonaldTrump @FLOTUS @realDonaldTrump Vlad the Great, the head #Chinaman and #RocketMan all sent get well cards. Not a single #Democrat did. Get well and Drain the Swamp. #2A #NRA #MAGA @AnnCoulter @realDonaldTrump @MeriwetherFrank 

[Put in Twitter jail for this tweet]",trojancowboy
2020-10-29 16:16:40+00:00,1321848437713866753,"Visiting fellow @isaacstonefish weighs in on the ethical and strategic implications of the #US having 29 place names that use the term “Chinaman”, including recommendations for change (via @washingtonpost):
https://t.co/21aFxL8tQ1",GMFAsia
2020-10-29 16:02:32+00:00,1321844880373555200,@Real_Xi_Jinping Should've made the pun Chinaman.,Mishiima_Yukio
2020-10-29 15:00:00+00:00,1321829142699139073,"சீனாவில் 60 வயதான நபரின் கண் இமைக்கு அடியில் சிக்கியிருந்த 20 புழுக்களை அகற்றிய மருத்துவர்!

#Sunnews #ChinaMan #worms https://t.co/L81tYafq8i",sunnewstamil
2020-10-29 14:35:55+00:00,1321823080780460034,"@rgcooke Should we give him credit for not using ""Chinaman""?",guochuqiao
2020-10-29 13:54:06+00:00,1321812557703700481,"How many left arm chinaman are around? If you got one in your side you are lucky enough.

Not playing @imkuldeep18 is not only a loss for @KKRiders but also for indin cricket. The more he will play, he will become your match winner.

#KKRHaiTaiyaar
#CSKvsKKR 
#IPL2020",Sourav927
2020-10-29 13:53:22+00:00,1321812372022022144,joe biden the chinaman,_Murder
2020-10-29 13:24:32+00:00,1321805116131827712,"@LuigiCarneiro1 @amandacarpenter @TheRickWilson It was probably a ""Chinaman"" ""working"" in the mailroom at Fox who was a ""mole"" for ""Soros"".",CaseyPr64472729
2020-10-29 10:08:59+00:00,1321755906544144387,"We need a revolution, Che Guevara and Fidel style. Lockdown and 'new normal' propaganda will last for generations, not just 4 Christmas. 4 years we have been fed images of the terrified, mask-wearing Chinaman and now Britons have eased in2 the very rationale we mocked. #scamdemic",originaljamface
2020-10-29 09:46:48+00:00,1321750324038676480,"Renegades have done the right thing by stacking their lineup with overseas spinners. Nabi, Tahir, Noor Ahmed - Off spin, Leg spin, Chinaman is a serious variety. Will work on that shit Marvel Stadium pitch.",ravimaestri
2020-10-29 09:00:37+00:00,1321738701844590592,"@TheRealPBarry @phbarratt So banks can’t make investment decisions?? Fascinating! Given the lack of political leadership it would be good if more companies displayed actual leadership, rather than waiting for a govt that couldn’t catch a chinaman in Hong Kong!",Bobcat61606405
2020-10-29 08:36:24+00:00,1321732604467552256,@tariqnasheed Based chinaman,BigMcLargeBicep
2020-10-29 08:30:41+00:00,1321731166555103232,Mystery spinner or chinaman?,flighted_leggie
2020-10-29 08:16:51+00:00,1321727686260129792,"How many left arm unorthodox spinner or left arm wrist spinner or chinaman bowler played in international level (ODI + TEST + Top 12 T20I team)?

Paul Adams
Brad Hogg
Dave Md.
Gary Sobers
Michael Bevan
Kuldeep
Zahir Khan

anyone left here? @Fancricket12",cviswas19
2020-10-29 08:08:07+00:00,1321725489946390528,@cviswas19 Chinaman.,CricCrazyJohns
2020-10-29 05:42:49+00:00,1321688922678677504,happy birthdayy @KayeJumilla_ !!🎊 stay strong kayo ni chinaman🇨🇳 love ka daw niya🥺❤️ https://t.co/Qne2V0fo4O,GB_Panal23
2020-10-29 05:27:43+00:00,1321685123587256320,"@astronautmemoir 😂 Well like a proud Chinaman, i shall go to sleep!",A6Asap
2020-10-29 04:10:25+00:00,1321665668081684481,@firemom81 @ChuckCallesto And if that don’t work he has a Chinaman that’s a fixer.,Randyfrady62
2020-10-29 04:08:32+00:00,1321665194062344192,Chinaman's Hat https://t.co/Ihf82cVghD,HMilf77
2020-10-29 03:05:08+00:00,1321649238959366144,"Amazing that anyone can vote for this Chinaman traitor.

Biden quotes Muhammad, urges US schools to teach Islam, chats with radical Linda Sarsour https://t.co/rRYqe71bq6 via @BIZPACReview",PatriotMarianne
2020-10-29 02:33:58+00:00,1321641398274240513,Mokoliʻi Island (Chinaman’s Hat) https://t.co/YXVY2Yuu1G,dmaebert
2020-10-29 02:01:42+00:00,1321633276591775746,"Stl gotta have the funniest ppl man and I can prove it in this lil story. I went to the chinaman in Wellston, stl ppl know it's fire as fuck, but anyway it was maybe 10 so im there waiting. Of course the "" I got the crystal clear""🔮💿 bootleg man came in.",Boogie_Woog
2020-10-29 01:32:40+00:00,1321625971921965056,"@SECNAV @curts38special @ASavageNation @FBI 
Trixie Kitty says that you are worse than a Chinaman when it comes to eating pussy. https://t.co/HEBmYGpL63",michael_dibagio
2020-10-29 00:57:29+00:00,1321617116403916801,"@0151slatt @thedigitaldash_ Possibly. I commonly hear this phrase in reference to Chinese restaraunts. Like ""I'm going to the chinaman"".",HasWhiteFriends
2020-10-29 00:18:06+00:00,1321607205695725568,@thehill @FLOTUS 43k Americas came home during the Ban with no quarantine. A Chinaman only had to fly to another country first before coming here. The band was ok but not a great achievement.,StoneBall3
2020-10-29 00:15:05+00:00,1321606445826269185,"@LZZYHALE Hell yeah! White Russians!!! Dude, the Chinaman is not the issue here!",horrormovyguy96
2020-10-28 23:51:13+00:00,1321600440295829506,@lady_poet @MilesTaylorUSA HMMMM NOTHING SAID IN MEDIA ABOUT BIDEN WORKING WITH CHINA AND REST OF COMMUNIST COUNTRIES BUT ITS ALL OUT THERE SO YOU ARE A COMMUNIST CHINAMAN WHO WANTS BIDEN TO WIN,BidulkaCarey
2020-10-28 23:48:58+00:00,1321599874148626433,@MilesTaylorUSA ok ChINAMAN TRUMP IS WINNING LANDSLIDE YESSSS,BidulkaCarey
2020-10-28 23:46:45+00:00,1321599314142007296,"Just in today - this item from my #etsy shop: #Mokoli'i #Island, Chinaman's Hat #Kaneohe, #Oahu, #Hawaii #Photography, #Print, #WallArt, Poster, #DigitalDownload, Hawaiian, #Ocean, Beach, #Travel #decoratingonabudget #homedecor https://t.co/vIqXShX4oc https://t.co/4CDFHjURel",makana8it
2020-10-28 23:36:38+00:00,1321596769671655424,"@thedigitaldash_ I have a theory the phrase ""chinaman"" is actually offense to Chinese people but have no evidence.",HasWhiteFriends
2020-10-28 21:23:17+00:00,1321563209367605251,"@megmccool00 @Noahpinion Just a ching ching chinaman sitting on the fence, making a dollar out of 15 cents.",JennyChachan
2020-10-28 20:12:07+00:00,1321545299433840640,@ChinaMan_123 @TheNotoriousMMA @TeamKhabib Hi covid 19 !! Go eat bat 🦇 and shut up,AhmedAl42537341
2020-10-28 19:22:08+00:00,1321532723220140041,"@FREESTATENOVA Ha, Chinaman in Dundalk town feat. Susan McCann, or 10 o'clock T break bollix with Brendan Shine. Ive me ticket booked already",seamusbegley1
2020-10-28 18:48:38+00:00,1321524293109485570,"@realDonaldTrump Potus took tarif $ from Chinaman to give to farmers, isn't he the Greatest!",fkhuong
