Datetime,Tweet Id,Text,Username
2020-08-30 23:58:42+00:00,1300221436745969664,"In 1999, Chris Jericho hit Chyna's thumb with a hammer.

In only a storyline context, of course, I'd like to see someone start taking out Riddle's toes one by one.",TheDCMatthews
2020-08-30 23:49:53+00:00,1300219220433739776,@Chyna_Bandzz $jordanmanz_nice,jordanmanz_nice
2020-08-30 23:42:55+00:00,1300217464790409223,Chyna https://t.co/4YbtB8pFZf via @YouTube,jmrn1953
2020-08-30 23:42:50+00:00,1300217444766810113,@prayingmedic He called it a hoax in the beginning but quickly realized that he was better off playing along and using it as a means to go after Chyna.  3D!,j369d
2020-08-30 23:41:23+00:00,1300217080491520000,@Ihate_chyna @eazyy__moneyy its the growness fa me,_dejjanuu
2020-08-30 23:39:44+00:00,1300216665398022144,I love me some Blac Chyna and Amber Rose,beyosaki
2020-08-30 23:37:29+00:00,1300216100567822336,I have never met an unattractive India or Chyna they’re all very sexy,BabyRayy__
2020-08-30 23:30:13+00:00,1300214270009978880,Lincoln Project: Chyna https://t.co/HY1nWdbIGR,adamsmith1922
2020-08-30 23:30:03+00:00,1300214229274943488,not black chyna https://t.co/1LwhX5Rqfr,CassandraS843_
2020-08-30 23:29:16+00:00,1300214032293654534,"I wanted Texas Roadhouse so bad, they said an hour wait... guess who waiting 😩",xoxo_Chyna
2020-08-30 23:25:40+00:00,1300213125514514436,"@CuratorOfSands @axelbraun The Axel Braun pieces are actually pretty good.  It's not porn... or even porn with plot.  It's plot with porn thrown in.

I was so impressed I actually bought is ""She-Hulk XXX"" and ""Avengers Vs. X-Men"" Parodies.

RIP Joan Marie ""Chyna"" Laurer.",MaveriKat
2020-08-30 23:21:24+00:00,1300212051521024003,💯💯,ChynA_D0ll09
2020-08-30 23:17:21+00:00,1300211030258192384,Chyna https://t.co/TpppmIbFcC via @YouTube,MissTFy
2020-08-30 23:15:36+00:00,1300210590263238662,@chyna_lashay out Newburg wya?,Kaatlinn
2020-08-30 23:14:31+00:00,1300210320871489541,I call my friends they either gone get Fredrick Douglas or Chyna 😭😭😭😭😭Fredrick most of the time!,Blasian_J24
