Datetime,Tweet Id,Text,Username
2020-05-30 23:56:19+00:00,1266881156382953475,So black Chyna got the baphomet🐐 tatted on her 🤦🏻‍♀️,Katuckz_FINO
2020-05-30 23:53:15+00:00,1266880383716667393,"smakuje jak witamina C rozpuszczona w słabym piwie
tak słabo bym powiedziała. nie polecam chyna że dla łowców nowych doznań to zapraszam, moja alkohoilk dupa nie zaprasza",wiesnuszki
2020-05-30 23:51:45+00:00,1266880004815814656,@offwhitechyna Be safe chyna love you 💗,_itsreese
2020-05-30 23:48:47+00:00,1266879257566994434,@miranda_parnell @Chyna_Aliya @wis10 i love my people,tiviatavia
2020-05-30 23:43:28+00:00,1266877920720687114,@VicG__14 Say less,Chyna_C3
2020-05-30 23:42:06+00:00,1266877578817789954,@VicG__14 Tryna do a lil something😂🤫,Chyna_C3
2020-05-30 23:36:57+00:00,1266876280395440136,@queenyennifer_ We will! Chyna got hit bad but she’s okay she’s good,skylarvibes
2020-05-30 23:34:59+00:00,1266875785220161537,#chYna is behind this,Jimbos2002
2020-05-30 23:32:38+00:00,1266875193978261504,"@Chyna_360 @HeyImAnde @SarahKSilverman Then neither did their precious saviour ,given he waltzed into a place of worship and wrecked the place ....",tami_klomp
2020-05-30 23:27:41+00:00,1266873948911931393,I hope that lady who racially profiled me and Chyna store gets hit ♥️,MikaylaChristn
2020-05-30 23:26:41+00:00,1266873695903133699,"Shawnice Reynolds , Chyna murbary , Steven Minor and Joshua Canzater #PGCPS2020Grads",envy_niceyy
2020-05-30 23:23:53+00:00,1266872994405679105,Count up some money then go smoke a plant,Chyna_C3
2020-05-30 23:23:23+00:00,1266872864960950277,@Chyna_360 @Yamiche @MSNBC Who is us? Did you steal stuff from a Target or burn down a liquor store last night? I did not and do not take thugs as a personal attack because it's not. It is a descriptor.,ArtsGirly
2020-05-30 23:21:46+00:00,1266872461259190272,"@kitcat1111 @DreierFrode @italy2sicily @robertnicastr18 @nickginge1 @real_defender @realDonaldTrump @SecretService Lol Twitter gave Trump a slap on the wrist for promoting Violence. 🤣😂 and now he's crying like a baby and hating the news, twitter, black people, CHYNA, and Hispanics, or did I forget to mention indian peoples..? https://t.co/IwCXtckYRE",Sceptix_sG
2020-05-30 23:19:26+00:00,1266871874778279936,"Fight the Power- Public Enemy
They don’t care about Us -Mike Jack
Chop Suey- System of a Down
Tear the Club Up- 3 6 Mafia
Move B*** - Ludacris
Knuck If You Buck - Crime Mob
I Shot The Sheriff - Bob Marley
Helena- My Chemical Romance 
Bia Bia - Lil Jon, Luda, Chyna White 2 Short",GrobCity
2020-05-30 23:15:28+00:00,1266870872629039105,@gustavofobia lenda que só queria ser a blac chyna,caldodexereca
2020-05-30 23:12:06+00:00,1266870027124461568,Man get rob like Chyna,Clochardisation
2020-05-30 23:10:06+00:00,1266869525812842501,@Danny__dis @cleyow_jr @quecy_loco @Norman__GH @rasbormii @Kwaku__Chyna I tell u😂😂,bolo_jnr
2020-05-30 23:09:21+00:00,1266869334900723717,"A Block Standings

Thunder Rosa – 8
Jimmy Havoc – 5
Rob Van Dam – 5
Masato Tanaka – 4
Mike Awesome – 4
Terry Funk – 4
Raven – 4
Brodie Lee – 4
Timothy Thatcher – 2
Chyna – 0",storytellerwes2
2020-05-30 23:09:21+00:00,1266869333604601856,"A Block Results

Timothy Thatcher def. Terry Funk
Brodie Lee def. Mike Awesome
Rob Van Dam/Jimmy Havoc DRAW
Raven def. Chyna
Thunder Rosa def. Masato Tanaka",storytellerwes2
2020-05-30 23:04:51+00:00,1266868203503980551,You only get to live one life you better live it up!!,Chyna_C3
2020-05-30 23:04:08+00:00,1266868022368755712,"@JoeBiden aye aye Captain courageous

all hail Chyna  🇨🇳❤️🇨🇳 https://t.co/TakaESiIBa",JumboUsa
2020-05-30 23:03:50+00:00,1266867946065760257,@literaturedevil Lol he just tweets Chyna!  He is hip with his own memes.,KenathMoffat
2020-05-30 23:01:51+00:00,1266867449053536257,@derrin376 @Chyna_360 @Yamiche @MSNBC Here's this tool https://t.co/bn9GTWhDcA,reecebrennan
2020-05-30 22:54:00+00:00,1266865472953294848,@Nancypaulson3 @Chyna_360 @Yamiche @MSNBC 😂😂😂,Eilish041964
2020-05-30 22:54:00+00:00,1266865472684920833,@UTTRob Trish &amp; Chyna,Thekindvillain
2020-05-30 22:50:33+00:00,1266864602932891648,@dejaversace i mean but travis not even telling her to speak... the chyna prolly don’t care and Kanye supports trump,imaginetears
2020-05-30 22:48:36+00:00,1266864112509673472,@theheraldsun Chyna wants it updated 👍🇨🇳,Nchamp66
2020-05-30 22:46:15+00:00,1266863519972175873,@vocnorth Then blame Chyna? CHY NAAAA,tommymckay1903
2020-05-30 22:42:33+00:00,1266862589276979201,Andy Beshear: Justice for Breonna Taylor - Sign the Petition! https://t.co/uVmc17qRRN via @Change,Chyna_Dahl_
2020-05-30 22:38:51+00:00,1266861657868951554,@Nancypaulson3 @Chyna_360 @Yamiche @MSNBC Is Obama your president now?,arolekoko
2020-05-30 22:35:54+00:00,1266860915883941889,@TMZ @Chyna_Aliya 🗣DO IT https://t.co/ihjN2SSNFQ,ChaseYourDreemz
2020-05-30 22:33:46+00:00,1266860381256986630,@Chyna_Aliya they not trying to get sued,BankrollTHor
2020-05-30 22:33:11+00:00,1266860233651113984,@UTTRob Would it be in bad taste to say Chyna?,JoshuaTeasley
2020-05-30 22:32:08+00:00,1266859970072436736,"@Nancypaulson3 @Chyna_360 @Yamiche @MSNBC You do know Obama isn't the president now, right?
Is that the only standard you measure against is if Obama did it?  That's pretty sad.  Maybe since Trump has no mind or morals of his own.
Did Obama threaten to shoot protesters too?",AlbertanDave
2020-05-30 22:24:50+00:00,1266858133164396544,Quackles Va Chyna is under construction! #ElderScrollsBlades @Lycanite05 @Mogdread #NintendoSwitch https://t.co/X68GAAQZqO,UndulateOak
2020-05-30 22:21:53+00:00,1266857391276134400,Earlier. Haven’t worn makeup in two months. 🙂 https://t.co/CBN44ar7cz,who_is_chyna
2020-05-30 22:19:57+00:00,1266856903205945345,"There’s no charger faster than my charger. No cap! 
Everytime I use other people’s charger I be like damn , shit taking forever 
😂😂😂",who_is_chyna
2020-05-30 22:18:51+00:00,1266856627870879750,@bolo_jnr @cleyow_jr @quecy_loco @Norman__GH @rasbormii @Kwaku__Chyna De woman claim fans sekof dis ?? https://t.co/LkFevIGM1G,Danny__dis
2020-05-30 22:17:54+00:00,1266856387176349696,"@UTTRob I think it's a toss up between Chyna, Trish Stratus, Becky Lynch and Ronda Rousey (admittedly Ronda came in with name recognition but you asked most famous)",CrazyDindayal
2020-05-30 22:05:56+00:00,1266853377847242755,@dachosen1_chyna Did you teach Neil how to drive before sending him to driving school???,ShaanMarie
2020-05-30 22:04:01+00:00,1266852895057723392,Mir all like “come to my video shoot” hold up friend let me throw that shit on and fix my hair real quick,Fine_Chyna_
2020-05-30 21:56:58+00:00,1266851118392492032,@Kharon__ 🤔,Dopechick_Chyna
2020-05-30 21:52:38+00:00,1266850027776991242,"@gabrih6ll (Em ritmo de musiquinha) I... Should... have.... been ....

Black chyna chyna....",cob4lt0
2020-05-30 21:52:16+00:00,1266849937435906049,Man fuck y’all I miss tik tok I’m getting back😂,nba_chyna
2020-05-30 21:51:24+00:00,1266849717276872709,Wishing my sister chyna_30 from another mister a blessed and happy birthday. Can't thank you enough for the years of support... turn up ... and good times.. love ya ma!!! Tonight we will bottle up and turn up!!!!… https://t.co/DJKDthapmV,SmileyGirlEnt
2020-05-30 21:46:34+00:00,1266848500999839745,"@Jeremy07093651 @BarmakGirl @WhiteHouse @POTUS He had plenty of opportunities to talk to them but Chyna, Hung Kung and Twitter was more important. Chyna was about his deal and money and Twitter fact checking the worst lying 🤥 president of all time who doesn't like being fact checked! https://t.co/ejOp1sYpZ0",ShellsSeaBlue
2020-05-30 21:43:43+00:00,1266847786517045252,Blac Chyna Flaunts Her Booty In Racy Leopard-Print Bodysuit #Celeb  https://t.co/0JCpHFpUyG,IQShowbiz
2020-05-30 21:43:12+00:00,1266847656774639618,@AussieQne Noone believes Bill gates created it. I believe he's in on it and he owns part of the lab in Chyna...why would he by part of a lab in chyna. I know its troubling having to think. 5g can be used by a military as a weapon  too.,BB21132528
2020-05-30 21:41:38+00:00,1266847259842445313,@UTTRob Chyna,thememanxx
2020-05-30 21:40:19+00:00,1266846928224112640,All I could think is wat if that was my 90yr old GREAT grandmom.... I had to say something I just had to,Dopechick_Chyna
2020-05-30 21:39:16+00:00,1266846666180739073,Ordering my seafood and the Chinese man is very nasty... he literally just cursed this elderly lady out....and me being me tried to keep my mouth shut but I couldn’t hold it in no more.... I just showed my ass REAL BAD...fuck that man n that seafood‼️,Dopechick_Chyna
2020-05-30 21:38:11+00:00,1266846392053493760,@TheTrueAMG How do we play?  Is the game already incorporated?  I haven’t used twitch much. Only been following people. You have to pay to suscribe?,chyna_02
2020-05-30 21:37:39+00:00,1266846257366040578,@arionnefowlkes_ People over on Facebook received couple blocks too 😂 showing their true colors frfr,chyna_mack
2020-05-30 21:35:56+00:00,1266845826950856705,@Chyna_Shay I’m glad I’m in that 32%! Though I must admit I tore through both the drums and the flats last night! 🤣,SueGoodson67
2020-05-30 21:33:37+00:00,1266845242134876162,@jeff63873475 @Mike_Pence Chyna!!,ishbo195
2020-05-30 21:32:01+00:00,1266844840177917957,@poscontemporane você deveria ter sido a Blac Chyna,gabrih6ll
2020-05-30 21:31:13+00:00,1266844637215555584,"All me, tmitch &amp; chyna do is argue 😭",BitchImFatTrell
2020-05-30 21:28:30+00:00,1266843954366078976,Chyna Doll &amp; Sean Swae recieve their Echo Career Peaks at #1 on this week's Echo's Top Songs Chart.,echomusicent
2020-05-30 21:28:09+00:00,1266843868718342145,"He got paid billions to say that. 
Unique spokesman for Chyna!",Asok_of_IIT
2020-05-30 21:25:36+00:00,1266843227115720705,"@bieberxeilish Blac chyna, she only made one post and went back to her life https://t.co/LurKYmFUFv",ryanbeebiebmee
2020-05-30 21:24:26+00:00,1266842931056439296,@FlameseN_ @FFMetro #FlameFAM,chyna_02
2020-05-30 21:23:56+00:00,1266842808125739015,Chyna est folle 😂😂,BijouBijoubah
2020-05-30 21:14:43+00:00,1266840486897164289,"Money in the Bank: Erik defeated Summer Rae, Billy Kidman, Sin Cara, Vader, George Steele, Chyna and Cunty McCuntPants via the ref being your cousin at a House Show",WWEMatchBot
2020-05-30 21:09:07+00:00,1266839078097600514,she SHOULDVE been blac chyna https://t.co/a0Lb1BpbvH,FancyEliza
2020-05-30 21:06:13+00:00,1266838348695568389,@washingtonpost Met with dismay by WaPo and others who are slaves to #chyna,Jimbos2002
