Datetime,Tweet Id,Text,Username
2021-04-29 23:54:09+00:00,1387918157281640456,That’s the last shot to shoot; &amp; if that put a chink in the armor that is...... I surrender; Lord Heavenly Father: I surrender to your higher power!! I’ll let go &amp; let..... well you #humbledtatteredsoul #hopelessdelusional #romantikClown #fool #simpleton,Erry1HatesShane
2021-04-29 23:52:27+00:00,1387917730838466560,Mac Jones just called me a chink through the TV screen,artvstanza
2021-04-29 23:42:24+00:00,1387915198309310465,@QUEEN___chink Manee what😂😂😂😭,the_stuff123
2021-04-29 23:40:41+00:00,1387914767705202693,And here comes the rain ..❤️,lightskin_chink
2021-04-29 23:38:38+00:00,1387914251738615808,"jasa upfoll rp harga murmer. pengerjaannya cepat tergantung acc dan jaringan 
max. pengerjaan 2 minggu. trusted chink

T ; lelang acc upfoll rp",penikmatehangat
2021-04-29 23:32:58+00:00,1387912825419468800,@QUEEN___chink Has to be more than a year,MaybeAntonio
2021-04-29 23:29:10+00:00,1387911869428609030,@QUEEN___chink Fa sho Fa sho,_IamATK
2021-04-29 23:28:52+00:00,1387911793419321344,"@Geedalee @iamgladssss @chuckiedreyfus buti na lang wala siyang community pantry. E matapobre pala siya. So ang qualification para makakuha sa community pantry dapat anti Duterte? Di ba influencer ka naman, bakit di mo gayahin yung iba’ng influencers na tumutulong, regardless of political affiliation, tulad ni Chink+",M3L_Baut1sta
2021-04-29 23:23:21+00:00,1387910405998120963,@lil_leroyNikkiB @QUEEN___chink @NurseDee3 every4 - kentheman! she’s an amazing artist!!,1shanw
2021-04-29 23:14:25+00:00,1387908158220349440,A yeaaaaaaar?!,QUEEN___chink
2021-04-29 23:13:39+00:00,1387907964548358144,LMFAO AYO,QUEEN___chink
2021-04-29 23:12:14+00:00,1387907610104434689,Aye wtf 😂😂😂😂😂I showl was bruh,QUEEN___chink
2021-04-29 23:10:15+00:00,1387907110915223557,@_IamATK Thank ya!!!,QUEEN___chink
2021-04-29 23:07:28+00:00,1387906407568191491,@chelseayouth @Arrizabalager I just hope there is a little chink in that perfect armour to give us all hope,Fordmeister
2021-04-29 23:05:25+00:00,1387905891974909958,@aye_yo_chink 😂😂😂😂,Bare_Nique
2021-04-29 23:00:43+00:00,1387904709676122113,@Qmoneydagreat @QUEEN___chink @NurseDee3 @GetVidBot,sol_invict_us
2021-04-29 22:56:43+00:00,1387903703865249796,@Paige__Nicolee Girl you might as well get use to that!!! He look chink asf lol you gone get that for the rest of his life lol,rissaskyi
2021-04-29 22:50:30+00:00,1387902140127997953,絵を描いたり字を書いたり好き勝手してる人のアカウントです。,chink__0
2021-04-29 22:40:51+00:00,1387899710497824768,@hozJsnzimum2af8 pipe down super chink,RonnyShecks
2021-04-29 22:39:41+00:00,1387899418217795585,@alphafeemale008 @BrothaToThaNyte @QUEEN___chink @NurseDee3 🤣🤣🤣,Jodajoseph1
2021-04-29 22:28:53+00:00,1387896699809681411,@BarbNaughty CHINK PLEASE,yalldkjay
