Datetime,Tweet Id,Text,Username
2021-05-30 23:48:24+00:00,1399150733396570114,"@caitoz It’s a bit too late for Yankees to stop chinks, but not too late for Aussie to choose a right side, or fuking stop choosing any side.",1991MariJa
2021-05-30 23:47:20+00:00,1399150463275212802,My mom really think she billy bad ass she gon meet her match with me!🤣,lightskin_chink
2021-05-30 23:29:35+00:00,1399145996794286083,ขอหลายๆอัตราค่ะป้องกันเพื่อนพี่น้องเจ้าของหมาหรือการแปรสภาพเป็นคนคั่นเวลา,chink_mons
2021-05-30 23:20:55+00:00,1399143817224372235,"@nzifighter11 Love when a ""former"" nazi calls people chinks and gooks as recently as 2 days ago and then has the gall to call other people racist",WellbutrinK
2021-05-30 23:18:12+00:00,1399143131489124354,"@JoLouiseJordan Walls are hard. Often hard to see beyond them. But small steps, chinks, become windows.",prefect
2021-05-30 23:10:19+00:00,1399141150431354880,It’s so cold outside smh,lightskin_chink
2021-05-30 23:05:55+00:00,1399140042778443779,@_GhostGirl2005_ @EPM104 you just called a chink with this tweet,CosmicTubes
2021-05-30 23:02:44+00:00,1399139240076775428,The end part of twilight really makes me cry everytime,HeyIts_Chink
2021-05-30 22:59:19+00:00,1399138382564007938,what if motorcycles are chattering in the narrow chinks of the cavern,WhatIfTest1
2021-05-30 22:38:56+00:00,1399133252753973248,"@MingGao26 @JillEHughes A chink may open into that world’s machinations...

Let’s see how AG Mandelblit proceeds.",platoinCT
2021-05-30 22:25:21+00:00,1399129833175724032,@other_mrs That's rather warmed and fuzzed me. There's but a chink of hope.,Spallyalso
2021-05-30 22:24:39+00:00,1399129658311024648,@DiaryOfPurity He chinks the glass with her.,MichaelStokesMV
2021-05-30 21:47:13+00:00,1399120235203018756,"@JohnnyVegasReal Such a beautiful programme! Well done all and I'm so glad Patricia didn't have her latest chink in her armour fixed, as it was all part of your story! Good luck and we wish you every success! X",CurlyJC
2021-05-30 21:38:31+00:00,1399118046287990786,"jasa upfoll rp harga murmer. pengerjaannya cepat tergantung acc dan jaringan 
max. pengerjaan 2 minggu. trusted chink

T ; lelang acc upfoll rp",penikmatehangat
2021-05-30 21:32:46+00:00,1399116598426800128,@BR0KENCITYSKY @jawlineparxies no u called me a chink,mafia0_o
2021-05-30 21:19:55+00:00,1399113366132699142,@Breezy_Bri_i 💯,chink_ms
2021-05-30 20:24:15+00:00,1399099357266382850,"@melvis_chink @BirdGuides Better views than the durridge bird David ,well done.",paulandmaureen
2021-05-30 20:03:31+00:00,1399094139875172353,"Sweet, silly nothings 
Fracturing my whole reality into pieces
In a matter of seconds
It's surprising how easy it is
To break things, beyond repair
Or in a manner that leaves 
Chinks, dents, unerasable marks
And how hard it is
To repair them
Dead flowers can't grow. 🥀",denizbengi7
2021-05-30 19:49:24+00:00,1399090585932386307,what if explosions are whispering in the narrow chinks of the cavern,WhatIfTest1
2021-05-30 19:41:28+00:00,1399088591402381317,"@Rongs215 @CallMeDee_11 That’s the only chink right now, but yes",ThomasSowell15
2021-05-30 19:34:32+00:00,1399086844353056776,"@AdriReyes902 If I remember correctly, our Civil War was another situation where the standard military practices were proving to be ill fitted to the newer technology. This was one of the first chinks in the armor of ""line up, fire, reload, repeat"".",BaronessGio
2021-05-30 19:25:46+00:00,1399084641173262336,@hyunichi YOU CALLED YOURSELF A CHINK DONT ACT SURPRISED,jinnisayqui
2021-05-30 19:24:42+00:00,1399084369990594562,@hyunichi WE BOTH ARE CHINK,jinnisayqui
2021-05-30 19:17:48+00:00,1399082635188596736,I'M A CHINK NOT A WHITE,skizcha
2021-05-30 18:52:30+00:00,1399076269883539460,@FredTedHug Very furry buttons up. *chinks glasses* 🥂🐾🐾 #FurryTails,soulkitty
2021-05-30 18:52:12+00:00,1399076193836490752,@migraineroom i @ twitter support and called them a chink die,moriluvsyou
2021-05-30 18:50:33+00:00,1399075776767614977,"@GayDivorceeUK *chink-chink*
G+T with blackberries https://t.co/taf4RP7BP2",JDrvr
2021-05-30 18:28:47+00:00,1399070298767495168,"@aka_goshhhh I MEAN CHINK IS A WHOLE ASS WORD IN THE DICTIONARY BUT ITS ALSP A SLUR FOR ASIAN PEOPLE AUJKMNJKWMENJOKMF
ITS ONLY A SLUR IN THE UK ITS A REGULAR INSULT LIKE EVERYWHERE ELSE",kyrvavi
2021-05-30 18:27:53+00:00,1399070072967155719,@Tiedyemehoe0 They’ve ruined so many shows by doing that musical bull shit. Chilling adventures of Sabrina they ruined and Ginny and Georgia they almost ruined it when ole chink eyed started singing.,natashaaa_rakel
2021-05-30 18:24:57+00:00,1399069336145440774,@Its__Jade Bonkers!🤣🤣,lightskin_chink
2021-05-30 18:12:06+00:00,1399066099946344450,Averie has big beautiful eyes 🥺😍 Easton &amp; Olivia have Aaron’s chink eyes 🤣❤️,alexisgamboa111
2021-05-30 18:08:30+00:00,1399065193800376321,"tersedia juga jasa lelang acc ;
- f dan t banyak ✔
- f dikit t banyak ✔
- f banyak t dikit ✔
 - f dikit t dikit ✔

harga acc bisa dinego. minat dm/mt oxbolah chink.

T ; lelang acc  upfoll rp",penikmatehangat
2021-05-30 18:01:33+00:00,1399063445492830210,Check out this listing I just added to my #Poshmark closet: 🖤 J.Crew Watermelon Stitch Print Chink Shorts. https://t.co/FMAqKzUVld #shopmycloset @poshmarkapp,jennyeatworld__
2021-05-30 17:59:32+00:00,1399062936870703114,what if stars are laughing in the narrow chinks of the cavern,WhatIfTest1
2021-05-30 17:58:44+00:00,1399062737964183555,@lightskin_chink That part!😩😩 I’m gone pray to God about it,1xteeG
2021-05-30 17:56:19+00:00,1399062128221433859,@1xteeG And don’t get me started on that pretty ass facee chile😍😭,lightskin_chink
2021-05-30 17:55:41+00:00,1399061970695950337,"@lightskin_chink Girl me too,she would be so lit!😭",1xteeG
2021-05-30 17:54:40+00:00,1399061714713333762,"@1xteeG I’m givin no faith cous I’m sorry😭, I really do wanna see a mini you tho!🥺",lightskin_chink
2021-05-30 17:52:12+00:00,1399061091951386625,either that or they want to say chink,yao1mas
2021-05-30 17:51:19+00:00,1399060872190853121,"#Input

Keep check at Chinese Border and Chinese Agents in India.

Hint: Indian vaccine for chink and fake vaccine for India.",BornReball
2021-05-30 17:45:20+00:00,1399059366607654913,ฮันเตอร์xฮันเตอร์6ซีซั่นนี่ คือจบยังนะ หรือมีต่อ,nkk_chink
2021-05-30 17:42:21+00:00,1399058613449023491,did u just call me a chink,meijiyeji
2021-05-30 17:39:42+00:00,1399057946315689986,Wetvก้ซื้อมาไว้ดูเมะวีคละตอนแค่นั้นเลย5555,nkk_chink
2021-05-30 17:35:25+00:00,1399056870321491968,พึ่งรู้ว่าsaoมันมีจนจบในaisอะ ละชั้รสมัครเน้ตฟลิกมาดู ครึ่งวันจบ โถ่,nkk_chink
2021-05-30 17:35:05+00:00,1399056784061571072,@lightskin_chink I don’t need you speaking negativity over me😭😭😭,1xteeG
2021-05-30 17:34:57+00:00,1399056753216610305,@theonly21nae And I really love that for you so so much🥺🙌🏽,lightskin_chink
2021-05-30 17:34:15+00:00,1399056576070180865,@_tcw3 Get ya knowledge up cous🙌🏽,lightskin_chink
2021-05-30 17:17:23+00:00,1399052329001885698,I’m Ctfu “she’s a runner she’s a track star”,HeyIts_Chink
2021-05-30 17:12:15+00:00,1399051041145069571,“Chink eyes” é uma expressão usada quando a pessoa está ch*pada e tenta não rir. Então costumam dizer que parece “olhos de asiáticos” quando estão sorrindo. https://t.co/65Dc4ZTsNv,vanteseoka
2021-05-30 17:10:22+00:00,1399050565087342596,@sheblessedfr @QUEEN___chink https://t.co/fSbeUC3Q0f,SkeezyReek
2021-05-30 17:09:08+00:00,1399050254306058241,@QUEEN___chink You got me weak af,Love96poetry
2021-05-30 17:09:07+00:00,1399050250648637440,@QUEEN___chink Youll really learn just how messy and wett a woman pussy is taking your time doing this. Just creaming and cumming all over your hand over and over .,Love96poetry
2021-05-30 17:07:40+00:00,1399049884385398786,As soon as chinks felt me get in the bed he moved right under me😩,Coley_aThug
2021-05-30 17:04:58+00:00,1399049206266925056,"""They only exist as media spectacle designed to distract and oversimplify. The real powers that be don’t appreciate the curtains being pulled back, least of all by a ‘chink’..."" (3/x)",darealbrabbit
2021-05-30 16:56:22+00:00,1399047040974438401,That Blues Clues episode is sick✌🏽,lightskin_chink
2021-05-30 16:42:38+00:00,1399043584347840516,@JoeBrolly1993 🤣🤣🤣 Brilliant Joe. And to be fair there wasn't any chinks in Tohill's armour.,goonercody
2021-05-30 16:42:10+00:00,1399043469390274561,"Daily #Tarot Message 🃏🎴🀄️

#TarotReading #WitchesOfTwitter #Occult #witchtwt #Divination #Oracle #Horoscope https://t.co/p4sGTvTRy7",Chink_Inkk
2021-05-30 16:37:55+00:00,1399042398714576900,@Yamilet19511836 EL MEJOR DESAYUNO DEL DESAYUNO CHINK YESSS,andimacka
2021-05-30 16:33:40+00:00,1399041327543824384,"On top of everything else, Con O’Callaghan has perfect Irish. As one of the lads said when word filtered through that Anthony Tohill had achieved first class honours in his degree “Are there no chinks in the bastard’s armour.”",JoeBrolly1993
2021-05-30 16:31:36+00:00,1399040807768821760,"The narrative on Odisha's preparedness to fight cyclones is bordering on 'we are invincible.' Yes, we're good - but we should be looking for chinks in the armor, and ensure we all exercise a healthy of level of caution each time.

Good news is good. Bad news is actionable.",sidharthrath
2021-05-30 16:28:45+00:00,1399040092845625346,I wonder how people go through life oblivious &amp; unobservant,Chink_z
2021-05-30 16:26:53+00:00,1399039620352942080,"maybe if you keep sucking winnie the pooh's dick, he'd notice you and acknowledge your hardwork and bravery.

keep malding, chinks",emmanonn
2021-05-30 16:22:13+00:00,1399038448502181888,@QUEEN___chink Girl yes it make fat ma ready to play!,taylornatasha_
2021-05-30 16:18:47+00:00,1399037585784250368,@scootercomedy Lmao that’s what I’m saying,HeyIts_Chink
2021-05-30 16:16:38+00:00,1399037044115005444,"@RupertVonRipp @Known2Cali4nia @lit65539723 &gt;slant eye chink settler in wakanda get up
Yersh I am trve heir to Amerikwa! Did you see our flag? Rorraparooza",VeloMontaigne
2021-05-30 16:08:11+00:00,1399034916541657088,私は倫理観がないんです,chink__0
2021-05-30 16:08:01+00:00,1399034876196626433,中の影も選定して子供を攫ってくる🎩くんと、若干の引け目は感じてる🔥くん。なにか、何か違う…って影が入って👒くんが動き出すとすぐに塩を飲ませてしまうので累計3桁くらいは死んでいる👒くん……,chink__0
2021-05-30 16:05:24+00:00,1399034216910704645,伏せてるだけなので気取って英語使ってるわけじゃないですよ！！！！,chink__0
2021-05-30 16:04:58+00:00,1399034104969007106,Mt.こるぼで死んでしまった👒の遺体をthrillerなバークちゃんで復活させちゃうお兄ちゃん達の話。とか、描きたいな……継接ぎだらけの弟と幸せそうに暮らすんだ…となると🦇を利用してるだけのクルーになりそうだなぁ,chink__0
2021-05-30 16:00:09+00:00,1399032893385682947,The faint chink of an out of tune piano playing a jaunty melody leaked through to the baking street…,_RichardWeale
2021-05-30 15:49:39+00:00,1399030252685365255,What if narrow chinks of the cavern the black and white spiders have drawn this ((images)),WhatIfTest1
2021-05-30 15:48:03+00:00,1399029851059798019,Don’t it just do sumn to you,QUEEN___chink
2021-05-30 15:42:03+00:00,1399028340594548741,@QUEEN___chink https://t.co/spAPRuBogi,steffanymoneque
2021-05-30 15:39:34+00:00,1399027712698761222,I would end it all,Chink_z
2021-05-30 15:36:21+00:00,1399026905488281604,https://t.co/ovWRRmBphO,QUEEN___chink
2021-05-30 15:34:22+00:00,1399026407049682948,"@mhairiforrest @JazzRobertson Someone points out a flaw in your remarks.  You accept correction as timely and grow, or call it “grumbling” and “the beginning of hell”, and imagine that CS Lewis is agreeing with you as you solder the chinks in your flimsy armor back together.   Hell.",philmadeira
2021-05-30 15:32:12+00:00,1399025859772575745,この寝方すき https://t.co/ABX0GhA1dO,____chink____
2021-05-30 15:25:23+00:00,1399024144579121159,椅子の真ん中で寝る猫 https://t.co/12DqUQkJTa,____chink____
2021-05-30 15:22:10+00:00,1399023334772314113,We want to see young fighters face adversity and see the response/adjustments made in that particular fight. That chink in the armor makes them better going forward or just exposes a weakness that makes them vulnerable every time out. Time will tell. #Boxing,AdrianD8926
2021-05-30 15:21:05+00:00,1399023061785989126,いきたい…,chink__0
2021-05-30 15:17:24+00:00,1399022137113923589,@nikky_chink ขอบคุณงับ💘💘,mayysixstore_
2021-05-30 15:11:19+00:00,1399020605689708547,Buy one get one sale on accessories on my site ends tonight 🖤,Chink_z
2021-05-30 15:09:17+00:00,1399020094299295746,@GhostOfNokeyzzz https://t.co/k5WygprWsd,QUEEN___chink
2021-05-30 15:08:13+00:00,1399019826891395072,@ohwawa_ Lol a complete scam bruh,QUEEN___chink
2021-05-30 15:05:57+00:00,1399019253995552775,@QUEEN___chink Lmaoooo I’m screaming at 40. All of this is a scam!,ohwawa_
2021-05-30 15:05:14+00:00,1399019073556656133,@ohwawa_ Lmao no fucking way bruh. Same shit for southwest. I’m like this shit is wild. I was gone become a rewards member and all but I’m like nah shit shit pointless. Won’t get a free trip till I’m 40 lmao,QUEEN___chink
