Datetime,Tweet Id,Text,Username
2021-07-30 23:16:26+00:00,1421248350486241281,"@karl51652101 @CmonMan187 @babbles @tedcruz @TwitterSupport ""Democrats made this political from the start by claiming that fearing COVID was racist in their Hug A Chinaman campaign.""
""Prove it.""
""Here's video of it.""
""This has no bearing on your claim.""",HalfTangible
2021-07-30 23:06:10+00:00,1421245763640758273,@MikeTaylorShow @biggestpuma I thought the Chinaman’s hat was when a Chinese player struck out 4 times in a single game? God bless Jimmy 😥,KerryVnEricFoot
2021-07-30 22:58:13+00:00,1421243766229278721,@ANTHONYBLOGAN A chinaman and a sheep,Irishpride707
2021-07-30 22:14:34+00:00,1421232778159575040,@Shaitani_Dimag My asshole after every trip to chinaman,zephyrus_a
2021-07-30 21:36:31+00:00,1421223203670794242,"@KingJaeLDN ""Famous Twitch Streamer In Hot Waters After Controversial Chinaman Impression""",RuysberghWim
2021-07-30 18:59:48+00:00,1421183766559694848,@TuckerCarlson VACCINATIONS MEANS WE HAVE A VACCINE FOR THE CHINAMAN FLU-WE IN FACT DONT HAVE ONE AND PROBABLY WILL NEVER HAVE ONE.WE ONLY HAVE 2 TRUE VACCINES EVER-POLIO AND SMALL POX-NO OTHERS.THEY CANT EVEN PRODUCE ONE FOR THE FLU OR COMMON COLD..JOHN LALLEMAND  DADE CITY FLA,ELKHUNT
2021-07-30 18:58:52+00:00,1421183529715703809,VACCINATIONS MEANS WE HAVE A VACCINE FOR THE CHINAMAN FLU---WE IN FACT DONT HAVE ONE AND PROBABLY WILL NEVER HAVE ONE...WE ONLY HAVE 2 TRUE VACCINES EVER--POLIO AND SMALL POX---NO OTHERS..THEY CANT EVEN PRODUCE ONE FOR THE FLU OR COMMON COLD.....JOHN LALLEMAND  DADE CITY FLA,ELKHUNT
2021-07-30 18:14:43+00:00,1421172420916908034,An ideal T20 team should have a Chinaman and a leg spinner.,DArmChairCritic
2021-07-30 18:01:10+00:00,1421169009936928773,Like all the chinaman are bowling well now except Kuldeep ah?,deep_extracover
2021-07-30 17:48:53+00:00,1421165916570726407,Coming to your neighborhood soon; United States of china. As per Hung  Chow the constipated chinaman. WTH,HomeOBX
