Datetime,Tweet Id,Text,Username
2021-02-27 23:57:59+00:00,1365813460790042624,@chyna_adc Llévame a mi también.... Mentira felicidades disfruta mucho de tus vacaciones familiares,minbetorojas
2021-02-27 23:56:29+00:00,1365813083873157127,I really can’t help but to think about Blac Chyna and Ha mama.. when somebody blow smoke in my face. LMAO,sydshanice
2021-02-27 23:55:48+00:00,1365812910535168005,"anyway... bRouGHt out the pink lamborGhini just 2 rAce w cHyna 
REAL THICK VAGINA 
smUggle BrickS to chinA",ranich0le
2021-02-27 23:51:50+00:00,1365811913054187521,"Chyna going to Hunter's locker room to offer relationship advice for him and Stephanie.

Welp. . . This is awkward.  #RAW2000",TheDCMatthews
2021-02-27 23:44:10+00:00,1365809985356193795,@RealPatriot56 @MaryAnnHoeg I will never refer to him as POTUS.  He will always be Chyna Joe to me.,Catrinka6Princ1
2021-02-27 23:41:57+00:00,1365809425525731330,"@arrependeram @Anaaa_Paulaaaaa 
@vulgo_chyna",w0ssgrau
2021-02-27 23:40:09+00:00,1365808975292358656,It’s chyna mcclain for me,_speakonitkay
2021-02-27 23:38:10+00:00,1365808473557004291,"@CrabbyHy @astainofcum @espn @JLin7 What’s wrong with Chyna Virus?
Ever heard of Spanish flu mf?
Smh at these no book reading drones. 😤😤",auroraxmp
2021-02-27 23:34:14+00:00,1365807486599639041,"@KurtSchlichter 1000% better than, Made in Chyna.",Mandy18367692
2021-02-27 23:34:03+00:00,1365807438511841280,@chyna_adc @Soydesireelugo Sabia decisión 👀,PaolaMont6
2021-02-27 23:30:33+00:00,1365806558807023620,@chyna_adc Jajajajajaja,EGCS_
2021-02-27 23:27:27+00:00,1365805779073261572,"@Michael_J_Matt @YouTube Chyna is right in our backyard, dude!",CCcherylcowan
2021-02-27 23:20:22+00:00,1365803994623303680,@LissaJay_ Chyna switched up on her,tyrasbody
2021-02-27 23:14:23+00:00,1365802491233898499,Chyna messed me up cause now all I do is stare at people teeth dfl,TermiNAYte_
2021-02-27 23:13:26+00:00,1365802248337575941,@chyna_adc Verga el tercer mundismo de esa chama es anormal!,bydavidnunez
2021-02-27 23:12:34+00:00,1365802030170841096,@chyna_adc Bacano el tattoo!,Nunezgeo
2021-02-27 23:12:26+00:00,1365802000647094273,"@chyna_adc Esta bien, yo lo digo porque tengo a mi mamá lejos y no puedo",calderonberetta
2021-02-27 23:09:51+00:00,1365801347669504000,@chyna_adc Ese tatuaje es tuyo,Johanelsoltero
2021-02-27 23:08:51+00:00,1365801097500196865,@chyna_adc Me encantan esos tatuajes 🤩🤩🤩,Nanielab
2021-02-27 23:06:41+00:00,1365800553322790919,@chyna_adc Retirate.,celantur
2021-02-27 23:06:12+00:00,1365800429112594434,@Brendan85240221 @DennisB05979499 @LEBassett Or Chyna.,sinjinbin
2021-02-27 23:05:11+00:00,1365800172228390920,@sir_duniya @AdegbenroTemit5 @Kaosygal @Olufisiayo Chyna,ARStro0
2021-02-27 23:03:25+00:00,1365799728638787589,Brought out the pink 💓 Lamborghini 🚗 just to race with Chyna 💅🏻🥵,discomairead
2021-02-27 23:02:14+00:00,1365799432076337162,@chyna_adc Eso es lo que más extraño de Venezuela salir de vacaciones y llevarme a mi madre,calderonberetta
2021-02-27 23:00:24+00:00,1365798971478802432,"China Anne McClain as Chyna Parks,A.N.T Farm https://t.co/86XvW3SKJN",OoCCAMcClain
