Datetime,Tweet Id,Text,Username
2020-02-28 23:59:04+00:00,1233542161393704966,เตนล์สักจีงอ่อ มั่ยจีง นี่ว่าแทททู,nkk_chink
2020-02-28 23:53:59+00:00,1233540883984912385,"@Stuvze yeah, just not bats. fucking chink chonks eat anything",RJRisc
2020-02-28 23:50:14+00:00,1233539940446822401,"If yall see how my nephew's eyes are chink cus sleep is tumping off his face, I love it 🤣😂",SimpliiChantii
2020-02-28 23:49:17+00:00,1233539699588947969,Chinks is derogatory. Papis is not. And they don’t eat our food so they probably already call it that.,GetMoneyMook
2020-02-28 23:40:01+00:00,1233537371209175040,@yakjaba สติ้กแทททูแน่นอน ของพี่ทย.ให้น้องติด จีง,nkk_chink
2020-02-28 23:19:04+00:00,1233532095194116096,"Lesson: The Hadith word used for the smallest amount means in Arabic either the smallest ant or the particle which is radiated by sun-rays and seen through a wall-chink. Obviously, such a particle has almost a non-existent amount, but even this much is disapproved by Allah.",Anonymous_Geez
2020-02-28 23:17:40+00:00,1233531743841476608,Fuck pence! tRump &amp; boyo are just as bad as that fuckin’ chink dick.....,lynnfinn7
2020-02-28 23:06:48+00:00,1233529008941256704,Chink Blessico ft. Kye Bills - Dead Faces https://t.co/XOvAtMgXls,DramuhBoyz
2020-02-28 23:04:53+00:00,1233528527934427143,@Chink__o https://t.co/mi3dMsegEC,BrendaPinky10
2020-02-28 23:02:07+00:00,1233527831226966018,@justChinks Chinks cheza chini. You are now telling the toxic truth and we feeling attacked,muli_kwake
2020-02-28 22:50:01+00:00,1233524786053206016,@yakjaba เคยทำแล้วๆ ชุดที่เค้าทำตอนงานชุมนุมอะ ก็ว่าทำไมคุ้นๆ,nkk_chink
2020-02-28 22:44:44+00:00,1233523455515123712,@BrendaPinky10 You have got my attention,Chink__o
2020-02-28 22:26:34+00:00,1233518886924017665,I will be fuming if they cancel the @CymruEuro2020 game in Italy because of some chink decided to eat a fucking bat,rhyswinter3
2020-02-28 22:20:15+00:00,1233517294288023557,@Wisemansports1 Madone! A fuckin chink too! Well done Mr Wiseman! This coronavirus got no shot against you!,AceRothstein16
2020-02-28 22:18:08+00:00,1233516760990613504,When you have a regular lyft driver..,Chinks
2020-02-28 22:18:03+00:00,1233516742124724227,Just been to a great talk from @M1kePrice on Raptor monitoring in the Peak District. The figures on persecution are woeful but there are some chinks of light.,birdman1066
2020-02-28 22:11:49+00:00,1233515174591705088,@MilaDFNN @Twitter But I have,Chink__o
2020-02-28 22:11:12+00:00,1233515018634829829,"COMMIE CHINK FUX KIDNAP, SHOW TRIAL &amp; JAIL BOOK SELLER: 'Message is clear': China jails Hong Kong publisher Gui Minhai @AJENews  https://t.co/aH1hF2gQy2 - WHAT THE WORLD CAN LOOK FORWARD TO, WHEREEVER THE COMMIE CHINK FUX GAIN HEGEMONIC INFLUENCE - NO RULE of LAW, NO JUSTICE",qj1913
