Datetime,Tweet Id,Text,Username
2021-08-30 23:37:43+00:00,1432487728336158722,@SeanMcCarthyCom No russkie or chinaman ever called me “incel”,slumzog
2021-08-30 22:06:41+00:00,1432464818179608581,Assassin - Gun Finger Now (Shanty Town Riddim - Chinaman Remix)071923,stevegrogger
2021-08-30 21:01:08+00:00,1432448321923297285,"Greetings from paradise 🏝 

#Vacation #LVVacation #Away #Travel #Hawaii #LV #LVVacation2021 @ Chinaman's Hat - Scenic Viewpoint https://t.co/kSU3cKGQ8o",thepastorleo
2021-08-30 20:39:39+00:00,1432442918263042055,@Ohtani_MLB you're Japannes? I thought you were a chinaman,albert22569176
2021-08-30 19:51:57+00:00,1432430910868238338,Haha chinaman give bat virus.,muffin_soup
2021-08-30 19:16:20+00:00,1432421951444815881,"@RDH_tweets I must have been about 10, my father brought a friend (former England test player) round and asked me to bowl at him in the garden. ""The Chinaman!"", he shouted. Had no idea what he was on about.",dtuned
2021-08-30 18:32:51+00:00,1432411007339610115,"@robGTD @_Chinaman_ Of course not, it's not Italian bus, it's progressive football, where defenders must have pass characteristics as midfielders",Ahmed01202540
2021-08-30 16:25:04+00:00,1432378847647961088,"@robGTD @_Chinaman_ They played together 20 years ago, good compare!",Ahmed01202540
2021-08-30 16:11:11+00:00,1432375353876623366,@stockx my shoes have been authenticated for over a week why haven’t I been paid and I’ve already reached out to the help,ChinaMan_202
2021-08-30 13:32:19+00:00,1432335376379568128,"@savukku Yow, Hemant... Solemnly, you're going beyond expectations, and of course, your IQ level is way too much. Nowadays, the counters that you are giving are awesome, man. Keep going. Love to see the next one soon.",im_Chinaman
2021-08-30 12:22:54+00:00,1432317907141201920,@jennywallace52 He's a friend of Chinaman Dans.,radonitski
2021-08-30 11:37:09+00:00,1432306393218912262,"みんなからの匿名質問を募集中！

こんな質問に答えてるよ
● やっぱりホモじゃねぇか…
● 1日に何回洗顔してる？…
● オレたちが活躍するゲーム『クリ…
● 最近読んでる冒険小説が面白くっ…
#質問箱 #匿名質問募集中

https://t.co/UkAIqpRrRS",Mr_Chinaman
2021-08-30 11:35:22+00:00,1432305941953662985,"@Nirmal_fiddo Spectacular capture. Lovin’ it, man.",im_Chinaman
2021-08-30 11:30:58+00:00,1432304834758070275,"@SadhguruJV Come to India and then talk. How long will you be hiding in the USA?
Dey, bayapadama vaada.",im_Chinaman
