Datetime,Tweet Id,Text,Username
2020-06-29 23:21:42+00:00,1277744078382342148,Mokoliʻi Island (Chinaman’s Hat) https://t.co/piYq2Ld5FU,dad57oldw
2020-06-29 23:18:52+00:00,1277743366399234050,Mokoliʻi Island (Chinaman’s Hat) https://t.co/qy6PlBq3yZ,RavensSpirit
2020-06-29 22:49:56+00:00,1277736082935705600,@MisterAntiBully Chinaman wins again,dyuunu
2020-06-29 22:07:58+00:00,1277725521829171201,CHINAman bowlers right now😭 https://t.co/L6lqfCSBkp,nahibataunga__
2020-06-29 21:48:08+00:00,1277720534558502913,"There was an Irishman, an Ethiopian and a Chinaman, @WHO was most corrupt?",marlow_watching
2020-06-29 21:03:06+00:00,1277709200328712192,Pretty sure their house just called me a Chinaman.,RisenLazarus
2020-06-29 21:01:34+00:00,1277708812980543489,@TClemdenen A chinaman done infiltrated your account.,BA_VAWL
2020-06-29 20:40:02+00:00,1277703393897832451,"@KasthuriShankar if your milkman damages your property everyday and hurts your family members once in a while , will you continue buying milk from him? Even if he sells the best milk in town. Then why spare the chinaman? Enough is the word. Let us buy only Indian phones.",sundarmathan
2020-06-29 20:24:22+00:00,1277699453361635329,With All these Chinese things getting banned. Will ChinaMan @imkuldeep18 be allowed to bowl for India?,kunalrw1
2020-06-29 20:09:46+00:00,1277695777331085313,"@Gemmapolyglot What do you call a Chinaman with 100 kids?
Dad",Iankilday1
2020-06-29 20:01:28+00:00,1277693687619883008,"FBI runs Feinsteins Chinaman out of the country - and then FBIs
John Carlin moves out of FBI as Trump takes office and sets up shop in Beijing
FBI Chief of Staff now working in China
JOHN CARLIN SHOULD BE IN SOLITARY CONFINEMENT",kimbermiles0
2020-06-29 19:36:20+00:00,1277687363309879298,@justanurse25 A Chinaman.,FriendofYourMom
2020-06-29 19:21:05+00:00,1277683524586405890,@_GhettoHacker Taking his ass to the chinaman on GoodFellow and WestFlorissant frl 👨🏾‍🦯👨🏾‍🦯👨🏾‍🦯,Bearilla314
2020-06-29 19:11:05+00:00,1277681009417490433,@daniel86cricket @aaliaaaliya Chinaman 😂😂😂😂😂,its_meesha_
2020-06-29 18:28:07+00:00,1277670195406856193,"@imkuldeep18 , may be you should stop bowling Chinaman.

#BanChineseProducts 
#ChinaGetOut",shamim_mim
2020-06-29 18:11:11+00:00,1277665934392451074,@Being_circuit @imkuldeep18 @meduvadaaa @Madan_Chikna @dhaikilokatweet chinaman  😂😂😂😂😂,shantibhang
2020-06-29 18:11:02+00:00,1277665896232779779,"#DefundTheBBC    If this impartial, then I am a Chinaman",CaptTony11
2020-06-29 18:03:19+00:00,1277663955465523209,@Peeps_a_fool That’s me now,ChinaMan_202
2020-06-29 17:59:55+00:00,1277663098376249344,@sajidbhutta85 @daniel86cricket Tiktok India mn ban hogyi h. David Warner boht zyada tiktoks bnata h or Kuldeep Yadav Left Arm Chinaman bowler h,Muneeb2115
2020-06-29 17:29:57+00:00,1277655560406605827,Lock It Down Can’t Break Da Code To The Safe ‼️ - Jack Bandit (ChinaMan)🔥🐉,Jackbandit_
2020-06-29 17:21:52+00:00,1277653523589521408,"@Ajithnkr @d_jaishankar Looks like you've done decades-long research on their revenues (though most haven't heard of many of these apps, let alone how much they make) &amp; tracked how it trickles down into ""factions"" that ""trouble Indians"".

It was all about money then.

You da man. Chinaman. Spin away.",kalmallkinam
2020-06-29 16:44:11+00:00,1277644039701975041,"@anjubharatrawat Byott china. 
Chinaman should be blocked
😅😅 https://t.co/xaQgfJLyE7",BittuNotBoss
2020-06-29 16:26:31+00:00,1277639593299341315,"Tik tok banned in India, what will David Warner do? Will ChinaMan Kuldeep Yadav be allowed to bowl?🤗

 #Cricket",NavnishRathore
2020-06-29 16:25:52+00:00,1277639432653303817,from now it's left-arm leg-spin and not chinaman?,adi_seruppala
2020-06-29 16:19:50+00:00,1277637913317183488,"Breaking news : BCCI have banned Kuldeep Yadav as he is a ChinaMan spinner.
Acha sorry 😂",MaharSpeaks
2020-06-29 16:13:02+00:00,1277636202766766083,@ArnabGoswamiRTV Will ChinaMan Kuldeep Yadav be allowed to bowl?😁🇵🇰,RajaNaqashAli
2020-06-29 16:05:44+00:00,1277634365552381953,@sharrmasumann Zoom is totally Chinaman Owned,KarttikChopra
2020-06-29 16:03:25+00:00,1277633781453783040,@ZeeNewsEnglish @sudhirchaudhary Will ChinaMan Kuldeep Yadav be allowed to bowl?,RajaNaqashAli
2020-06-29 16:01:10+00:00,1277633216124317696,@ShirazHassan Chinaman kuldeep b ban Nye hua,saudjanjua13
2020-06-29 16:00:47+00:00,1277633118439002114,@vikrantgupta73 What about Chinaman kuldeep yadav,saudjanjua13
2020-06-29 15:54:16+00:00,1277631479896576000,"Tik tok banned in India, what will David Warner do? Will ChinaMan Kuldeep Yadav be allowed to bowl? #Cricket",daniel86cricket
2020-06-29 15:33:49+00:00,1277626334588567560,Mokoliʻi Island (Chinaman’s Hat) https://t.co/pNNGLRHlZJ,77baker
2020-06-29 15:25:35+00:00,1277624259964104704,@DanielBoorstin 支那人 Chinaman,fakeRuiRui
2020-06-29 14:48:59+00:00,1277615050736521216,"Jumpin out da caravan 
Eyes like a chinaman",FS_Gook
2020-06-29 14:22:37+00:00,1277608416538656774,chinaman be packed early morning damn,itsjior
2020-06-29 13:28:27+00:00,1277594784610181120,"@VijayMohan_1 @thetribunechd @IAF_MCC @SpokespersonMoD @adgpi Chinaman: ""Galti hogai Vai"" Indian Army :is bar koi mafi Nahi :C Man :you Big brother our Historical traditions says we r Opium khore. Hamko mafi deido @sudhirchaudhary @ArnabGoswamiRtv @TimesNow @smitaprakash @navikakumar @DChaurasia2312",ChandraRaghuvir
2020-06-29 12:41:58+00:00,1277583085694062593,".@realDonaldTrump Donny, you're out of your element! Dude, the Chinaman is not the issue here!",AntiTrumpWalter
2020-06-29 12:39:25+00:00,1277582442111459329,"@BW And Zoom is Chinaman CCP tech company, like Huawei! Kick out Zoom, use Cisco and Skype! Delist ZM off Nasdaq! Boycott Zoom! Can’t imagine USA businesses still use Zoom and pump up its stock to billions of market cap and making that Chinaman a $billionaire!!!",lucywan68134380
2020-06-29 11:46:16+00:00,1277569069248643074,Listen to Jack Bandit (ChinaMan)- Avianne feat. SW3RV [Prod.SW3RV X SlabbCityMadeIt by Jack Bandit (ChinaMan) #np on #SoundCloud https://t.co/fghVJDTfEh,Jackbandit_
2020-06-29 11:46:08+00:00,1277569036281413632,Listen to Jack Bandit (ChinaMan) - ExCaliber [Prod.SW3RV] by Jack Bandit (ChinaMan) #np on #SoundCloud https://t.co/0AjkfQlL4o,Jackbandit_
