Datetime,Tweet Id,Text,Username
2021-05-30 23:25:37+00:00,1399144998659108879,@ExploreAndShout @JSplurky @stefmowords Or take a trip down to the Chinaman's knob.,Xalindria
2021-05-30 21:08:18+00:00,1399110442216218629,@ZaleskiLuke @JohnCornyn How many would have been prevented if we hadn’t listened to Fauchi? Do you happen to have those #’s or if we had listened to Nancy hug a chinaman or xenophobic Joe how about those?,bartgolf331
2021-05-30 20:19:06+00:00,1399098061163401218,@Aryanzzzzzz @redmirchy Chinaman 2 min phele tak yhi tha,rohitianprayu45
2021-05-30 20:18:45+00:00,1399097971862491137,@rohitluckily Arnava nd chinaman s worded,rohitianprayu45
2021-05-30 20:18:03+00:00,1399097798289616899,@redmirchy @Aryanzzzzzz Chinaman sxsp3nded 😭😭,rohitianprayu45
2021-05-30 20:17:46+00:00,1399097727699410945,Chinaman bechara,rohitianprayu45
2021-05-30 20:17:23+00:00,1399097627568971777,Biden should ask this chinaman what he thinks about AMERICA and  the west...this bastard looks at Americans as weak...,mr36561
2021-05-30 20:08:52+00:00,1399095486414409728,@ryandesa_07 @ChinamanStrikes Ryan Bhaiya trashing chinaman since stone age 😹😭,rohitianprayu45
2021-05-30 18:58:06+00:00,1399077676976066561,@asharianaxo 😂,chinaman______
2021-05-30 17:46:56+00:00,1399059768988233731,Plan 9 Crunch: All About Cult Films: The Mysterious Mr. Wong -- Bela Lugosi as the sinister Chinaman: https://t.co/KlpOA7QC1a,PoliticalSurf
2021-05-30 17:11:02+00:00,1399050731122954246,"Biar saya teka: company chinaman yang pekerja duduk bawah aircond semua orang dia, manakala pekerja bawahan ialah bebudak melayu/india, dan majoriti besar ialah bangla nepal/indo.

I can’t be wrong.",encikakmal
2021-05-30 16:40:58+00:00,1399043166976761863,I always want chinaman on sundays that shit sick,__cartel____
2021-05-30 15:51:04+00:00,1399030606856658950,"@NicolaJames007 They should portray it as it was, not change history, why did they not portray Henry the 8th as a chinaman??????",NormanStiff
2021-05-30 15:37:18+00:00,1399027143259025408,"Usman, Delport or Weatherald or If Saim Inducted would be Playing at Remaining Numbers. Quetta will be Missing a 3rd Quality Spin Option Zahir/Aarish there but none of them is trouble maker specifically Aarish.
Zahir was once in scenes with his Chinaman but not in Recent past",iamSaqibAliAwan
2021-05-30 15:02:16+00:00,1399018328962867211,"Also, dude, chinaman is not peanut butter and cummies sandwich.",captainbonerman
2021-05-30 14:50:03+00:00,1399015253686489097,"@dallasnews ""A 600-year old buddha presides over the transit-enclosed garden of Mr. and Mrs. Walter Scruggs Carruth, 3610 Congress. This is as it should be, say the Carruths, for why shouldn’t a Chinaman be at home in an ex-laundry."" ""The Woman's Angle,"" @dallasnews, July 19, 1952 https://t.co/3pSr6rzqW8",stephaniedrenka
2021-05-30 13:34:22+00:00,1398996206609633282,"No way, maybe if a Chinaman plays Henry 8",Somebeach15
2021-05-30 11:54:00+00:00,1398970949219745797,"みんなからの匿名質問を募集中！

こんな質問に答えてるよ
● やっぱりホモじゃねぇか…
● 1日に何回洗顔してる？…
● オレたちが活躍するゲーム『クリ…
● 最近読んでる冒険小説が面白くっ…
#質問箱 #匿名質問募集中

https://t.co/UkAIqpRrRS",Mr_Chinaman
2021-05-30 10:31:11+00:00,1398950108188745736,"A nice Chinaman gave me this just now.

The World awaits... https://t.co/yEhbf67Xkk",illaryanworrier
2021-05-30 08:06:27+00:00,1398913682709663747,"@_Chinaman_ Appreciate it bro, well played!",BigManBakar
2021-05-30 06:48:41+00:00,1398894111487320065,@_Chinaman_ Thank you🌼,ShaikhaShayne
2021-05-30 06:47:52+00:00,1398893908923273222,@Onebtcer Chinaman能意识到和截图里的人想法差不多的话，也就离文明开化又近了一步。你当舔狗白白付出自己劳动成果的样子让我恶心。,SdwLu3IX2VB7OGr
2021-05-30 05:49:27+00:00,1398879208022020098,ゴミ中のゴミおまでたww https://t.co/Y7o9S2o4Em,Mr_Chinaman
2021-05-30 04:32:52+00:00,1398859932695511041,"@ImiPov @HurtonMarius @F3_RobinHood @MZHemingway Pres Xi lied. You are right about that.

Most conservatives see Chinese people as decent and trustworthy, even if you do not.

How you can imply it is stupid to trust a Chinaman when all Chinese philosophical schools set great value on cardinal virtues?

Your mind is primitive.",davd_dev
2021-05-30 00:12:05+00:00,1398794306714955779,出た https://t.co/rOI0wNiCfs,Mr_Chinaman
