Datetime,Tweet Id,Text,Username
2021-04-29 23:59:35+00:00,1387919525421662210,"@colorango @SAMortensen @MorseBart @GeraldKutney @soc_justice1 Chyna has indeed taken the 'technical lead' on virtue signaling.

Solar isn't fossil fuel free.

It's part of the reason Chyna's coal consumption exceeds the rest of the world - combined. https://t.co/ikIe83ncxw",DawnTJ90
2021-04-29 23:46:54+00:00,1387916333585739776,Just a lil but they love US 🤣,Datz_Chyna
2021-04-29 23:41:19+00:00,1387914926769967110,Chyna and Aquantice the only people i think don’t aggravate me,1mrdollarbill
2021-04-29 23:32:45+00:00,1387912769446596609,Chyna wasn’t a good wrestler 🤷🏽‍♀️ https://t.co/qVFX2JSe97,SeductiveSable
2021-04-29 23:26:00+00:00,1387911073794306049,@Sarge1208 @bohun63 @zulily Sounds like another Chyna company!,brendal9876543
2021-04-29 23:25:03+00:00,1387910832353386506,This heat ain’t for me😩 I be so sleepy!,xoxo_Chyna
2021-04-29 23:23:36+00:00,1387910470363910152,As you should be,Beijing_Chyna
2021-04-29 23:21:33+00:00,1387909950630993922,@chyna_adc Una belleza 😍😍😍😍😍,jesus06641778
2021-04-29 23:08:08+00:00,1387906575210319872,@SMHatLibs Chyna,CalamiaSam3
2021-04-29 23:04:36+00:00,1387905686890287105,"Crazy how Black Chyna went to my high school n all my old teachers who taught her just casually say ""yea she was here""
Lmfao one of em still has her phone number.",Lacckluster
2021-04-29 22:59:45+00:00,1387904467329290243,@___Chyna___ Lmao I hate them things,Orribaby
2021-04-29 22:57:14+00:00,1387903832970104832,@Orribaby Me either. I REFUSE,___Chyna___
2021-04-29 22:53:54+00:00,1387902994897805316,"brought out the pink lamborghini just to race with Chyna
brought the wraith to Chyna just to race in China",barnes_gracie
2021-04-29 22:52:25+00:00,1387902620321206273,"ﾟ•┈┈┈┈┈୨♡୧┈┈┈┈┈•ﾟ｡
                    ˗ˏˋ order ! ˎˊ˗

treats for ♡: @stephens_chyna 

from ♡: @xouldntxareless 

(ꈍᴗꈍ)&gt;✉︎: HAPPY BELATED 18th!🥳 i hope being an adult brings u fun &amp; joy 🖤

♬: bestf~rex orange cntry 

｡ﾟ•┈┈┈┈┈୨♡୧┈┈┈┈┈•ﾟ｡ https://t.co/1RWpoqYipe",cafeandgiftshop
2021-04-29 22:43:26+00:00,1387900358605877249,@chyna_adc Es fácil saberlo jajajajajjajajajajajjajaja,Barbiburbuja
2021-04-29 22:33:50+00:00,1387897945090105352,@chyna_adc Jajajajaja yo no digo nombres miamorrrrs,Barbiburbuja
2021-04-29 22:33:45+00:00,1387897925343322115,@chyna_adc Me encantan 🤩🤩,Nanielab
2021-04-29 22:30:52+00:00,1387897198063587328,"@chyna_adc Gracias bebe, te amo más 😞❤️❤️❤️❤️gracias por estar!",pxrraxa__
2021-04-29 22:23:47+00:00,1387895415568175105,got a pink lamborghini just to race with chyna,HugoVeee
2021-04-29 22:23:13+00:00,1387895273590906883,@JayHiggies @AmerMilNews Report this Chyna... https://t.co/GOC8vB7oee,ColBurns1954
2021-04-29 22:21:43+00:00,1387894896862896136,@Chyna_Chase @this_vid,SpyusCrabus
2021-04-29 22:19:58+00:00,1387894454409965571,@Chyna_Chase Pika-Chase! I choose YOU!!!,JamesHaithcock
2021-04-29 22:17:14+00:00,1387893764816003072,@Dr3adSantana I just found anger and hatred,chyna_no
2021-04-29 22:14:17+00:00,1387893023942586378,@SMHatLibs CHYNA,EKMattio
2021-04-29 22:11:07+00:00,1387892228782235648,@SMHatLibs He’s a corrupt as crook. Kickbacks and Chyna,1YogiSam
