Datetime,Tweet Id,Text,Username
2020-02-28 23:56:34+00:00,1233541532973780992,"News / Drama Rob Kardashian’s Request For Primary Custody Of Dream Has Reportedly Been Denied: Roommates, things haven’t always been dreamy between Rob Kardashian and Blac Chyna, and it looks like they won’t be anytime soon. Rob petitioned… https://t.co/ncQOEdOoP3 @LFEntRadio https://t.co/zvW1VnjN9r",LFEntRadio
2020-02-28 23:53:49+00:00,1233540840867483649,@Drea_TheGemini Chyna ignorant 😂,ALMIGHTY1OF1_
2020-02-28 23:51:40+00:00,1233540299307266049,@ilikebigkitties https://t.co/8iEt9hrD59,chyna_j
2020-02-28 23:50:11+00:00,1233539928132390914,@ilikebigkitties Get some crackers or you’re not going,chyna_j
2020-02-28 23:49:30+00:00,1233539755628994562,"IC Champion Chris Jericho and Chyna came out to interrupt. Rock joined the fray and a match was made. It wasn’t bad but ended in a DQ when Chyna (who wasn’t in the match) hit Show. Post-match, they brawled and Show threw Rock through a window (!)",SchmanthonyP
2020-02-28 23:47:11+00:00,1233539173291786240,Blac Chyna Rocks New Short Hairdo Amid Custody Battle https://t.co/sEq6rE5mQq https://t.co/WVHTTi3p5r,lovable_daniels
2020-02-28 23:45:44+00:00,1233538808408399875,yooo who tf is blac chyna now??,__ninamorgan
2020-02-28 23:41:58+00:00,1233537858788478976,My heart💞 and my headache #ItsAVibe💋 #Chris&amp;Chyna #LoveMyGirls💕 #WeLiveLaughLove https://t.co/70WGlB9wmI,Chyna_DollFace
2020-02-28 23:38:47+00:00,1233537060855779329,Prue chyna,shawdeeiipee
2020-02-28 23:38:33+00:00,1233536999316848640,Judge Denies Rob Kardashian’s Primary Custody Request In Legal Battle With Blac Chyna https://t.co/OTxjFWlwKt https://t.co/kLr6l9jivo,balleralert
2020-02-28 23:36:58+00:00,1233536603081060359,Blac Chyna really out here lookin like Coraline’s other mother,JudahTribe12
2020-02-28 23:33:42+00:00,1233535778841604096,Somebody said this Chyna Hilson. Why Lord? 😭😭,StagBeChillin
2020-02-28 23:26:52+00:00,1233534059936145408,@LadyThugUSA Don’t you dare use a genuine beautiful poem for something like that and Chyna do you want while you want to the port actual refugees to deport actual refugee you are such a hypocrite,MckaylaMyers123
2020-02-28 23:22:57+00:00,1233533075440701441,@dope_chyna Don’t run come here 😏,MulaHendrix
2020-02-28 23:16:39+00:00,1233531488714592257,I was gonna go with Chyna K. (Keri) Halliwell,hoodfriedrice
2020-02-28 23:11:34+00:00,1233530208046714881,@theartieshow 🤣🤣🤣😩😩😩😩,Chyna_Choniece
2020-02-28 23:11:30+00:00,1233530191558914048,That's Chyna Whyte,thesalteater
2020-02-28 23:09:27+00:00,1233529675403726848,@TabuoG Mira por dentro y verás que tengo corazón,chyna_bel
2020-02-28 23:08:55+00:00,1233529541055909888,And this ladies is an example of what we should run from 😂😂,dope_chyna
2020-02-28 23:07:24+00:00,1233529160087343112,Why do we grab so many paper and forks at chipotle 😂😂😂😂,dope_chyna
2020-02-28 23:06:45+00:00,1233528996459098112,Chyna Hilson,JaziDes
2020-02-28 23:06:16+00:00,1233528874589396993,Chyna Nicole prepares new album. Thank you ⁦@JamaicaObserver⁩ for positively highlighting me today. We are excited about under single LET IT BE FOR JUSTICE and upcoming album prod by @jumpout6000 ❤️ you guys  https://t.co/VSzKb8Gx6n,ChynaNicole
2020-02-28 23:01:36+00:00,1233527699437707265,Blac Chyna Rocks New Short Hairdo Amid Custody Battle https://t.co/03AtVr4icM via @HotNewHipHop,Soriano310ms
2020-02-28 22:59:46+00:00,1233527239062327296,@1pinkfridayy hey sugar plum gum drop candy cane 🥰,Chyna_Aliya
2020-02-28 22:59:34+00:00,1233527189057835008,"Sitting at my facial place waiting for my appt, overhearing this old white woman talking about how aging has nothing to do with genetics... 😂😭",chyna_rsm
2020-02-28 22:58:40+00:00,1233526961273757696,Amber “ The Whitest Chyna” Rose 🌹,BishMooney
2020-02-28 22:58:02+00:00,1233526802859151360,"Tomorrow #ParisJC cheerleading sophomores Chyna Bell, Ka'Myia Lewis, Yessica Ramirez, Au-Tyana Turner, and Rileigh Wright will be honored in the Hunt Center about 1:45 p.m., prior to the 2 p.m. women's basketball game against Blinn College. Join us! 🐲 📣 https://t.co/zBzFdDVrOX",ParisJC
2020-02-28 22:57:46+00:00,1233526737117556736,Yho what happened to blac Chyna's lips😭😭😭😭,__SnaeY
2020-02-28 22:56:31+00:00,1233526420237844480,https://t.co/NfYqxxVjwD -   Rob Kardashian Fires Back at Blac Chyna’s Mental Health Evaluation Claims  https://t.co/RDZkecnQJH,SiomniMedia
2020-02-28 22:55:56+00:00,1233526277266526208,You Can See Black Chyna Lips From The Back Of Her Head. Smh,Chncgrnt
2020-02-28 22:54:55+00:00,1233526020290076677,chyna znow dostałam gorączki od płaczu,dprsruhan
2020-02-28 22:51:09+00:00,1233525073350402055,@dachosen1_chyna @keishathebody She missed last year 🌚,_iLLEGAL_BLACK
2020-02-28 22:46:29+00:00,1233523896885837824,Rob Kardashian accuses Blac Chyna of conducting a ‘smear campaign’ https://t.co/0YyKMcRtOR https://t.co/VexoUEZqT2,divaswiki
2020-02-28 22:46:15+00:00,1233523838647967749,The Sims: Chyna Edition.,Alyricz
2020-02-28 22:42:57+00:00,1233523009392185344,"@chyna_vee they were too busy, won’t no where to park so i said fck it.",_sweetshineee
2020-02-28 22:41:55+00:00,1233522748577722368,@_sweetshineee thought you went yesterday,chyna_vee
2020-02-28 22:34:17+00:00,1233520828853170177,Blac Chyna Puts her Massive backside on display on s3xy one piece swimsuit https://t.co/Ag16tCkFqw,Henry83761143
2020-02-28 22:33:30+00:00,1233520631326609409,Always messing wit Chyna😭😭. That’s my lil sis low key.💉,_darealNate
2020-02-28 22:30:47+00:00,1233519947378298880,Rob Kardashian Denied Primary Custody Of Daughter In Legal Battle With Blac Chyna https://t.co/YzYPCgtg4s https://t.co/vWAz8tK9HY,introvert_king
2020-02-28 22:27:28+00:00,1233519109352103936,@BeautyLiesInMe7 😂😂,chyna_trent
2020-02-28 22:27:07+00:00,1233519024144814080,@chyna_trent Lmao so funny I just sent this to pea!! 😂,BeautyLiesInMe7
2020-02-28 22:23:54+00:00,1233518212299489283,Aaliyah 😂😂 @BeautyLiesInMe7,chyna_trent
2020-02-28 22:19:29+00:00,1233517103690457089,No way that’s Chyna,tifaxtifa
2020-02-28 22:18:05+00:00,1233516748604891136,"@enews He keeps out if the public eye, he's not on the family tv show, he doesn't have his own show and he's kept quiet this whole time. Yeah Black Chyna takes care of her kids but is out here like she's doing promos for a film or tv show.",L80byrd
2020-02-28 22:16:39+00:00,1233516390155464712,Idk who panders for donations the most. Dr Umar or Black Chyna mama Tokyo,loveKase24
2020-02-28 22:13:02+00:00,1233515479907606530,Rob Kardashian's Request to Get Primary Custody of Daughter Dream From Ex Blac Chyna Denied https://t.co/nB5roGkqaX https://t.co/SW9gqiQF8Y,Docs4Court
2020-02-28 22:08:59+00:00,1233514458766508032,I just realized @ZayRIOT is now chyna with the 27 piece &amp; I... 😂😂😂😂😂 https://t.co/bRyYClrScV,venom_lovestone
2020-02-28 22:04:13+00:00,1233513258520338433,do nada me veio a cabeça que existiu um reality da blac e do rob chamado rob e chyna,aretuzo
2020-02-28 22:04:02+00:00,1233513214194987010,It me 🥴🙄 https://t.co/DFQsRdg6nf,cheena__chyna
2020-02-28 22:03:24+00:00,1233513055893372929,That pic of Chyna is photoshopped,FollowMyPen
2020-02-28 22:00:20+00:00,1233512284535873537,"me: wow i’m so busy and overwhelmed

also me: new project? sure!",chyna_mayer
2020-02-28 21:57:02+00:00,1233511451899219969,Rob Kardashian accuses Blac Chyna of conducting a 'smear campaign' https://t.co/YntdtiHwnq,notsignedtv
2020-02-28 21:55:46+00:00,1233511132259913734,Anyone tried apple cider vinegar gummies yet,chyna______
2020-02-28 21:55:31+00:00,1233511072742727683,@theartieshow ‼️🥴🥴🥴 but Shut up 😂😂😂😂😂😂😂😂😂😂,Chyna_Choniece
2020-02-28 21:53:45+00:00,1233510626523217926,@OhThatsYeYe @Chyna_Choniece *canva,thegirl_toot
2020-02-28 21:51:10+00:00,1233509976834019338,@aedcelectricity Thanks,Silver_chyna
2020-02-28 21:50:47+00:00,1233509881614917632,"@Silver_chyna Hello, there is a fault affecting the supply to your area. Our team is currently working to clear the faults and restore supply ASAP. We appeal for your patience.",aedcelectricity
2020-02-28 21:48:55+00:00,1233509411521540096,I swear to god sometimes i talk to my dad like I’m blac chyna and my dad talkes to me like he’s Tokyo toni,billlllion
2020-02-28 21:38:17+00:00,1233506734381109249,"Suppose Chyna-Derp State desperate attempt to stop nationalist awakening: design fake plague to depose Trump, effect coup in govts. (poisoning Trump/others), put nationalists in ""quarantine"" camps and get rid of them saying they died from disease. Media runs cover.....",bronzeagemantis
2020-02-28 21:32:43+00:00,1233505332825141256,@kriimsou @mamitaalnd 😥,Ad_chyna
2020-02-28 21:31:38+00:00,1233505061436903425,*Blac Chyna voice* she talking bout some tourism.,abbracadabra_
2020-02-28 21:26:21+00:00,1233503730626109441,"Rob Kardashian and Blac Chyna still fighting over Dream Kardashian. #KeepingUpWiththeKardashians #KUWTK 
https://t.co/rFWFAucveE",ChattyRachelle
2020-02-28 21:23:40+00:00,1233503054432997378,Blac chyna do look ratchet and ugly without makeup,FreeNatn
2020-02-28 21:15:35+00:00,1233501022879916033,Why do these rappers pass around the same girls 🤦🏾‍♂️🤦🏾‍♂️ like bruh I know it’s badder females than than Blacc Chyna and Ari 🥴🥴,THEnickster_5
