Datetime,Tweet Id,Text,Username
2021-07-30 23:59:23+00:00,1421259159295627266,😂,Chyna_Choniece
2021-07-30 23:56:51+00:00,1421258519358103552,@JJscatter No go sleep o,Silver_chyna
2021-07-30 23:51:38+00:00,1421257207673278464,@druggycardi @TheforeverB @onikacumragg @vhstal @LilKim @NICKIMINAJ thr 4th pic looks like a mixed face of the Kardashians including chyna lmaoo,beamaraj
2021-07-30 23:50:57+00:00,1421257036818534400,"“Eddie may wear the pants, but Chyna tells him which pair to wear” 😂",WrestlePurists
2021-07-30 23:48:42+00:00,1421256467051601921,Blac Chyna - My Word (feat. Too $hort &amp; Keak Da Sneak),Dynasty_11
2021-07-30 23:48:12+00:00,1421256341885120514,@FSharkwind @WithBL4CKPINK @Olympics @murdochsj @fina1908 Chyna https://t.co/cs8kcncZOU,LukePSulz
2021-07-30 23:47:47+00:00,1421256237656776705,@Silver_chyna I greet you too my beautiful friend. 👀,JJscatter
2021-07-30 23:47:13+00:00,1421256097025904646,posting things I won’t post on IG &amp;  utilizing their filters because IG filters are so trash,chyna_mocha
2021-07-30 23:45:54+00:00,1421255763213930497,@JJscatter Good morning sir,Silver_chyna
2021-07-30 23:26:51+00:00,1421250971695337478,"@FSharkwind @WithBL4CKPINK @Olympics @murdochsj @fina1908 No, just like to annoying CCP sock puppet accounts. Don’t play your usual games with me. I’m not gonna bite. Chyna. 
#vivaHongKong",LukePSulz
2021-07-30 23:23:10+00:00,1421250041386311680,Now Chyna don’t want to reply,kingtylerdavid
2021-07-30 23:05:13+00:00,1421245524783501314,"@WWEUK @WWE Sasha Banks
Chyna
Trish
(I don't watch men's wrestling so yeah)",mvmone_
2021-07-30 23:04:53+00:00,1421245441669279759,@AnsgarTOdinson Just spam chyna https://t.co/V0pG9Ob7Jw,PunishedT0ken
2021-07-30 22:56:49+00:00,1421243411080744963,"@DrankyDranks Man they really did her wrong, one of the best wrestlers of her time. Even if you didnt watch wrestling you knew Chyna.",Punity32
2021-07-30 22:36:56+00:00,1421238406349213697,@chyna_adc La mujer perfecta. Le encanta comer 😍🤩😁,gabrieldelgadov
2021-07-30 22:34:14+00:00,1421237728553934849,@chyna_adc Eso no es verdad! Hombre enamorado bien atendido y bien cojido es fiel... Hombre enamorado infiel es porque la mujer cree cumplir en todo y falla en algo o es sumamente ladilla y toxica!,EstampaMilagro1
2021-07-30 22:33:56+00:00,1421237655178780676,"So sad too bad. If I am vaccinated and spread it to someone who isn’t, that’s their fault and if I am vaccinated and others are vaxed and we all choose not to mask, and I or they get sick, oh well, it’s choice!  This is outrageous that Chyna bombed us with this shit!",sfaz0421
2021-07-30 22:27:30+00:00,1421236033849544706,"@Wujs0n O kirwa
Ciężko było to rozczytać ale chyna rozumiem",N0_culture
2021-07-30 22:25:18+00:00,1421235481124212745,@_kellz Whew facts!,___Chyna___
2021-07-30 22:17:18+00:00,1421233467342290944,@Chyna_Chase @kairyluminess Nice cosplay,dalek15yt
2021-07-30 22:11:11+00:00,1421231928611688455,India vs Chyna. Trending in the right direction all along https://t.co/qptEZmMovc,FlyrUsr
2021-07-30 22:09:49+00:00,1421231583856676866,it’s insane how much jade cargill reminds me of chyna,addiesjay
2021-07-30 22:09:38+00:00,1421231537769615365,Chyna really was one of the best,DrankyDranks
