Datetime,Tweet Id,Text,Username
2021-09-29 23:59:44+00:00,1443364903331446785,@chyna_no On me cop the watch ain’t nobody drip touching yours 😤,Fooly_Cooly__
2021-09-29 23:51:51+00:00,1443362920918827010,Now playing The Race by Chyna Gwopfein !,Rageneo
2021-09-29 23:50:30+00:00,1443362581062819842,@LeagueOfLegends reference pic when creating Tahm Kench https://t.co/JK5F60aR1r,chyna_no
2021-09-29 23:43:08+00:00,1443360729495740418,@MZChyna35 Chyna!🤣🤣🤣😂😂😂,Iamkeshk
2021-09-29 23:39:41+00:00,1443359857546088448,Finally started squid game 🦑🎮,chyna_no
2021-09-29 23:31:24+00:00,1443357776491819011,The way society normalized cheating makes me wanna never get with anybody ever 😐,chyna_no
2021-09-29 23:26:05+00:00,1443356438974271492,“Yes I’m happy w my girl but I want Blac Chyna” 💀💀,Cisco_47
2021-09-29 23:25:34+00:00,1443356308929929220,@chyna_no I remembered the frog bucket hat 😂,Fooly_Cooly__
2021-09-29 23:23:13+00:00,1443355716161519620,@Fooly_Cooly__ It absolutely was how did you knoww 😂😂,chyna_no
2021-09-29 23:22:21+00:00,1443355497931935744,I feel like this tweet was made for @chyna_no,Fooly_Cooly__
2021-09-29 23:06:05+00:00,1443351405616668680,"It sucks I can’t tell people like Eddie Guerrero, Test, Sean O’Haire, Chyna etc (just some names that came to mind) how much I appreciate what they done for wrestling",slaybazza
2021-09-29 23:02:16+00:00,1443350445255053313,"@vicksiern Prosecuted! Right along with G*tes, politicians(former &amp; current) &amp; Chyna. And I mean hardcore &amp; harshly, crimes against humanity deserve the worst done to them.",LilithLiberty1
2021-09-29 23:00:46+00:00,1443350066618581001,Call up King Of Diamonds and tell Chyna it was worth the flight 🎶,Whatdalickread_
2021-09-29 22:58:36+00:00,1443349520176361473,@chyna_adc Si pero no puedes condicionar el aborto solo a una cosa como la violacion! Los métodos anticonceptivos fallan y no todas quieren ser mamá… No deberían preguntarte el porqué quieres hacer lo que quieres hacer con tu cuerpo.,LeysaGs
2021-09-29 22:49:32+00:00,1443347237061398532,i don’t wanna be an adult anymore 😮‍💨 definitely not giving what it was supposed to,chyna_necholle
2021-09-29 22:46:47+00:00,1443346547052269568,that one is my default bc chyna sings “hands” really weird,voboed
2021-09-29 22:46:47+00:00,1443346545928286214,sorry guys thats the default right after chyna anne mcclains cover of tao cruz’s version.,voboed
2021-09-29 22:40:22+00:00,1443344932773761024,Especially peppers now,chyna______
2021-09-29 22:39:14+00:00,1443344646436884481,@ChuckRossDC This is nuts does Chyna own everything aspect,pjotoole2013
2021-09-29 22:39:13+00:00,1443344642838253570,Philly barely seeing me.,chyna______
2021-09-29 22:32:38+00:00,1443342984653664261,The only fault in my gf is she can’t smash as hard as I do at olive garden all you can eat soup &amp; salad lunch special.,chyna_anders0n
2021-09-29 22:29:41+00:00,1443342245114138629,"@taggarttrr @2times2is4 @BernardKerik Sure, ""Chyna"" Joe https://t.co/qck84DbexQ",crzyPete
2021-09-29 22:26:23+00:00,1443341412372647937,"@Americanka4 @LisannaBoo Probably all from 🇨🇳 

Chyna owns us 😌",66Magpie
2021-09-29 22:24:17+00:00,1443340883030589444,Que hermosa semana para chyna 💗,aldiguzmann
2021-09-29 22:24:02+00:00,1443340820183126016,@musicgamer460 @IAmJericho I have Chyna's book,tomjrjackson
2021-09-29 22:20:31+00:00,1443339937198354432,@news4buffalo They be using the ER as a primary doc to squeeze out a few oxy and stiff the bill or somethin?,chyna_vyrus
2021-09-29 22:12:28+00:00,1443337909357223937,"The CCP alleged air force meets our @DeptofDefense Air Force will be total devastation of ChYna. The CCP may have a few air ships, but no one capable of flying one, &amp; certainly not how to use the on board artillery. Bring it on! @newsmax",Ingram53603469
2021-09-29 22:09:36+00:00,1443337191225188354,Chyna,RobertJ95156615
2021-09-29 22:07:21+00:00,1443336623249313792,@chyna_lashay Mannn!!,Kaatlinn
2021-09-29 22:00:00+00:00,1443334773724884993,"China Anne McClain as Chyna Parks, A.N.T Farm https://t.co/ACfpO4jyAC",OoCCAMcClain
2021-09-29 21:53:29+00:00,1443333133060001794,@chyna_no 😌 https://t.co/dpipXSgOfs,PrinceFYTB
2021-09-29 21:51:53+00:00,1443332731212124161,@PrinceFYTB Prada u bro 👏🏽,chyna_no
2021-09-29 21:49:43+00:00,1443332184119693316,@JimInhofe you’re correct. General Milley is guilty of TREASON pure and simple @SenatorLankford charm in James. Milley should be fired or permanently sent to ChYna!,Ingram53603469
2021-09-29 21:47:02+00:00,1443331511638376451,@chynadanae My dawg chyna where you been you really don’t fw us no more that’s crazy,ELITURNTUP
2021-09-29 21:41:58+00:00,1443330236058320896,@LeagueOfLegends 🧔‍♂️➕🐺🤰=💥💪🐺👱‍♂️💪💥,chyna_no
2021-09-29 21:39:23+00:00,1443329585215590401,"@DarkSideOfRing I am watching episodes on Youtube and I saw the Gino Hernandez and Plane ride from hell and the the season 3 sneak peak episode. I have some ideas of episodes, Episode of RVD, Shad Gaspard from Crime Time, Brodie Lee, Chyna, Eddie Guerrero, Mr. Perfect",MeyersClinton
2021-09-29 21:38:25+00:00,1443329340364759040,@chyna_adc En el Grand Palladium Punta Cana @grandpalladium1 🇩🇴 entraron hacer el servicio a la habitación y por arte de magia se desaparecieron mis AirPods.!! El Hotel dice que fui yo! Porque solo yo tengo las llaves de la habitación.! Y los de limpieza ? Y los que surten el bar? Insólito,rasanchezr45
2021-09-29 21:36:10+00:00,1443328775824056321,@WWE @StephMcMahon @Forbes Justice for Chyna,RealSofaKing
2021-09-29 21:36:00+00:00,1443328734212280326,Now playing They Mad by Chyna Gwopfein Feat. Pc. Tweezie!,Rageneo
2021-09-29 21:35:03+00:00,1443328494990241793,"@The_Real_Fly Lets make army run Trucks and ships containers , if possible supply Power to Chyna Industries ... https://t.co/9AEMeUC4SL",Open_Mind_Heart
2021-09-29 21:34:55+00:00,1443328462228496395,@bignosesheree and nina bonina brown should have been black chyna,kaifetus
2021-09-29 21:32:06+00:00,1443327751793135630,Khloe Karsahian really thinks she’s Blac Chyna and its kinda disturbing. She looks like a fake ass Youtuber trying to look like Kim Kardashian lol,Purpwindfire
2021-09-29 21:31:14+00:00,1443327535652212740,Being on my period making me wanna push away people when I literally crave social interaction,chyna_no
2021-09-29 21:29:40+00:00,1443327138543853571,@1ThickAzz_Chyna Sexy🤩,RaiderRick007
