Datetime,Tweet Id,Text,Username
2020-08-30 23:57:48+00:00,1300221212312829953,"@ChrisMurphyCT https://t.co/YrOfOIHBg6 
The numbers of people who have died, and those who have yet to die, are generally equal to, or less than, the numbers of people who would have died regardless, even if the U.S. election had been won by your drunken hag, or anyone else. 
#WuhanVirus",GDHDyer
2020-08-30 23:35:52+00:00,1300215690281000963,"@StacyBradfield @grandmagrit Honestly speaking though. The people I’m disappointed &amp; I feel is responsible for fanning the flames of HATE &amp; division is the MSM. Did you know that CNN was the first to call COVID 19 the Chinese virus, the wuhan virus &amp; the China virus?  Did you know that?",tlhickman1
2020-08-30 23:30:41+00:00,1300214388092141568,"@thebradfordfile It's my guess, that most of the protestors are college students, with to much idle time, and no where to go, because of Campus closures, because of the Wuhan Virus...and American tax paying workers, are paying them hundreds of dollars per week, not to work!",amuzedgawd
2020-08-30 23:29:36+00:00,1300214114778783747,@TeedIsMe @americanism36 @junajohnston Actually i think both Biden and Trump are trash. I just think brushin all of china with a disease for political effect is scummy. Call it the wuhan virus if you want to point to origin but you know what youre doing calling it the china virus,thezdroids
2020-08-30 23:27:23+00:00,1300213558555357185,"#FullOnPropaganda Nonsense

We read this article and it's reference. It is garbage.

Couldn't socially distance? Blame your working memory
https://t.co/oaKck7IXAF
11 Jul 2020

#CoronaVirus #WuhanVirus #COVID19 #CCPVirus

qt-covid19-news-619 by #BorderObserver",RollingRevolt
2020-08-30 23:25:41+00:00,1300213129977065472,"@Ramsyeddy @Ytweek1 @KimPKAG2020 @Russian_Bot_Liz @RedWolfe45 @NiteQueen10 @Usa1tor @Charles63103679 @geohays @BlozikJohn @johnrzme @BostonTeaParti @CC4Tx @Unyielding5 @TtPlan17 @MaryUlinger @Patty1z @NoDemsForever @bjoneyk5 @forinman @jojoman57 @Koolmoe21 Mr. President,
Did Communist China attack USA/NATO with Wuhan Virus?
Is US Intelligence investigating this possibility?
In 2012, did Wuhan Virus infect 6 Chinese miners, did their tissue samples go to Wuhan Virology Institute, according to Bioscience Resource Project?",amuzedgawd
2020-08-30 23:24:12+00:00,1300212756692389888,"@XHNews Time for China to Pay up $3 Trillion to the world for exporting the CCP Wuhan virus &amp; for the havoc, suffering &amp; deaths caused. 
China is a Curse on Humanity.",PercyZ9
2020-08-30 23:23:07+00:00,1300212481730600960,"Mr. President,
Did Communist China attack USA/NATO with Wuhan Virus?
Is US Intelligence investigating this possibility?
In 2012, did Wuhan Virus infect 6 Chinese miners, did their tissue samples go to Wuhan Virology Institute, according to Bioscience Resource Project?",amuzedgawd
2020-08-30 23:22:37+00:00,1300212359613554688,"@OmahaSpeak So Wuhan Virus (Chinese Virus, CCP virus) is the cause of the violence? Who knew it had that kind of power. And do democrats really think people are so stupid they'll believe this nonsense? Amazing.",BennyCemoli
2020-08-30 23:22:12+00:00,1300212251014520832,"Mr. President,
Did Communist China attack USA/NATO with Wuhan Virus?
Is US Intelligence investigating this possibility?
In 2012, did Wuhan Virus infect 6 Chinese miners, did their tissue samples go to Wuhan Virology Institute, according to Bioscience Resource Project?",amuzedgawd
2020-08-30 23:21:45+00:00,1300212137994760193,"Better late than never cannot trust CCP,what it really is a NEW WUHAN virus in disguise of vaccine?",AnilVanjare
2020-08-30 23:20:52+00:00,1300211915730296832,"@Derameth @tx_mills @yorkiemomma4 @Allegedly1776 @VoteRed53 @RNinMI @RodneyEvans @RonaldRdr @EMastrro @galacticaactual @GrandmaPattiA @CarlBotha2 @Change2Happy @Debwrightjones @lovebaldeagles @N_Testie @JessicaKAGMAGA @brandy_mosscott Mr. President,
Did Communist China attack USA/NATO with Wuhan Virus?
Is US Intelligence investigating this possibility?
In 2012, did Wuhan Virus infect 6 Chinese miners, did their tissue samples go to Wuhan Virology Institute, according to Bioscience Resource Project?",amuzedgawd
2020-08-30 23:20:46+00:00,1300211892233805825,"Mr. President,
Did Communist China attack USA/NATO with Wuhan Virus?
Is US Intelligence investigating this possibility?
In 2012, did Wuhan Virus infect 6 Chinese miners, did their tissue samples go to Wuhan Virology Institute, according to Bioscience Resource Project?",amuzedgawd
2020-08-30 23:20:14+00:00,1300211757294575616,"@RyanAFournier @Bidenisaperv It's my guess, that most of the protestors are college students, with to much idle time, and no where to go, because of Campus closures, because of the Wuhan Virus...and American tax paying workers, are paying them hundreds of dollars per week, not to work!",amuzedgawd
2020-08-30 23:19:27+00:00,1300211558774120451,@sallyKP Hey more blacks get it the virus is racist  so let the black crybabies go first and die from what is in those vaccines. Not Uganda a malaria infested country 99.8% black where everyone uses hydroxychloroquine as preventative for malaria only has 15 deaths to wuhan virus,VonPearl1
2020-08-30 23:17:05+00:00,1300210963916832768,"@TrumpitC @SagLeoJC3 @RedWaveFl @janvinjoey @susansaga1 @SWFLBeachBum @ec_kag @Mod4USA @Jhwrr @ArdeleanErik @Mc_Murcher44 @neuro7plastic @20HoF00 @Ag611127 @EdgewoodTom @Jersey327 @Tom330 @NinaDeplorable @SgLoJC3 @PaulMer52 @HanaTracy1 @Italia191 @blondygirl1 Mr. President,
Did Communist China attack USA/NATO with Wuhan Virus?
Is US Intelligence investigating this possibility?
In 2012, did Wuhan Virus infect 6 Chinese miners, did their tissue samples go to Wuhan Virology Institute, according to Bioscience Resource Project?",amuzedgawd
