Datetime,Tweet Id,Text,Username
2020-07-30 23:57:33+00:00,1288987126093221893,"@MontgomeryJBur1 Most Wuhan virus deaths occurred in poorly run Democrat states with incompetent Democrat governors.
Killer Cuomo was the worst - sending nursing home patients back to infect other elderly people.
#DemocratsAreADisgrace https://t.co/13PykCCof2",per_ann
2020-07-30 23:55:44+00:00,1288986669434241024,WUHAN VIRUS,BigDogBoo
2020-07-30 23:53:19+00:00,1288986058261057539,"@business Then why are we allowing the #WuhanCoronavirus to stop the entire #American #Economy #Schools, #Churches ? Why the over saturated commercialized #NewNormal that breeds fear of stepping foot outside? And why the debate for the mass murder of the #WuhanVirus pointed at @POTUS https://t.co/kB0Sk3Y5ks",DanSmit21326682
2020-07-30 23:52:21+00:00,1288985814618128384,"@globaltimesnews Taiwan , HongKong and Tibet is also a good substitute for China Market , atleast these countries don’t have lab Like Wuhan ....Virus",ALOK009
2020-07-30 23:51:55+00:00,1288985707449655296,"@KamalaHarris @realDonaldTrump In 96 days, all the kids will go back to school, the Chinese Wuhan virus will miraculously disappear, and the far left media will have another 4 years of Trump to slander and liable. Ahh, normalcy again.",RamboGage
2020-07-30 23:49:09+00:00,1288985009752354816,"@marthamaccallum  children remain immune to the fatal effects of the Wuhanvirus. To this day, there’s not a single recorded case in the entire world of a student passing Covid-19 to a teacher. Not one case! But schools shut down anyway. Democrat Goal = inflict pain on Americans",pcisbs1
2020-07-30 23:47:03+00:00,1288984481643343872,"Gambia's VP Isatou Touray Test Positive For The Wuhanvirus, President In Self-Isolation

Read here, subscribe and share comment: https://t.co/XDnsoLZQrE

#Gambia #WuhanVirus #IsatouTouray #Africa #AdamaBarrow

Follow @cowrynews to stay updated",cowrynews
2020-07-30 23:45:46+00:00,1288984161588396032,"Totally agree. Cancel #CCP SOEs. 

#cdnpoli #China #TiananmenSquareMassacre #CCPChina #WuhanCoronaVirus #WuhanVirus #CCPVirus #wuhanflu #ChinaLiedPeopleDied #COVID19 #CoronavirusPandemic",bcwestmind
2020-07-30 23:44:51+00:00,1288983930071220225,"@JLCWood2017 @costellodaniel1 After exporting the gift that keeps on giving, #WuhanVirus, should the #USA do what @RepAdamSchiff wants to do? Keep dealing with the #CCPChina 

https://t.co/d9c18RUF6p",DanSmit21326682
2020-07-30 23:44:49+00:00,1288983921988902912,@CNN China screwed the entire world with the Wuhan Virus.  Hold CCP and President Xi accountable. https://t.co/6qXCBsZvky,BamaJoe3
2020-07-30 23:41:59+00:00,1288983207917031425,"Louie Gohmert
     Just said Wuhan Virus
GET IT RIGHT
   IT   IS

     TRUMP     VIRUS",CharlesEdgarto2
2020-07-30 23:40:46+00:00,1288982903011987456,@lestatdelc @RudyGiuliani Sue the Chinese Communist Party for this #WuhanVirus!,RedMandie
2020-07-30 23:40:20+00:00,1288982791544242176,"@thebradfordfile How's that happen? 

Ya always had a sneaky suspicion #Democrats were 'prepared,' before #COVID19 was 'released' upon America

Come on, really...

Democrats didn't have anything to do with #WuhanVirus hitting the shores of 🇺🇸...

right❓",PaulyBowz
2020-07-30 23:40:16+00:00,1288982776952377345,"@mikecleere @dbongino Uhhh NOPE! Wuhan virus, ccp in china responsible.",PhillM09189229
2020-07-30 23:39:31+00:00,1288982585826324480,"@AdamsCumbie @MeidasTouch Notwithstanding the China-Wuhan virus, if you can't see the progress made by Trump since cleansing the white house of Obama-Biden then you have been irreparably indoctrinated by Marxist ideologies.  I can only hope the type of Seattle/Portland peaceful protesters visit you soon.",airport_maven
2020-07-30 23:36:18+00:00,1288981775436242944,@realDonaldTrump It is time to PUNISH China and stop the talking! #HongKong #WuhanVirus #WuhanCoronavirus #Uighur #Tibet,604Raincouver
2020-07-30 23:34:59+00:00,1288981446745395200,"@bennyjohnson @SenFeinstein Unless you get the Chy-na Wuhan Virus, Feinstein👎🏾👎🏾👎🏾‼️‼️‼️‼️ We will see how much respect you have👎🏾",JMMP78340550
2020-07-30 23:34:32+00:00,1288981331985260548,"@morningmika WHAT ABOUT YOUR LOOTERS AND RIOTERS FROM BLM? NO MASKS WEAR, NO SOCIAL DISTANCE AND EVERYDAY IN THE STREETS!! DON'T SPREAD WUHAN VIRUS??",MariaEL71986636
2020-07-30 23:31:26+00:00,1288980553421795332,@jaketapper Stay wuhan virus safe!! https://t.co/zz8XmAhl5D,jboettcher6697
2020-07-30 23:29:57+00:00,1288980180405555200,"@intheMatrixxx merchandising the wuhan virus ecosystem , sell , sell , sell",bigbaldjohnny
2020-07-30 23:28:45+00:00,1288979879187238913,"Before contracting that miserable Wuhan virus, Herman Cain had fought metastasized colon cancer+was in remission. His good-natured optimism+common sense will be missed in a world that lacks these pillars of civilized society.",growlingpanther
2020-07-30 23:22:43+00:00,1288978358248919041,@realDonaldTrump @WSJ Communist democrats are more dangerous than wuhan virus!#Trump2020,MariaEL71986636
2020-07-30 23:19:54+00:00,1288977652091629572,#Hydroxychloroquine has been around for ages and now the #Liberals want us to trust their #vaccinetracker HELL NO!! I am a #Patriot and will not but into the lies of the #Leftists #antimask #WuhanVirus,KeepAmericaPure
2020-07-30 23:17:53+00:00,1288977142089474048,"ok to protest 4 #socialjustice amid the #WuhanVirus pandemic, but not attend church. #Hypocrisy!     #BoycottNFL https://t.co/6lEqqSJLRD",IloveBush43
2020-07-30 23:16:49+00:00,1288976874123726853,"@rcallimachi Or, the risk of a corrupted election needs to be addressed with the left using this Wuhan Virus as an excuse to shut down the great economy &amp; push for mail-in which we all know is ripe for abuse.",Wilkie3
2020-07-30 23:15:59+00:00,1288976664509050881,@morningmika @realDonaldTrump Really lady! Cain was all over the place not wearing a mask because it was his choice. There is no proof he contracted the Wuhan virus at the rally or somewhere else he wasn't wearing a mask.,RockyMtnMSgt
2020-07-30 23:15:06+00:00,1288976443121205254,"@GrossoLucy @IngrahamAngle For your distinct edification, it emanated in Wuhan which for the timebeing is in Hubei Province, PRC China. Therefore, it is properly termed #WuhanVirus or #ChinaVirus or if you wish #CCPVirus

It was this gift of the #CCP to the USA. @realDonaldTrump had no part in its creation",Yellowknife7777
2020-07-30 23:13:29+00:00,1288976034281353216,'Apparently I have the Wuhan virus': Texas rep. https://t.co/fRifEG2poG via @yahoosg,Micloo2
2020-07-30 23:09:59+00:00,1288975153565753344,The NBA is over anyway. Very low viewership before the Wuhan VIrus struck.  Now they pay homage to a terrorist organization? Good luck staying in business.,quimfriend
2020-07-30 23:09:44+00:00,1288975091716546565,⁦@realDonaldTrump⁩ trolls the #fakenews ⁦@CNN⁩ giving them an excuse to break from wall to wall #WuhanVirus coverage.  https://t.co/yuOZTKS0q4,dwhite1979
2020-07-30 23:08:19+00:00,1288974734210797569,@EvanMcMullin Trump and the Wuhan virus are not the threats to this country.  People like you are sir!  Truth!  😡,AmericanGirl43
2020-07-30 23:05:34+00:00,1288974041064312832,"@RealJamesWoods @RealJamesWoods I am convinced that the Wuhan Virus is a biological attack on the USA by the CCP. Just as the Japanese attack on Pearl Harbor &amp; the Islamic attack on the WTC. The method was a bit more sneaky.
https://t.co/kVBiSILyVm @realDonaldTrump @GrahamLedger @LouDobbs",real_pat_henry
2020-07-30 23:02:56+00:00,1288973381488898048,"@shimokitajoe @replouiegohmert Same logic about “Wuhan virus” , makes the atom bomb the “USA instant death bomb”.",Roberto79136894
2020-07-30 23:02:45+00:00,1288973332914810880,American Frontline Doctors Press Conference On Wuhanvirus https://t.co/vlASN5vm0b,MrsHazelGiles1
2020-07-30 23:02:02+00:00,1288973153805402115,"#CCPVirus_Joke

Just like condoms, you need to take care of your mask.

Heat, sunlight, oils, and chemicals will break your mask 

And sometimes the masks don't matter at all, just like in porn
 
#CoronaVirus #WuhanVirus #COVID19 

qt-covid19-jokes-042 #BorderObserver",borderObserver
2020-07-30 23:01:30+00:00,1288973021735133184,"@Petster88 @ImmoralReport @CNN Per the prescribed ""Social Distancing"" rules, he is okay.
But don't expect Dr MovingGoalPost to not change the rules.
-+++
#CCPVirus_Joke

How far is “social distancing”?
.
.
.
.
.
.
.
.
.
.
the swing of a bat.

#CoronaVirus #WuhanVirus #COVID19",borderObserver
2020-07-30 23:01:25+00:00,1288972997219561472,"@RealJamesWoods Experts differ.
Genome science, mathematical biology, genetics all have room for uncertainty.
The short answer is many suspect but can’t know for certain if the CCP developed/deployed the Wuhan Virus as a biowarfare adjunct to its chemical warfare distribution of street Fentanyl.",DonRiedel
2020-07-30 23:00:11+00:00,1288972690183712768,"A colleague allegedly committed suicide 

He was recently let go

#WuhanVirus has been hard in so many ways

🕉 Shanti 😞",TheRanaSanga
2020-07-30 22:59:41+00:00,1288972562286825474,@scientificrealm @realDonaldTrump #WuhanVirus Coronavirus Murderer Chairman Xi: Biden for Presiden. He's MY BITCH: https://t.co/DLpEAnARZ5,Dogbert_Catbert
2020-07-30 22:58:04+00:00,1288972154915168260,@FOX13News Wool over eyes. Not sure if it was cancer or the Wuhan virus. Please.,RanchDaddy
2020-07-30 22:55:20+00:00,1288971469763092483,"@KalLowe @tyjfield @longbeachgriffy I'm sort of fine with calling it the Chinese virus, except Chinese is such a broad term. It's like if a virus came from somewhere in Europe and you called it the European virus. It's too broad. I think a much better term that's less prone to encourage racism would be Wuhan virus.",SourceMemory
2020-07-30 22:55:17+00:00,1288971453266710532,@MelodyMac51 What the fuck..... #WuhanVirus can spread like a wildfire and have a potential to kill people on the name of Secularism....,Crazee_Fantom
2020-07-30 22:55:02+00:00,1288971393825034242,"@Shem_Infinite Directive 51, delay the election until the Wuhan virus is gone.",Cowandos
2020-07-30 22:52:58+00:00,1288970871302889473,"@twblues4me @Alyssa_Milano Louie Gohmert announced he had ""the Wuhan virus"" and then surmised it was due to wearing a mask: ""I can't help but think that if I hadn't been wearing a mask so much in the last 10 days or so, I really wonder if I would have gotten it"" https://t.co/VYm6aNz2C1",BadAtom
2020-07-30 22:51:23+00:00,1288970473729130497,@ananavarro Herman Cain had stage 4 colon cancer with only weeks to live. He may have tested positive for the Chinese Wuhan virus but it’s not what killed him. Why can’t you ever correctly report facts?,RamboGage
