Datetime,Tweet Id,Text,Username
2021-05-30 23:55:16+00:00,1399152463614074882,"@bbcworldservice Audacity called it India variant, Brazil or African variant but not Wuhan virus ,as origin 🤭🤭",Rowena525
2021-05-30 23:54:03+00:00,1399152156876308482,"@s0267188 @abcnews Might be sudden to you, but no if we donot call virus chinese or wuhanvirus then we should call the strains by the cities or countries either",kala_raghunath
2021-05-30 23:52:36+00:00,1399151792571785216,@JoyVBehar Let's hold the CCP responsible for the Wuhan virus!,MeanWashMachine
2021-05-30 23:51:30+00:00,1399151511968518146,"2/2 It is NOT racist to call COVID the Wuhan Virus! It is a new virus found in Wuhan China. It was only called racist because the left &amp; media, deemed everything Pres. Trump said as racist. Not calling it the Wuhan Virus is outside the epidemiological virus naming convention.",mcculley_jr
2021-05-30 23:44:01+00:00,1399149630370242560,Dozens of New York evictions dismissed after tenants receive 'Wuhan virus emergency' eviction notices https://t.co/V8koOi04ZS,BossMantlemoto
2021-05-30 23:42:09+00:00,1399149161350451202,@globaltimesnews #wuhanVirus aka #chineseVirus is threat to everyone including #TaiwanIsACountry,aps_aaditya
2021-05-30 23:41:52+00:00,1399149090953252870,@Sarah25568253 @Israel @MeiraHShem @Jlm_city 😂😂😂😂nice joke no testing no Wuhan virus your govt strategy . Testing ke liye bhi kit lgti h usme bhi paise lgte h  jo ki tum bhikharion k ps h nhi,BlckWolf8
2021-05-30 23:34:47+00:00,1399147308277809163,@MeghUpdates Is this a new virus or the Wuhan virus that caused the pandemic?,UnabashedIndian
2021-05-30 23:30:30+00:00,1399146229548810240,"be afraid people

#China #WuhanVirus #auspol",EmporerofOZ
2021-05-30 23:25:35+00:00,1399144989578334210,@PrimaryALLRINO @buzzman888 Nobody under the age of 20 should be vaccinated. If they catch the Wuhan virus they have a tremendous survival rate,2broke2matter
2021-05-30 23:24:15+00:00,1399144655766294529,@lori_romanell So can we call COVId the ChinaVirus or WuhanVirus?,IsIllinois
2021-05-30 23:18:08+00:00,1399143116716740609,"@Sarah25568253 @Israel @MeiraHShem @Jlm_city Hey, you are a Pakistani, with whom your wuhan virus test, vaccine, nothing happened.Counting hospitals in the name of health services, which do not know about anything other than fever. Drinking does not get water, there is no electricity, there is no vaccine due to beggars.",BlckWolf8
2021-05-30 23:15:15+00:00,1399142389369896960,#WuhanVirus / #ChinaVirus  ??,thamidisetty
2021-05-30 23:06:29+00:00,1399140185388961793,"@Sarah25568253 @Israel @MeiraHShem @Jlm_city There is no disease named Kovid here, but the cases of Wuhan virus and Chinese virus had increased, which is now normal. Our politicians did not even call the pig to eat all the people please read properly. Nd where r u from ?",BlckWolf8
2021-05-30 23:05:53+00:00,1399140032812699648,"@globaltimesnews So far China had claimed #wuhanvirus originated from USA, Italy, or even Mars.

Make up your mind before placing your bet!",Alpha4_3dom
