Datetime,Tweet Id,Text,Username
2021-07-30 22:22:28+00:00,1421234767580725250,"@MJ_007Club Hopefully, this chap should now stop spreading the #ChineseVirus",sriramranga
2021-07-30 21:32:08+00:00,1421222100392628226,"#Chinesevirus #ChineseCoronaVirus #WuhanVirus 
Thanks to @zlj517 and his masters.. 
 https://t.co/8ke8nX05Sn via @MailOnline",typical_mallu
2021-07-30 20:40:20+00:00,1421209063535300613,"Se sigue hablando del virus chino pero se trata de olvidar que el causante de esta desgracia es chin comunista. La cepa, variante y cómo la quieran llamar salió de #Wuhan #ChineseVirus #Comunismo #Totalitarismo",CarlaMorotoli
2021-07-30 20:37:20+00:00,1421208309407834113,@zerohedge Governments have got addicted to the control #ChineseVirus has given them over their populations!,sridhar1803
2021-07-30 20:09:36+00:00,1421201331679731713,@TwitterSupport I am unable to tweet with #ChineseVirus. Why,baidya_07
2021-07-30 19:11:07+00:00,1421186611237163008,#stop saying #coronavirus to this virus #call it #Chinesevirus  this kind of country deserves to get insulted who treat their workers like a slave there is no #democracy in there and the people are those countries don't know what to eat like a brainless,AgainstPutin7
2021-07-30 18:49:57+00:00,1421181286517940225,"कम्युनिस्ट चीन के #ChineseVirus ने केरल की कम्युनिस्ट सरकार के स्वास्थ्य मॉडल की पोल खोल कर रख दी है।

#KeralaCovidBlunder  #जीतेगा_विकास_जीतेगा_यूपी #kerala",saket_agrawal_
2021-07-30 18:36:32+00:00,1421177908232552452,"@EdgarEllenPope In my hometown #subway  would have to shut it down and close the doors !  There’s maybe  1-3 vaccinated people, and If that’s the way subway thinks. I don’t have to support them @SUBWAY @SUBWAYCanada #ChineseVirus #corruption https://t.co/iKwkIMNVkI",benstahl3
2021-07-30 18:06:25+00:00,1421170331528712192,"@POTUS There are so many people in the world refusing the vaccination experiment that “they” decided to launch the delta to push harder.  

How cursed are the #WHO and the @UN.  

And #china?  Forgiven for such baseness.

#HistoryOfHumanity
#ChineseVirus #Vaccine",dianaprieto69
2021-07-30 17:54:52+00:00,1421167424846503940,@WIONews Dear @WHO stop calling it by the name variant it is #Chinesevirus.,logicalraman
2021-07-30 17:23:44+00:00,1421159587491762182,"SEE @jimcramer, @andrewrsorkin, @JoeSquawk, it is OK to unmask in the House if you're getting a picture taken.
That @ChineseVirus is one damn smart virus!
@SpeakerPelosi, the virus is smarter than you &amp; Joe Xiden, definately Joey Xiden!",firebillbob
2021-07-30 17:23:26+00:00,1421159514141863946,#DeltaVariant of #Chinesevirus Has Triggered 4th Wave In Middle East : WHO https://t.co/4u2mG5yyfN,defencealerts
2021-07-30 17:07:49+00:00,1421155581511954433,"May be ""mayans"" said 2012 but its actually 2021
#COVID #EndisNear #SaveEarth
#ChineseVirus",SwetaDidi
