Datetime,Tweet Id,Text,Username
2020-06-29 23:53:28+00:00,1277752074189635585,Find the tracks of funding behind soros and the Wuhan labs and now remdesivir by gilead/wuxi pharma. Will do full break down later #soros #wuhan #coronavirus #gilead #q #qanon #wwg1wga #labs #ChineseVirus #remdesivir #hcq #HCQworks,truthexposer14
2020-06-29 23:47:22+00:00,1277750538684321794,"@kirstiealley Since #chinesevirus and #BLM , my go to is Xanax and Long Island Ice Tea",ShannonH121477
2020-06-29 23:47:04+00:00,1277750464855998464,"@ipima19 Dear @rajnathsingh Sir @adgpi plz tell this alien that how high our sentiments are. Seems we should #boycott and raise duties on all goods with #ChineseVirus origin.
@nsitharaman madam @DrSJaishankar 
Nation is with #BJP . We will tame #ChineseVirus and shd be prepared.",VikasGaurishank
2020-06-29 23:44:21+00:00,1277749777980162050,@BBCNews why don't u write #ChineseVirus even now and support UK by spreading #BoycottChineseProducts ? How dare china threatens UK? @BorisJohnson should setup alternative supply chain and #BoycottChina completely.,ssaratht
2020-06-29 23:36:34+00:00,1277747820745961472,@o_antagonista #ChineseVirus  cambada de verme !,fsmarques78
2020-06-29 23:35:06+00:00,1277747449801687042,"@Herbert_L_Reed @BarackObama Obama’s opinion means less than nothing, he can F himself
#ChineseVirus
#WuhanVirus
#ItalianPizza
#GermanCar
#MexicanFood
#AmericanMuscleCar",Here2Stay2018
2020-06-29 23:32:51+00:00,1277746884396883968,"This is not about COVID-19 aka #ChineseVirus;  #policereform  or removing “offensive” #statutes.  This is about activists org. like #ObamaFoundation, working in the background to topple our country.  #Obama is laughing behind his purple haze.  

#ObamaGate #TrumpPump2020✅",TheUnwanted46
2020-06-29 23:30:00+00:00,1277746168110424065,"@QBlueSkyQ @realDonaldTrump Release the Chinese bat virus, release the murder hornets, release the Chinese bat virus 2.0, now release the Chinese Swine Flu. #COVID19 #chinesevirus #SwineFlu #DemocratsAreDestroyingAmerica",Shenanigans42
2020-06-29 23:29:59+00:00,1277746162561355776,@AsYouNotWish #ChineseVirus,Deshbhakt987
2020-06-29 23:28:26+00:00,1277745774688944128,"@HuXijin_GT Only #ChineseVirus remains now, the most reliable product ever Made in China.",taitakum99
2020-06-29 23:25:42+00:00,1277745085770166272,"@globaltimesnews Ages to build, seconds to destroy. Chinese virus has brought focus on why CCP is dangerous/fatal for world. And how to stop next ChineseVirus.",chanderprakashy
