Datetime,Tweet Id,Text,Username
2021-07-30 23:58:44+00:00,1421258994019147776,@thehill I’m sure just a mere coincidence that when the illegal aliens crossing the Texas border are transported to Florida has nothing to do with this outbreak of the Wuhan virus,CurtisLReid
2021-07-30 23:58:05+00:00,1421258829405114369,"@larryelder As transmissible as chicken pox, no where near as deadly as the original Wuhan virus. Effort to gin up fear and panic is exclusively politically driven and is not based in science or data.",CoachJamesHalm
2021-07-30 23:57:24+00:00,1421258659049345027,"@larryelder As transmissible as chicken pox, no where near as deadly as the original Wuhan virus. Effort to gin up fear and panic is exclusively politically driven and is not based in science or data.",CoachJamesHalm
2021-07-30 23:56:33+00:00,1421258444993032207,@lilyval15187063 倒行逆施，连毛左也反了。,WuhanVirus_2019
2021-07-30 23:55:54+00:00,1421258281847336973,Remember when the Teachers refused to go to work last year because they were afraid of the Wuhan Chinese Virus? Then they went to volunteer to teach illegal immigrant children while the American People paid their salaries to sit at home because they were scared of the Wuhan Virus,FrancieGuida
2021-07-30 23:54:15+00:00,1421257864501370880,@suxinPL @stupidwz 最美中文，感动中国。,WuhanVirus_2019
2021-07-30 23:45:06+00:00,1421255564315799560,@Kiwi_CGFX @Harrowdown2018 @TappyPaws @binkscat1 @Jersey_Gulls @ketola_w @ChanceTyColeman That wasn’t him that was the China democrats Wuhanvirus,MrEagleEye2U
2021-07-30 23:27:11+00:00,1421251052553138178,#India must be ready 4 an armed conflict w/ #CCP fascist #China. #Xitler will divert🌐attention from his man-made-disaster killing thousands🇨🇳people/🇨🇳#WuhanVirus Delta Variant has already spread to 15 provinces &amp; 26 cities/investors lose $1 trillion in🇨🇳stock Mkt/no consumption.,SolomonYue
2021-07-30 23:24:21+00:00,1421250342105219076,@fuxianyi 大概率同宝生关系不大，风声鹤唳是修宪的必然结果。,WuhanVirus_2019
2021-07-30 23:02:47+00:00,1421244912259899397,policy making decision - if the Wuhan virus fatality rate  remains low - while the infection rate increases - is it necessary to return to the red alert precautionary levels,Me_LittleRaven
2021-07-30 22:50:01+00:00,1421241699091861504,"Twitter Allows Wuhan Virus Information to Circulate So Long As It Supports Panic and the Regime's Narrative 
 https://t.co/0P91i8pgUU",RedState
2021-07-30 22:39:51+00:00,1421239141199761410,@POTUS You want to slow the wuhan virus? How about closing the border Genius!,GregFenn9
2021-07-30 22:33:25+00:00,1421237522152271875,"Explain why “Havana Syndrome” is okay, but “Wuhan Virus” is racist?? @JudyWoodruff i saw your story tonight. As a cuban american im offended. Curious why you and fellow journos all of a sudden feel comfortable with this? Your hypocrisy is dripping... shameful",ToonseyTulip
2021-07-30 22:26:45+00:00,1421235846091476993,"…it Appears that Justin is more Concerned with the Wuhan Virus than Americans getting MURDERED…

?",Angeleno1955
2021-07-30 22:24:10+00:00,1421235195152273411,"It's Groundhog Day, Wuhan Virus Edition.",solo_pico
2021-07-30 22:19:31+00:00,1421234023993589764,"@SpecialReport they cant get the flu down to 95% immunization and your going to get the Wuhan virus to that level the CDC director is full of sh**.
And you wonder why we will not get the vaccine tell us the truth.",alanrybs
2021-07-30 22:15:54+00:00,1421233116321132547,the texas ag makes an arguement and proves the administration is neglecting thier duties on the border with those who have the wuhan virus. The arguement is so strong is that Texas wins the case and Maucho Merrick is humalated by some texas ranger marshalls,0SweetSolace0
2021-07-30 21:57:19+00:00,1421228439059718150,No bc covids fucking up my mental idk if my loss of appetite is from this wuhan virus or if it’s from my almost lifelong eating disorder,kekkurii
2021-07-30 21:55:38+00:00,1421228015212662785,"@irony_is_ded @gracelover712 @DavidMulldune Congratulations 🎉🎊🍾 Like I said you do you I’ll do me. But you can try strolling under a 5G tower see if it makes a difference. Keep us posted of any abnormalities, if you contract the very low lethal Wuhan virus, if you get a 3rd or 4th booster, If your privates shrink 🤷🏻‍♂️🤷🏻‍♂️🤷🏻‍♂️",2much_k_ozz
2021-07-30 21:32:47+00:00,1421222262892646409,"My body, my choice to take or not the Wuhan virus vaccine.",CarlosM81565466
2021-07-30 21:32:08+00:00,1421222100392628226,"#Chinesevirus #ChineseCoronaVirus #WuhanVirus 
Thanks to @zlj517 and his masters.. 
 https://t.co/8ke8nX05Sn via @MailOnline",typical_mallu
2021-07-30 21:31:27+00:00,1421221929076203523,"@KatMcKinley As transmissible as chicken pox, no where near as deadly as the original Wuhan virus. Effort to gin up fear and panic is exclusively politically driven and is not based in science or data.",CoachJamesHalm
2021-07-30 21:30:49+00:00,1421221768967036929,"@PJMedia_com As transmissible as chicken pox, no where near as deadly as the original Wuhan virus. Effort to gin up fear and panic is exclusively politically driven and is not based in science or data.",CoachJamesHalm
2021-07-30 21:22:57+00:00,1421219788790009857,"@BoycottHegemony @DonnaWallaceHK Parent: Because they don't use Chinese vaccines.
#Wuhan  #Virus #ChineseVaccinesDoesNotWork",bootaro12111
2021-07-30 21:14:30+00:00,1421217662114439170,"What face mask actually protects against the flu virus? What fade mask protects against the Wuhan virus? Why is ‘face covering’ an accepted face covering, are we trying to stop the spread or is this a fashion statement?",Brjen
2021-07-30 21:14:07+00:00,1421217568166227973,"@bendan250 #CCP spreads #WuhanVirus in #OlympicGames and wants the athletes to bring back those to their home countries. Concerning about the situation now in Tokyo could understand this.
What the regime talks would be about what it has done in Sep 2019.",GrandRevivalYay
2021-07-30 21:11:03+00:00,1421216794094735372,"So it's our fault that the Wuhan Virus is here, ok I see.",Slungblde
2021-07-30 21:10:08+00:00,1421216563999375363,"...Democrats are so Telling, out to Restaurants, Traveling, Taking their Wuhan Virus from Texas to DC, Masks for THEE &amp; NOT WE????",Angeleno1955
2021-07-30 21:07:35+00:00,1421215924363751424,"@BBCWorld Nice to see China taking measures promptly to contain the new virus locally, unlike the original Wuhan virus which was kept a secret for days until it spread to several other countries. Virus mutating to more contagious ones is the new reality. The world has to live with it.",LDas10514553
2021-07-30 21:06:27+00:00,1421215639289700355,Requiring vaccinated &amp; negative Wuhan virus tested people to wear mask shows just how absurd the world has become.,OdysseusBlue
2021-07-30 20:54:19+00:00,1421212583210721283,"China displayed a nightmare scene or something so when the world watched and it was scary. We overreacted as expected now China is selling us Covid tests, masks, ppe, ventilators and sanitizing equipment laughing their way to the bank. #wuhanvirus #remember #COVID19 #CovidVaccine",Anonydamus1
2021-07-30 20:41:43+00:00,1421209414946668547,"So AmyYou know we paid for the Wuhan virus to be engineered and now with the flow of illegals flooding over southern boarder. are the Democrats doing to stop , contain, or letting the virus thrive, because it’s the only way you have left to cheat against the total wave of TRUMP",Christo14373814
2021-07-30 20:37:01+00:00,1421208231926386691,@robert_spalding China is terrorising other country by debts and slowly consuming poor country because of their greed and wants to dominate the world. The world could have stop China from over powering. Don't forget the world is in crisis because of China's Wuhan virus.,Jellymilo1
2021-07-30 20:32:36+00:00,1421207118619709445,@George_Musico @tedcruz Masks do not stop the spread of the Wuhan virus just read the box.,jeffalancarlson
2021-07-30 20:31:02+00:00,1421206724141326337,@rancidray's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,rancidray
2021-07-30 20:15:33+00:00,1421202826890399744,"@marcthiessen @MZHemingway As transmissible as chicken pox, no where near as deadly as the original Wuhan virus. Effort to gin up fear and panic is exclusively politically driven and is not based in science or data.",CoachJamesHalm
2021-07-30 20:13:46+00:00,1421202377852416008,"@MattWalshBlog As transmissible as chicken pox, no where near as deadly as the original Wuhan virus. Effort to gin up fear and panic is exclusively politically driven and is not based in science or data.",CoachJamesHalm
2021-07-30 20:05:44+00:00,1421200356982157312,"What if the Wuhan Virus was supposed to be more potent and the #chinese crap quality didn't keep up with it? What if, it was supposed to herald a victory for #ccp on 100th anniversary? A plan that didn't work out? #justathought",harusha
2021-07-30 20:05:32+00:00,1421200305534894080,"The state of Texas needs to deploy security forces that
will screen all incoming passengers for the Covid 19/Wuhan virus.  Will China use this airfield to ""seed""
the U.S. with the pathogen?",BeischJohn
2021-07-30 20:05:24+00:00,1421200271628066820,"Chinese Wuhan Virus  ""Gained a Funtion"" to keep on giving!",lucindalorenz
2021-07-30 20:02:29+00:00,1421199541617913861,"Today, few dare ask the basic question of how health officials determined we had a ""novel"" coronavirus so quickly, or how the flawed PCR test was declared a valid test. ALL official claims made about the Wuhan virus are false... 
/Hard Science Majors, pay attention.",LonewolfObregon
2021-07-30 19:58:37+00:00,1421198564781400069,@NOS Deze vrouw is echt vreselijk dom. Wuhan virus spreader ontkent deze domme vrouw terwijl het degendeel allang bewezen is. Huwan produceert een virus en anti stoffen. Typisch Chinese economische handel. @NLinChina,henkr80rt
