Datetime,Tweet Id,Text,Username
2021-06-29 23:47:47+00:00,1410022214846484487,@RSBNetwork @Halfdaybird well it's called wuhan virus,Abandonvows
2021-06-29 23:33:46+00:00,1410018685528457220,"@Shoq @AdjectiveNoun11 @Jim_Jordan Truth,  like the Wuhan virus came from a bat, oh yeah the debunked truth.",baseball_sammy
2021-06-29 23:24:46+00:00,1410016423024398343,The #WuhanVirus is merely a faint background hum in #NOLA these days except for vaccine promos with pizza. Attention shifts to the gulf for several months. https://t.co/9mhVz7C58B,InfinityHealth8
2021-06-29 23:07:27+00:00,1410012065977143296,@RHaccart But they said it's because of the grave threat of #WuhanVirus!,hkkbfighter
2021-06-29 22:35:32+00:00,1410004033369149443,@NBCNightlyNews @LesterHoltNBC YOU AND @DrFaucci R FULL OF IT WHEN IT COMES TO MASKS &amp; CHINESE WUHAN VIRUS! @NBCConnecticut @NBCPolitics @NBCNewYork RT,TonyBeletsky
2021-06-29 22:28:19+00:00,1410002214756704256,An Australian scientist who was the only foreigner at the Wuhan virus lab says she never got COVID-19 and doesn't believe the center leaked it https://t.co/NMbeMLvSTb,cale_todd
2021-06-29 22:16:53+00:00,1409999337589936140,"@WHO @DrTedros 
Have approved Sinopharm but not Covaxin for emergency approval wrt Wuhan virus &amp; the world has seen its obnoxious effects.What a bigotry!
You are playing wth human lives. Hell is waiting for you. You have lost the trust forever
@amnestyusa @POTUS @KamalaHarris",theconformist5
2021-06-29 22:15:11+00:00,1409998911293456384,According to reports Hunter Biden as well as career quack Fauci both caught funding the Wuhan virus. Two human failures. Lets see how the dumocrats spin this one.,glennypoos
2021-06-29 22:03:15+00:00,1409995907957940230,On the same day there are senate hearings on Wuhan virus. 😂😂😂😂 shitto getting fuller!!,danichel60
2021-06-29 21:50:06+00:00,1409992597041516554,An Australian scientist who was the only foreigner at the Wuhan virus lab says she never got COVID-19 and doesn't believe the center leaked it https://t.co/5rU6aT8yoM,NningenSixtus3
2021-06-29 21:49:13+00:00,1409992377343770625,Evil CCP spread Wuhan virus to the world. All nations affected by WH virus should demand repatriation!,HodYin
2021-06-29 21:41:49+00:00,1409990512669495297,"NO DEMOCRATS
NO FAUCI
AT HOUSE COMMITTEE INVESTIGATION INTO ORIGIN OF WUHAN VIRUS.
DEMOCRATS &amp; FAUCI REFUSED TO ATTEND.
600,000 AMERICANS DIED FROM THIS CCP INVASION OF OUR REPUBLIC.
DEMOCRAT GOVERNORS KILLED THOUSANDS OF OUR FELLOW CITIZENS.
CCP &amp; DEMOCRAT GOVERNORS MUST BE HELD",beatfsu
2021-06-29 21:35:39+00:00,1409988962735755271,How happy is @Channel9 @Channel7 @abcnews and @Channel10AU to ramp up the Fear Mongering because One (1) person out of 25 million is in ICU. They are loving their spin on everything they can. They don't report their have been more suicides than #WuhanVirus deaths.,marlow_watching
2021-06-29 21:34:31+00:00,1409988677648863234,"#Australian virologist #Anderson told #Bloomberg that she had worked in the field at the #Wuhan virus Research Institute before the outbreak was reported in #China. She said no researchers were ""sick"" and there was no evidence of ""functional enhancement experiments"".",xieqingan111
2021-06-29 21:30:08+00:00,1409987575356424196,"@AB_00_00 @danielb_15 Not. They are variants of the Wuhan virus. Not cooked up. Sole rationale of a virus is to survive. This is why they mutate, simply to avoid being killed off.",MaggieMacphers6
2021-06-29 21:24:06+00:00,1409986057186136066,"@jack62355518 @MR_Ainlam @TheAFCCL @frontale_staff like saying wuhan virus is discriminating while Japanese encephalitis is ok or Middle East Respiratory Syndrome Coronavirus....but again understandable as CCP won't face their own history (i.e. 8964）. you can own glorify them, not criticize.",gunners_ak
2021-06-29 21:19:13+00:00,1409984827626037252,@Rz88Tom Absolutely!! The MSM counted and posted every soldier’s death when Bush sent troops after 911;posted and counted every Wuhan virus death &amp; put it on Trump…Biden the Squad and every Dem should take responsibility!,NewaiGreen
2021-06-29 21:13:57+00:00,1409983500359327749,"@maybe60794885 With this in mind, are we closer to vax related injuries/ deaths than the Wuhan virus directly killing people? Have been out of the loop for a couple weeks. Seems that is the direction we are headed though...",monkers82
2021-06-29 21:03:01+00:00,1409980750208716801,#武漢肺炎 日本国内最新情報 #新型コロナウイルス  #WuhanVirus  #CoronaVirus  https://t.co/yQD2Jm02Xm,MadnessDarknes1
2021-06-29 20:52:15+00:00,1409978039270789123,@wane15 Bologna! Let the children have their freedom! People are acting like the Wuhan Virus is the equivalent of mustard gas in the trenches on the Western Front!,pontiac_brian
2021-06-29 20:44:25+00:00,1409976067398455297,@RF_HFC Kinderen hebben meer last van een gewone griep dan van het Wuhan virus. Tegen gewone griep werden ze nooit gevaccineerd....,WillemWest2
2021-06-29 20:43:59+00:00,1409975961060352005,@BreitbartNews *Wuhan virus 🦠 still causing problems 🚨 https://t.co/DymwFNw8cd,O_oSMASHo_O
2021-06-29 20:27:56+00:00,1409971921152737281,@MarmaladeMax So it's okay to call it the Wuhan Virus now?,ctrak93
2021-06-29 20:27:05+00:00,1409971707918516225,@GoJiangsu Give access to Wuhan Lab to find origin of #Wuhanvirus and also to  illegal wet markets...,Divublr
2021-06-29 20:10:21+00:00,1409967494916419586,A witness told the committee today that an American virologist was intimidated by China to not investigate origins of the Wuhan virus.,BarillasMartin
2021-06-29 20:09:36+00:00,1409967308446081025,#CCPVirus #VirusPCCh #chinaliedpeopledied #Chinazi #WuhanVirus #WuhanLab #WuhanLabLeak #AnthonyFauci #LiWenliang #DerrickRossi,CALP1112
2021-06-29 20:01:54+00:00,1409965367858974732,"@lizyeld I can't see the Wuhan virus coming from nature, not even from an unregulated Chinese wet market, which are   a health hazard in themselves.

Guess if it did not come from nature it was manufactured. 

No third way.",taywil64
2021-06-29 19:54:27+00:00,1409963492745039873,@BryanSm08677704 @USATODAY You mean like not knowing the long term effects of the Wuhan virus??,triracr1
2021-06-29 19:51:31+00:00,1409962757466755077,"An Australian scientist who was the only foreigner left at the Wuhan virus lab says she never got COVID-19 and doesn't believe the center leaked it https://t.co/JkWzBluDrG
@alfredanchor",alfredanchor
2021-06-29 19:48:48+00:00,1409962071844745217,"@zlj517 orai neechamaina dharidhruda.  Mee #China gaallantha inthenantra. Mushti L kodakallara. Yem manushulu ra meerantha. Aah #XiJinping gaadokadu. Thu mee bathukulu cheda. 

#COVID19 #WuhanVirus #ChinaVirus #coronavirus @StringReveals @palkisu
#Telugu

https://t.co/KJiPgLXuf6",cchaapR
2021-06-29 19:27:09+00:00,1409956623699693580,@Nikk1066 @lizzywol You are not supposed to name something based on where it came from that's racist. China Virus Wuhan Virus etc.,BlazeBrandMan
2021-06-29 19:07:35+00:00,1409951698882232320,"@globaltimesnews The only thing ""shifty and cowardly"" is the #CCPLiedPeopleDied not coming clean about the origin of the Wuhan virus.",TomJona42504025
2021-06-29 18:47:23+00:00,1409946615029325827,What would you do if you found out Democrats worked with China on the Wuhan virus attack?,mmurphy1234_m
2021-06-29 18:43:40+00:00,1409945679540129794,America in crisis. Dems are using social unrest and the Wuhan virus to destroy the American economy. All to turn America into a socialist hell hole. Socialism is just communism under a different name. It never works. Why? Because of human greed. Dems are greedy bastards. Just,mmurphy1234_m
2021-06-29 18:37:50+00:00,1409944212712398852,@rtenews He called it the Wuhan virus. China will issue a stinging rebuke shortly.,Japan_isNumber1
2021-06-29 18:16:45+00:00,1409938907941281792,"@Army8488 Blame the Wuhan Virus for some of it, and pay to stay home plan from the government, and the last 6 Months on the President Joe Biden and The Democrat Party.",LgRedTailedHawk
2021-06-29 18:16:35+00:00,1409938864865746957,"Q: Deep State panicking 
Border crisis
men in women's sports and locker rooms
Sports ""leaders"" disrespecting USA
Wuhan Virus
Fake pandemic
Lock-down
Masks
Therapeutic censorship
Vaccine
US Pipeline closed, Russian open
China cash
Ballot Fraud
Sex Trafficking
Defund police
Riots https://t.co/Sp24S7kQmY",galt_wi
2021-06-29 18:12:25+00:00,1409937815140458506,An Australian scientist who was the only foreigner at the Wuhan virus lab says she never got COVID-19 and doesn't believe the center leaked it https://t.co/rOOxCLqGE5,compro_tax
2021-06-29 18:10:26+00:00,1409937318216192000,"Very interesting US select committee questioning regarding the Wuhan virus release and the knock on effects and how it's been covered up right from the beginning.

https://t.co/GxE79JjKNl",Davidakky71
2021-06-29 17:59:24+00:00,1409934542425690113,"Advierten que la variante Delta ""es 120% más contagiosa que el virus inicial de Wuhan""
#Virus #Coronavirus #Delta #Wuhan #Variante 

https://t.co/5BKzKf2kUK",PoliticaChubut
2021-06-29 17:54:29+00:00,1409933305504579589,"LIVE: House Select Committee - Led by Science: The COVID-19 Origin Story... https://t.co/LONCyn1bcu via @YouTube
Really good hearing on the Origins of the Wuhan virus",BarbaraMatheney
2021-06-29 17:29:25+00:00,1409926993215373312,House Republicans are holding a hearing about the Wuhan Virus....ZERO Democrat House Commucxnts are Present. Seeing the Big Picture yet?🤬,TooleGabriel
2021-06-29 17:24:53+00:00,1409925853572648960,China screwed the world by hiding what it knew about the #Wuhanvirus in late 2019. The #ccp mafia Shoukd be punished. Good for Australia for pushing on those gangsters #wuhanlab $BTU https://t.co/DQvQ4izcjA,resourcebull
2021-06-29 17:17:25+00:00,1409923975254200321,"The Whole World Knows China Created the Wuhan Virus that escaped. China Controlled the Escape to the West. Fauci is Bl*wing China to cover his A*s

Another Chinese Development borrowed by Democrats...
Plausible Deniability...

#tuesdayvibe #tuesdaymotivations #AmericaFirst #MAGA",dw4u2u
2021-06-29 17:08:31+00:00,1409921736489979904,@JustinTrudeau Mofo child molesting photo promoting some more wuhan virus in a bottle bs 😂😂 Vaccines are killing more than what covid was,BrandoCommand85
2021-06-29 17:06:21+00:00,1409921190479679493,"@LizWillis_ Of course he did.  It is obvious than China is responsible responsible for Wuhan Virus.  

However, so is Fauci and Democrats.  Democrats were were politically thankful for the Pandemic to use aginst former president.   Democrats stated that.  

There needs to be consequences",UsaBorninthe
2021-06-29 16:46:27+00:00,1409916183709691905,An Australian scientist who was the only foreigner at the Wuhan virus lab says she never got COVID-19 and doesn't believe the center leaked it https://t.co/6VtclH6vPg,RoxxsFisher
2021-06-29 16:42:44+00:00,1409915246995808259,"@hospital_porter @DerNarkotiseur @chetrepiw @Hadeur @noitareti32 Wuhan, Virus , Fledermaus.",MonaLis88125391
2021-06-29 16:36:56+00:00,1409913788975915015,"@GautamGambhir continues his yeoman service, now as a responsible &amp; approachable #MP at #Delhi.
Truly worthy of being emulated, especially in these tuff times due to #WuhanVirus.",CdrPawanSanan
2021-06-29 16:36:03+00:00,1409913566069760007,"@Andreas67934370 @FlugschuleE Dabei meinte ich die englischen, südafrikanischen etc. Mutanten. Welche harmlosen SARS-CoV-2-Varianten? Ich kenne keine. Alles was sich aus dem Wuhan-Virus entwickelt hat ist nicht harmlos. 

Meist harmlos sind die früheren Varianten, die wir schon seit Jahrzehnten kennen.",Propagandamini5
2021-06-29 16:35:51+00:00,1409913514706100227,"@keralaCastro Wuhan virus, wuhan virus and Wuhan virus 😏",DuttonRacist
2021-06-29 16:32:28+00:00,1409912662868344835,"@globaltimesnews #WuhanLabLeak 
#WuhanLab 
#wuhanpneumonia 
#WuhanVirus",suhaasch12
2021-06-29 16:25:43+00:00,1409910964493819910,@robert_spalding They are capitalizing on the economic crisis due to Wuhan virus outbreak to infiltrate other countries.,IamH0ngK0nger
2021-06-29 16:09:57+00:00,1409906996397150209,@globaltimesnews what a ugly stage. look like wuhan virus on the roof.,dongado25219158
2021-06-29 16:03:17+00:00,1409905318717366275,@globaltimesnews Eat these before anyone else can #wuhanvirus,realindian77
2021-06-29 15:40:37+00:00,1409899615613186049,@indiatoday - it is not Delta Virus it is the #WuhanVirus and Delta variant. Atleast get your narrates to say things correctly @rahulkanwal @sardesairajdeep @aroonpurie,SuketuK
2021-06-29 15:26:54+00:00,1409896160945266689,@IndoPac_Info Take care china use biological weapon such Wuhan Virus china is research it,Tiger12207714
2021-06-29 15:24:15+00:00,1409895497012183043,"#ChinaExposed  🇨🇳 busy brainwashing d world that 🇮🇳 is responsible for spreading #wuhanvirus
Reply to d last sentence in d video. 
 
Worldwide infections n deaths are linked to d #wuhanLab #Corona version of d virus 1st synthesized in neighbouring country #China 🇨🇳 #GalwanClash",Yogi_Tweet
2021-06-29 15:18:41+00:00,1409894093044404227,"@SCMPNews #ChinaExposed  🇨🇳 busy brainwashing the world that 🇮🇳 is responsible for spreading #wuhanvirus
Reply to the last line in the video. 👊
 
Worldwide infections and deaths are linked to the #wuhanLab #Corona version of the virus first synthesized in neighbouring country #China 🇨🇳",Yogi_Tweet
2021-06-29 15:06:20+00:00,1409890988923965440,@subodh1945 @rexrao52 WION is better of the lot - especially Gravitas and Palki. I like her calling it #WuhanVirus long before lab theory was finally revived despite best efforts of WHO and Dr Fauci,NewsJ1964
2021-06-29 14:57:08+00:00,1409888673135480839,An Australian scientist who was the only foreigner at the Wuhan virus lab says she never got COVID-19 and doesn't believe the center leaked it  https://t.co/jnxJyeZPiO,tomy2875
2021-06-29 14:40:47+00:00,1409884555465658378,"Democrats refuse to hold hearings on the origins of Covid 19, (the Wuhan Virus), but @SpeakerPelosi is still working on 01/06/2021 hearings even after their proposed ""Commission"" was voted down. Whose side r the Democrats on? The CCP's China or the American people?",mdveritas
2021-06-29 14:35:32+00:00,1409883235539165197,"Greed for world dominance was the sole purpose for developing Wuhan Virus &amp; murdering 5,000,000 innocent people

Stupid American politicians &amp; greedy Wall Street have created this Dragon from nothing. 
I have seen China from 0 to 100

World should unite to stop this evil regime https://t.co/vTTGZ3CSp1",DesertBloom1
2021-06-29 14:18:03+00:00,1409878837719150596,"@SpokespersonCHN END CCP WILL END : WUHAN VIRUS, FREE FOR HONG KONG - TAY TANG - TAN CUONG, THE WORLD WILL BE BETTER... NOW, CCP IS ONLY A TERRORIST",Tung08119708
2021-06-29 14:07:20+00:00,1409876137438756871,"@CitizenCohn @ChineseEmbinUS Hive Minds hello @SecBecerra @SecretaryPete @SecMayorkas 

@AGBecerra @AGRobBonta @RepSwalwell @AdamSchiff #Wuhanvirus @zlj517 #WuhanLab 

https://t.co/WBIhZYJ5UD https://t.co/66YArKo0iy",steven_mensh
2021-06-29 13:47:21+00:00,1409871108661260296,@visit_wuhan virus city,antony08447600
2021-06-29 13:42:27+00:00,1409869878908096522,@Krisyourgoals @spikedthenukes I guess you haven't seen your near and dear ones suffering from that #WuhanVirus,malaythecool
2021-06-29 13:40:22+00:00,1409869353588252677,Hello ILOveILOve #ILOILO we have prepared a lot of perks for you. Let us help end this wuhan virus pandemic. https://t.co/o92OjfCQ3u,francis_pe
2021-06-29 13:26:36+00:00,1409865889890017283,"@Respond2Racism MERS- Middle East respiratory syndrome
EBOLA- A river in central africa.

They all were named after location, even they were not man made. 
#ChineseVirus 
#WuhanVirus",AdvaitBharat
