Datetime,Tweet Id,Text,Username
2020-04-29 23:49:34+00:00,1255645433499734016,#chineseVirus originated in Wuhan lab.,SoniaTulpar
2020-04-29 23:47:38+00:00,1255644946243055617,"Despite widespread economic hardship, most Americans not ready to reopen, poll says | PBS NewsHour BULLSHIT! #freeamerica #ChineseVirus  https://t.co/7KVgmPngVF",calfit32
2020-04-29 23:37:01+00:00,1255642271975788544,"#武漢肺炎 #ChineseVirus 
中國人搞的生化危機，
繞了一圈還是砸在自己頭上。",yangweilin
2020-04-29 23:34:52+00:00,1255641734610067456,@SEANtana_Moss #Boston #MayorWalsh #ChineseVirus https://t.co/l5FJpnQ6hp,TheGreatOne2012
2020-04-29 23:22:45+00:00,1255638684474454016,"Are the #democRATS/#liberals #MSM #FakeNews going to apologize to @POTUS @realDonaldTrump for blaming him for this man's death??
#DemocratsAreDespicable #walkaway #chineseVirus #arizona #Hydroxychloroquine https://t.co/XZYqe2tDyc",miksu2006
2020-04-29 23:19:32+00:00,1255637874143309833,@1maggiewinter Hope to hell this is not any hospital in Britain. Absolute insult to relatives of those that have died from this #ChineseVirus,roddytherobot
2020-04-29 23:07:56+00:00,1255634953745788929,"@landguard2 @YossiMoto @az66668888 #武漢肺炎 は #中国のせい #中国人帰れ
#ChinaLiedAndPeopleDied  #FuckingChina
#China_is_terrorist #chinazi
#ChinaMustPay #chinamurderingtheworld
#中國病毒 #中共ウイルス
#ChineseVirus #ChinaVirus #WuhanVirus https://t.co/Q8DSA3bqNI",honmono_mat
2020-04-29 23:01:04+00:00,1255633226820997123,"@NCDCgov Glad to say that 997,178 people had recovered globally as at this day, hopefully these other people will recover as well. We shall pull through. Our prayers are with them. #ChineseVirus",manwithavision0
2020-04-29 22:58:49+00:00,1255632661277745152,"@Danny4denise @DebraMMason1 @Distinct_Words @Krissypissy_35 There is NEVER gonna be a vaccine for the #ChineseVirus get on with life or hide in #Fear 

I choose life over fear... #OPENAMERICANOW is only gonna help him get re-elected... as the economy is restored.",acodemonkey
2020-04-29 22:54:44+00:00,1255631634809921536,"The #ChineseVirus is proof positive, that we MUST be #AmericaStrong and #AmericaFirst, because we cannot TRUST anyone. (Even DemocRats)",DewaltRoger
2020-04-29 22:54:17+00:00,1255631520779440131,"Hey, @CNN @MSNBC @ABC @abcnews @CBS @CBSNews @NBCNews @nytimes @washingtonpost Are any of you planning on covering this news?

Media Ignores Cuomo Putting Coronavirus Patients In Nursing Homes #NewYork #Coronavirus #COVID19 #COVIDIOTS #WuFlu  #ChineseVirus https://t.co/NVb2g1Xxt5",ZeroWarningShot
2020-04-29 22:52:37+00:00,1255631102485704707,My heart goes out to the families of the veterans who were put into a position to contract the Chinesevirus in what was suppose to be a secure VETERANS HOME. How callous can people be when people test positive not to do everything possible to quarenteen them and secure  healthy. https://t.co/6CJeFniG5n,pnjkrull
2020-04-29 22:50:52+00:00,1255630660116656136,"@mbachelet UN High Commissioner for Human Rights is as fake as the do nothing organism that she represents. 
Take a hike
#coronavirus #COVID19 #CoronavirusChile #ChineseVirus #ChinaVirus #Pineravirus https://t.co/5XZ8AAlnIg",Esteban77141927
2020-04-29 22:48:28+00:00,1255630057890078726,"The 2020 American Revolution.
#ChineseVirus #BillGatesofHell #QuarantineLife https://t.co/yxyITXaKk5",Julie22319872
2020-04-29 22:43:22+00:00,1255628772931325952,"35.4度〜
腹へった
嗅覚は大丈夫

#武漢ウイルス #武漢肺炎 #武汉肺炎 #chinesevirus #corona #コロナ #感染症予防 #検温 #体温 #愛知県 #低体温 #安倍辞めろ #安倍がんばれ #責任は習にあり #抗体検査してほしい https://t.co/vPruJR22Y2",FCRhGvK1pIgU744
2020-04-29 22:40:13+00:00,1255627981046702080,"アビガンでなくRemdesvir(レムデシビル)という薬がアメリカで緊急承認される見込みとのCNN報道。
特効薬ではなく、治癒改善に効果があるとの治験結果。
少し明かりが見えてきたかな。
#コロナ #武漢肺炎 #ChineseVirus https://t.co/6lgYKCXbE7",jetyaroh
2020-04-29 22:33:58+00:00,1255626405951541249,"China Played Dirty Here By Sending Faulty Kits to India which Will Give Us Wrong Results and This Move Comes When India is Trying to Have a Upper Hand over #Covid19India.
China Doesn't Gives Shit About Anyone Else so Please Be Aware.
#ChinaLiedPeopleDied #ChineseVirus",AKSHAYYADAV131
2020-04-29 22:28:09+00:00,1255624943989129216,@BreitbartNews @realDonaldTrump He is right the WHO has failed badly with the #ChineseVirus,sean_antrim
2020-04-29 22:27:42+00:00,1255624828867862528,".@andrewcuomo @BilldeBlasio and NY Democrats allowed the homeless problem to get out of control, now they’re being exposed. California Democrats have ruined our state too. #chinesevirus",JLPtalk
2020-04-29 22:24:31+00:00,1255624029815345159,"@jaketapper BREAKING NEWS!

MAN ROLLED OVER BY STEAMROLLER DIES OF THE #CHINESEVIRUS https://t.co/VoKcHC480o",RaymondMiley2
2020-04-29 22:24:13+00:00,1255623952904474626,#ChineseVirus,Gopalkrishnatr6
2020-04-29 22:23:17+00:00,1255623718015033344,"@charliekirk11 #JustIn: paganism desperation, jealous o.f. freedom, free-minds. #ChineseVirus #coranovirus #COVID19 #Covid_19 paranoia spreaders will 'say anything can spread/catch it; animals in zoos-if they were free in the wild, wouldn't""happen"", this Summer it will be mosquitos and flies.🇺🇸",OLEWTV
2020-04-29 22:19:20+00:00,1255622722689753089,NO NO NO @dougducey ! I haven't stayed home and I won't now!! Especially since now we know you are making money off this #ChineseVirus. Please @BishopOlmsted do not take Ducey's lead. #OpenOurChurches,redwildcat
2020-04-29 22:19:09+00:00,1255622677391343616,"×ChineseThreat×
US,UK nd Australia have Demanded an Independent and Impartial Inquiry of Origin and Spread of #ChineseVirus.
China have made threat of Economic Coercion But They forgetting that Australia is A Crucial Supplier to China
#Australia #COVIDー19
https://t.co/Hi5TRnGoL9",AKSHAYYADAV131
2020-04-29 22:19:05+00:00,1255622660878471172,"@10DowningStreet hope @GOVUK  checks temperature for all at ports &amp; even makes mandatory test report of #ChineseVirus  at immigration, inline with TB tests please.",Raky_35
2020-04-29 22:13:06+00:00,1255621154460459008,#JayInslee wants to keep people in their homes indefinitely. Even after this #ChineseVirus is over. He is using this opportunity to seize complete control and power over people.,DevinDeCremer
2020-04-29 22:11:49+00:00,1255620834237968384,.@dougducey is mourning the 304 Arizona #ChineseVirus deaths as he should. No mention of the hundreds and hundreds of deaths at Planned Parenthood he allowed to stay open the last 40 days.,redwildcat
2020-04-29 22:09:42+00:00,1255620299225096192,"#Plandemic 
#Chinesevirus 
#CCPVirus https://t.co/1u8v5pwjzo",Anonymo21321693
2020-04-29 22:08:17+00:00,1255619941912346624,@Trumper2020 @9thFloorAZ @dougducey @AZDHS @drcarachrist @AZNationalGuard It is hot at jobsites. 🌞 It's killing #ChineseVirus.,redwildcat
2020-04-29 22:04:16+00:00,1255618934486659073,"#QAnon 
#WWG1WGA 
#WakeUpAmerica 
#TheGreatAwakening 
#Plandemic 
#Chinesevirus 
#CCPvirus https://t.co/mjCZUJYr6V",Anonymo21321693
2020-04-29 22:00:52+00:00,1255618075086532609,"Coronavirus inclusión: Kicillof con intendentes de Juntos por el Cambio
https://t.co/wyZBnFNkx6

#Argentina #Economia #COVID19 #URGENTE #ULTIMAHORA #TrumpGenocide #London #ChinaVirus #ChinaLiedPeopleDied #ChineseVirus #UnidasPodemosConTodos https://t.co/d0Ktsll52g",SustentarGlobal
2020-04-29 22:00:25+00:00,1255617964646301697,"Coronavirus Bolsonaro: Brasil registra la mayor cantidad de muertos en un día
https://t.co/1xt9uwFENP

#Argentina #Economia #COVID19 #URGENTE #ULTIMAHORA #TrumpGenocide #London #ChinaVirus #ChinaLiedPeopleDied #ChineseVirus #UnidasPodemosConTodos https://t.co/okVFBgM5C9",SustentarGlobal
2020-04-29 22:00:24+00:00,1255617958975467521,@ABC 0.15% of known infected by the ChineseVirus have died. That’s the number the “Experts” should be talking about! But let’s keep the scary narrative going...it’s about CONTROL,oldcdfchief
