Datetime,Tweet Id,Text,Username
2020-01-30 23:44:19+00:00,1223029201483239424,https://t.co/IuPs2yDMIK #ChineseNewYear #ChineseNewYear2020 #Chinese #chinesevirus #chinesesupport #chineselove #chinesefood #chinesenewyearxtaynew #chineselandgrabber #chinesegirls #chinesemarriedcouple #ChineseLunarNewYear #chineseforlabour #chinesegirl #chinesefilm #Chinese,mscyberkittysc
2020-01-30 22:58:17+00:00,1223017619642617856,@LBC off to my local chinese  just our daily outfits ! #chinesevirus https://t.co/X3efkcBlm5,mr12Group
2020-01-30 21:31:05+00:00,1222995672397484037,#GetOut #CoronavirusOutbreak #coronarvirus #WuhanCoronavirus #WuhanFlu #chinesevirus https://t.co/zsCpUki2mZ,PapaNyoni
2020-01-30 20:57:10+00:00,1222987138133889024,"11 fact you should know about coronavirus and how to protect yourself ! #coronavirus #CoronavirusOutbreak #chinesevirus 

Show More :https://t.co/yL63zKUazs",houssam_007
2020-01-30 20:45:07+00:00,1222984105685606401,"How fast is the #WuhanVirus spreading? An #Infographic...

#InfectiousDisease #InfectiousDiseases #Coronavirus #WuhanCoronavirus #ChinaCoronavirus #ChinaVirus #Virus #Epidemic #Pandemic #ChineseVirus #Epidemiology #CoronavirusOutbreak https://t.co/ZEAtf2E2QO",Joseph_Santoro
2020-01-30 20:30:36+00:00,1222980454191706128,"I wanna feel sorry right now for the chinese on this #Chinesevirus issue,b ut  alot of them are racist, matter of fact a lot of Asian countries are!",JWEZEE
2020-01-30 20:21:51+00:00,1222978251150237697,L'@OMS déclare l'épidémie de #Coronavirus une urgence de santé publique de portée internationale. Plusieurs compagnies aériennes ont annulées leurs vols vers la chinés jusqu'à nouvel ordre. #coronavirus #chinesevirus #VirusCorona #coronarovirus #epidemiacoronavirus https://t.co/aX47PhSp8K,ArmandKONAN9
2020-01-30 19:58:22+00:00,1222972340406931458,#ChineseNewYear #ChinaCoronaVirus #coronavirus #chinesevirus https://t.co/AVa6zpfa8B,UNTITLED__HQ
2020-01-30 18:34:25+00:00,1222951213043310592,Here's how Chinese residents are entertaining themselves while on lockdown #coronavirusindia #PrecaucionVial  #chinesevirus @ChinaDaily #FridayThoughts  https://t.co/l5NvniwDLQ,SharmaShailley
2020-01-30 18:30:02+00:00,1222950113242505219,"What are you more concerned about - flu or coronavirus?

#flu #coronavisus #flueseason #innoculations #vaccines #Chinesevirus #traveladvisory #surgicalmasks #uselessmasks 

https://t.co/pbYB0BYhRd https://t.co/kYzJtAMMo1",1055TheDove
2020-01-30 18:11:00+00:00,1222945320293797892,#coronavirus : une crise de #désinformation sans précédent #chinesevirus https://t.co/s9ZSx38Xty,catgau
2020-01-30 15:59:04+00:00,1222912119709958144,"What's next? This is the embodiment of Chinese Virus. #coronavirus #nCoV #chinesevirus 

https://t.co/iKIYxUSx85",CurmudgeonPinoy
2020-01-30 12:43:26+00:00,1222862885199785985,"By the way, I literally could only watch a few seconds of the video - enough to see live dogs in cages next to a dead dog lying on top of a cage. That was enough for me. #chinesevirus #ChineseNewYear make this the year they stop eating dogs, cats, koala, BATS, mice, etc etc etc",KellyFalk2
2020-01-30 12:20:35+00:00,1222857137312993281,@MochaUson I am not a critic of this admin. Pero bakit parang takot ata tayo sa Chinese kesa virus? Public health / safety is at stake. Our doors should be offlimit from possible virus carriers. #chinesevirus,jpsharief
2020-01-30 12:11:09+00:00,1222854760388349953,"Business Activities Shutting Down In China Because of Coronavirus

#coronavirus #chinesevirus #China #coronarvirus #chinaoutbreak #CoronaOutbreak 

https://t.co/zLrnq33OCN",nationbytes
