Datetime,Tweet Id,Text,Username
2020-07-30 23:54:56+00:00,1288986468124258304,@chrisbergpov @DrNealHouston @BarackObama No need to overthink this. Just wait and see  how #ChineseVirus spreads.,Joemora63617406
2020-07-30 23:47:51+00:00,1288984684945317889,"Travelling with shit MC BC #Chinesevirus 

@zlj517 fuck you bastard ! https://t.co/ixXtmmlOYk",imra_mra
2020-07-30 23:39:40+00:00,1288982625764413441,@infant_man @realDonaldTrump It's a matter of time before Phil gets his head out of his ass and realizes it's the Chinese Virus. 😂 #ChineseVirus,badassbarry
2020-07-30 23:33:37+00:00,1288981103676514304,@globaltimesnews Conflict was already started by u. Ur #ChineseVirus is a gift to humanity and now b prepared to repent for ur deeds &amp; misadventures to destroy the peaceful world economy. Dear @POTUS @KremlinRussia_E @10DowningStreet @MOFA_Taiwan @narendramodi @AusAirForce justice need to served.,VikasGaurishank
2020-07-30 23:29:44+00:00,1288980123656495104,https://t.co/d433pBZBN0 #Covid_19 #DisiplinKunciNewNormal #NewNormalIndonesia #coronavirus #ChineseVirus #beritaminangcom #beritaminang,beritaminangcom
2020-07-30 23:27:41+00:00,1288979610877730819,"That is indian kashmir fools, correct your Chinesevirus mind.. and yess just Free Tibet, Taiwan 🇹🇼 and Honkong &amp; stop spreading #ChineseVirus to the world",vinaytheones
2020-07-30 23:25:43+00:00,1288979112040620032,@ANI @_REDDYPONDUGULA Corect #ChineseVirus @realDonaldTrump,Saran_99999
2020-07-30 23:24:12+00:00,1288978731579531265,@globaltimesnews #ChinaVsWorld has to happen for world peace. #China have inflicted &amp;damaged the harmonious #world community by #chinesevirus. If no action is taken by @POTUS @10DowningStreet @KremlinRussia_E @narendramodi @japan  @AusAirForce @GermanyDiplo @NATO world will face more challenges.,VikasGaurishank
2020-07-30 23:23:58+00:00,1288978672062361600,"@roseliu64212002 @chenweihua Ugly barking.
Chinesevirus spotted.",HHoa6134
2020-07-30 23:23:01+00:00,1288978435520507908,"G O  G E T’ E M  M R  P R E S I D E N T

If you believe the ChineseVirus in an election year right after three (3) failed Coup attempts concocted by Radical Socialist Democrats against President Trump is a coincidence...

You may want to check in to your nearest Hat Factory. https://t.co/r2TeluvONo",JeffSimmons6
2020-07-30 23:09:32+00:00,1288975041644900355,"Attn MSM...Of course the deaths from Covid19 were preventable. Even the death of Herman Cain. How 'bout if we'd blown the CCP CHINA off the face of the Earth, THAT would've PREVENTED the DEATHS from #ChineseVirus? Let's do it NOW! They've MURDERED our Citizens. I'm done playing.",CommodusJTrump
2020-07-30 23:03:15+00:00,1288973459519877122,The corrupt DC elite love communist China and are working with them to try to take @realDonaldTrump out. Get out and vote! #DemocratsTheEnemyWithin #ChineseVirus #Vote #Election2020,GlockfordFiles
2020-07-30 23:02:57+00:00,1288973383732989952,@TheBabylonBee What would happen if ALL first responders decided... yeah I’m not treating #ChineseVirus ...,CatchingRedWave
2020-07-30 23:02:29+00:00,1288973268993490944,@oppomobileindia This is a Chinese company and we are no longer interested in China. #BoycottChineseProduct #ChineseVirus,RangitTeesta
2020-07-30 22:58:35+00:00,1288972287039934464,"Did they finally bury - him? Or, are they still holding a Democrat rally around his casket? That was a #ChineseVirus death, right? Hell, it always is.",riptalkinsports
2020-07-30 22:47:51+00:00,1288969583265820675,@realDonaldTrump Together we will defeat the #ChineseVirus,sean_antrim
2020-07-30 22:44:33+00:00,1288968755255693318,"Let me get this straight. Church, gyms, indoor restaurants is off limits. But we can protest, loot, steal, have funerals of the fortunate, who the American people made fortunate, that don’t cause the #ChineseVirus. 

I know the virus is real, but so is controlling people!",Daugherty2At
2020-07-30 22:43:34+00:00,1288968506004975617,"@realDonaldTrump @JoeBiden is a real catastrophe, his presidency for the world is even more threatening than the #ChineseVirus!!!! https://t.co/DxryioTqrU",raiseirann
2020-07-30 22:42:32+00:00,1288968247748907009,@CHI_1170 @StateDept @realDonaldTrump Which type of chinese and Chinese govt. are by this video everyone should know #MuslimLivesMatter #Islam #Muslims #chinesemuslim #FreeTibet #FreeHongKong #Hajj #Allah #freedom #HumanRights #Uyghurs #uyghursmuslim #chinese #ChineseVirus #life #humanity @MWLOrg_en @IslamicRelief https://t.co/URglvCxNKQ,kumarprashant_1
2020-07-30 22:41:37+00:00,1288968015896338432,"The Government, mostly local Governments say we can’t go to church because of the #ChineseVirus. They say social distancing, &amp; mask is the only way. Did any happen to watch Mr Lewis’s funeral, pews was packed!

Special treatment? Yeah, which don’t make sense, Senators, Rep,...",Daugherty2At
2020-07-30 22:29:26+00:00,1288964949734236163,@Breaking911 Look at all these people in the comments defending a government that imprisoned medical personnel that blew the whistle on COVID. The UN should bring up charges against the CCP #ChineseVirus #CCPVirus,Agent47Log
2020-07-30 22:10:44+00:00,1288960243406381057,@BespokeBijouxUK @JustJac60138773 @gabrielquotes @UKLabour So that makes it ok? It's ok then for an Imam to lead an Islamic funeral inside when he has the #ChineseVirus? It's ok for the Mosque to knowingly allow 250 people to attend an Islamic Funeral inside?,sean_antrim
2020-07-30 22:10:12+00:00,1288960109062901761,"@HawleyMO #COVID__19
#ChineseVirus 
#ChinaVirus 
#sanctionCCP 
#SanctionChina https://t.co/lHANt5TvfZ",AryaPlane
2020-07-30 22:02:42+00:00,1288958223865778177,"@ProjectLincoln No. LIES. #DishonestAbeProject.

He took credit for assisting programs that in using the immune systems to fight the #ChineseVirus.

Usual #LiesAndMisinformation

#WeWillVote. Be Informed.",The1JasonAW
2020-07-30 21:54:19+00:00,1288956112906190849,Some more #Thursday insights. @POTUS @realDonaldTrump talks about harm #ChineseVirus has done to USA. But CCP is  also using it as excuse to crackdown on #China #Christians &amp; #Uyghurs.    https://t.co/oKEMnUlArJ https://t.co/PDmGiuPb4G,garylanecbn
2020-07-30 21:43:53+00:00,1288953488282726402,@gabrielquotes @UKLabour So the Islamic funeral in Blackburn which had 250 attended (the limit is 30) and the Imam had the #ChineseVirus didn't happen?,sean_antrim
2020-07-30 21:43:09+00:00,1288953301522886657,@THEHermanCain DIED FROM THE #ChineseVirus! RIP! 🙏🙏🇺🇸🇺🇸,RobertKearney10
2020-07-30 21:39:01+00:00,1288952263151583233,"@Camilo71434203 @Ing_E_Hist /.: Con todo debido respeto, se merece denominada Cacica de Zipa a esos que le dan tamal con limona o masato...desconocían del movimiento orquestado por #ChineseVirus de manipular cepas que casualidad people que nunca le toca (3) estrato para abajo pagamos viaje al Presi con MAO? https://t.co/0qsyBCImh2",SalomnM
2020-07-30 21:32:00+00:00,1288950496460328961,@CHI_1170 @StateDept @realDonaldTrump Lol...U People are really stupid...here in Sikkim people were agree with it and support india but in Hong Kong people are suffering with it..such as kidnapping those who protest  ....they want freedom from Chinese who capture it. #FreeHongKong #freedom #FreeTibet #ChineseVirus,kumarprashant_1
2020-07-30 21:29:54+00:00,1288949967466332161,"@SecPompeo $400 B. That's what the owners of the #chineseVirus are pumping into #Iran
An 'intervention' like the one in recent recent past will have to be done very soon.",Rahul85459497
2020-07-30 21:21:01+00:00,1288947731193634819,@TheTangerineTa1 @loladeantonia26 @ananavarro @riconcette #ChineseVirus,truthseekerQA
2020-07-30 21:20:08+00:00,1288947511659560969,"@frabezerra #MilhaoDoAtila 

Meus sentimentos a todos que perderam seus entes queridos para o maldito #VirusChines ou #ChineseVirus

Quase acertou ""mizeravi"" ou teremos amanhã até o final de julho mais de 900 mil mortos pra completar o número?

Tem dúvida?

Veja aí 👇👇👇 https://t.co/JGPOKfa2Nq",rodrigonelson
2020-07-30 21:19:22+00:00,1288947317169586180,@realDonaldTrump What did he die from Donnie? Was it preventable? #TrumpIsKillingUs #ChineseVirus,durrant_renee
2020-07-30 21:15:11+00:00,1288946263858319360,"Mierda !
#ChineseVirus
#Covid_19
#coronavirus
#COVID19 https://t.co/yF8D3DYPqV",Caipira51
2020-07-30 21:14:29+00:00,1288946089333338114,#TRUMP2020 #Biden2020 #BidenHarris2020 #TrumpIsATraitor #COVID19 #COVIDIDIOTS #GeorgeFloyd #BlackLivesMatter #5G #pandemic #ChineseVirus #ufc #faucci #caixatem #1_लाख_रूपये #oxford #jobs #bolsonaro #cidadealerta #coronavirus #coronavac #ChineseVirus #cnn #cnn360 #cbs #cnbc #abc https://t.co/blFEbv7ZTy,Ekoren2009
2020-07-30 21:10:52+00:00,1288945177130868736,"Está acabando a NARRATIVA Governadores e Prefeitos Brasileiros.

Será que vai passar na #GloboLixo ou @RedeGlobo?

🤣😂🤣

A teta do dinheiro público vai acabar vagabundos!

#RussianVaccine 
#ChineseVirus

Obs; Vejam só a cara do apresentador da ""Tv Chinesa"" ou @BandJornalismo. https://t.co/XnHHMKksF9",rodrigonelson
2020-07-30 20:57:15+00:00,1288941753198936064,"What does the #CCP have on @SenFeinstein ?

#LiberalismIsAMentalDisorder 
#ChineseVirus 
#KungFlu",SantaHatTucker
2020-07-30 20:53:50+00:00,1288940889700732931,@morningmika @realDonaldTrump Your friends in communist China appreciate your continued support politicizing their virus. #DemocratsTheEnemyWithin #NBC #FakeNews #ChineseVirus #COVID19,Glocks_R_Us
2020-07-30 20:45:35+00:00,1288938815315480576,"@BOLS4KUR4 #MilhaoDoAtila 

Será que ele achou que todos os acometidos pelo #VirusChines iam morrer?

Meus sentimentos a todos que perderam seus entes queridos para o maldito #VirusChino ou #ChineseVirus

Acho que o @oatila se esqueceu desse detalhe aqui 👇👇👇 https://t.co/KbjZmbQjQu",rodrigonelson
2020-07-30 20:41:08+00:00,1288937693532102658,@ChuckCallesto I love the idea....it might be just the cure for the #ChineseVirus,happyhelenb
2020-07-30 20:21:33+00:00,1288932768676753408,@Morning_Joe @JoeNBC I think delaying the election might just be the cure for the #ChineseVirus. . Brilliant idea!,happyhelenb
2020-07-30 20:18:33+00:00,1288932009968955392,"China feels everything belongs to china except Corona ( Chinese virus Corona ) Which actually belongs to china...

#ChineseVirus #COVID19 https://t.co/7sx0aPlu9M",farend5670
2020-07-30 20:02:52+00:00,1288928064080973824,@ashoswai They also say #ChineseVirus is natural and tomorrow declare you a great scholar. Usually the truth is opposite to what they claim. This shows they are nervous due to Indian govts reactions and strategies.,nvignesh93
2020-07-30 20:01:42+00:00,1288927771561869312,"@Jessrocks71 ""I've had a phucking gutsful of the phucking Leftist Brexit Wankers and the phucking godforsaken ChineseVirus!""
?? Now, do you need my mailing address to send my phucking blank cheque book and pen?",TheShad78631449
