Datetime,Tweet Id,Text,Username
2021-05-30 23:53:06+00:00,1399151918149210116,@SayNoToSino Explosive study claims to prove Chinese scientists created #ChineseVirus https://t.co/Xz6jkKpSAK via @nypost,br_ailc
2021-05-30 23:42:09+00:00,1399149161350451202,@globaltimesnews #wuhanVirus aka #chineseVirus is threat to everyone including #TaiwanIsACountry,aps_aaditya
2021-05-30 23:36:11+00:00,1399147657906462720,More revelations about the origin and perpetration of #Chinesevirus and the deliberate attempts including #Who is coming out.,Change4Kerala
2021-05-30 23:14:34+00:00,1399142218984833028,#chinesevirus,VinceCharron
2021-05-30 23:13:05+00:00,1399141847088443395,"@AnchorAnandN @KanchanGupta India's ""Best Chief Minister"" beat America's ""Best Governor"" in #Covid cases and deaths. #COVID19 #chineseVirus https://t.co/fhPG9Kjhhf",SriGrowth
2021-05-30 22:15:23+00:00,1399127324411400192,Yeah! The architecture of the ideology! #Chinesevirus . A Frederick Douglass would have written a new version of  “A narrative of a slave”!,MatramSatish
2021-05-30 21:56:39+00:00,1399122609162366976,"@axios @Trump_Fact_News @PhilippeMurer @f_philippot 
Le Mur ✔️ 
Le ChineseVirus ✔️
Les Expulsions ... C'est en cours

Avant 03/11, ce n'était pas possible... Après 20/01, Tout semble possible !?

Les cons, ça ose tout... Dominion Voting Systems 😅

Hâte de voir le résultat en 2022 😈 https://t.co/Aj6z0FYOKY",pstef732
2021-05-30 21:34:59+00:00,1399117157590462464,"@ErayCr @PrinceArihan I fail to understand it took eighteen  months for the world to realize that it's a man-made highly mutating virus..with new protein spikes that were genetically infused with original bat coronaviruses..
#gainoffunction 
#WuhanInstituteofVirology 
#chinesevirus",ca_shwetaggl
2021-05-30 21:12:51+00:00,1399111586502090753,@globaltimesnews #chinesevirus,piping_engr
2021-05-30 21:03:36+00:00,1399109261133762566,@Shehzad_Ind @khanumarfa as long as you don’t forget to mention the fact that it’s a variant of #ChineseVirus or #WuhanVirus,HarenVyas
